strategy,year,requested_notional,funded_notional,cash_available_mean,concurrent_mean
ATRDR Bull,2018,3330374.1184996027,3330374.1184996027,3580554.4850227754,15.866071428571429
ATRDR Bull,2019,13100366.625458844,7350263.3097825665,2863184.323806816,60.11081081081081
ATRDR Bull,2020,7540089.259854153,6749170.591192962,3279357.3222511564,23.558823529411764
ATRDR Bull,2021,5525306.626186849,5387255.956214124,4698921.558054375,15.10236220472441
ATRDR Bull,2022,7298196.10407494,7298196.10407494,5093907.556638923,11.489655172413793
ATRDR Bull,2023,10268143.959278617,7764361.172147259,3616031.1245065383,49.613207547169814
ATRDR Bull,2024,29731958.971071087,9346484.694868412,4328872.325201174,415.9747572815534
ATRDR Bull,2025,16173243.53283312,16173243.53283312,5249160.499240285,17.969111969111967
ATRDR Bull,2026,9797153.915108105,9520303.763020178,5424134.5178715745,20.896551724137932
ATRDR Fast Bear,2019,60922.09031478278,60922.09031478278,5650002.0404204875,2.0
ATRDR Fast Bear,2020,814089.9813950588,814089.9813950588,5006022.107452378,9.545454545454545
ATRDR Fast Bear,2021,343539.8000924965,343539.8000924965,6554052.433463924,1.75
ATRDR Fast Bear,2022,1780192.3616843496,1780192.3616843496,6194111.651115086,12.263157894736842
ATRDR Fast Bear,2023,164692.54191077672,164692.54191077672,7499677.728581394,1.6666666666666667
ATRDR Fast Bear,2024,191472.47874042834,191472.47874042834,6191392.018753176,3.0
ATRDR Fast Bear,2025,1170761.368746232,1170761.368746232,7453250.349444153,21.0
ATRDR Fast Bear,2026,885618.5902650619,885618.5902650619,9622985.959950237,3.769230769230769
ATRDR Slow Bear,2018,8738886.470508104,4679377.491671044,3623719.2924783817,76.19661016949152
ATRDR Slow Bear,2019,447403.2245001114,447403.2245001114,5499496.5904765325,5.25
ATRDR Slow Bear,2020,901899.6918306898,901899.6918306898,5522932.514460783,3.217391304347826
ATRDR Slow Bear,2021,2231072.491485102,2231072.491485102,5806998.792104045,9.075471698113208
ATRDR Slow Bear,2022,3261091.8545440207,3261091.8545440207,5174933.045596833,13.057971014492754
ATRDR Slow Bear,2023,1743504.1214273358,1743504.1214273358,6770487.018357681,7.0
ATRDR Slow Bear,2024,8010081.329979032,8010081.329979032,5646548.013971406,20.410958904109588
ATRDR Slow Bear,2025,653531.4196060698,653531.4196060698,7539398.438891423,3.909090909090909
ATRDR Slow Bear,2026,2082319.2972058193,2082319.2972058193,9358720.336151937,6.1
IFCGR,2018,1235267.375711937,0.0,4070897.856284409,91.52577319587628
IFCGR,2019,145656.8043800842,0.0,5560361.080006324,7.571428571428571
IFCGR,2020,70291.57074486146,0.0,5069021.447544232,9.1
IFCGR,2021,158660.51334176413,0.0,6124144.402401655,4.826086956521739
IFCGR,2022,219722.1869231461,0.0,5578636.925196182,11.6
IFCGR,2023,56939.757061242344,0.0,6982984.638387652,7.333333333333333
MCB,2018,1643344.249241869,1594332.175730931,3477260.3912423365,19.375
MCB,2019,7127450.273213282,4196026.228103659,2616692.158201587,67.125
MCB,2020,4068653.6934958603,4068653.6934958603,3258649.1576619274,25.29530201342282
MCB,2021,2743670.077423815,2743670.077423815,4527305.880800769,19.24175824175824
MCB,2022,2249926.331689378,2249926.331689378,5183381.106352106,16.26388888888889
MCB,2023,8918550.372830287,4332111.419652495,2931239.8916677814,63.625454545454545
MCB,2024,11419437.995266056,4053068.1582858767,4200475.671694905,407.358024691358
MCB,2025,5744217.538728912,5744217.538728912,4704538.167403208,22.75
MCB,2026,3417060.2094382923,3294933.6873216075,4741379.8346489575,26.444444444444443
OGR,2018,1263611.9207890898,1263611.9207890898,4078847.4205430355,90.12626262626263
OGR,2019,160390.32269082646,160390.32269082646,5535227.687497801,7.695652173913044
OGR,2020,70676.30987005838,70676.30987005838,5069021.447544232,9.1
OGR,2021,165960.89178598282,165960.89178598282,6125210.249634632,4.916666666666667
OGR,2022,247709.61505721157,247709.61505721157,5578636.925196182,11.6
OGR,2023,61953.96925557483,61953.96925557483,6982984.638387652,7.333333333333333
OGR,2024,379275.5352653198,379275.5352653198,6601190.902315156,20.58490566037736
OGR,2025,222382.699662995,222382.699662995,8427950.172100082,16.70967741935484
OGR,2026,213448.44410429263,213448.44410429263,9079168.142279988,4.862068965517241
SMV6,2018,500277.8959913016,500277.8959913016,3766255.6244023717,1.0
SMV6,2019,3758787.333921648,3758278.9259403837,3923771.8354129787,8.909090909090908
SMV6,2020,3576239.3556778496,3576239.3556778496,4762149.67042599,8.216216216216216
SMV6,2021,4344916.232408539,4344045.000492224,5072601.425319841,3.0588235294117645
SMV6,2022,2034356.5374067756,0.0,4476551.21799812,3.5714285714285716
SMV6,2023,3310021.1673725415,0.0,6318944.370008264,3.888888888888889
