strategy,year,mean_funded,p95_requested,mean_cash
ATRDR Bull,2018,29735.48320088931,33693.84289966271,3580554.4850227754
ATRDR Bull,2019,19865.576512925854,39761.78494399263,2863184.323806816
ATRDR Bull,2020,33084.16956467138,44906.4088926092,3279357.3222511564
ATRDR Bull,2021,42419.33823790649,51226.284104794155,4698921.558054375
ATRDR Bull,2022,50332.38692465476,57493.30747922448,5093907.556638923
ATRDR Bull,2023,36624.345151638016,60175.586473627285,3616031.1245065383
ATRDR Bull,2024,18148.513970618274,64489.317211469664,4328872.325201174
ATRDR Bull,2025,62444.9557252244,66073.40338705668,5249160.499240285
ATRDR Bull,2026,65657.26733117364,70404.85913389285,5424134.5178715745
ATRDR Fast Bear,2019,30461.04515739139,30962.930160759694,5650002.0404204875
ATRDR Fast Bear,2020,37004.090063411764,43884.07419269245,5006022.107452378
ATRDR Fast Bear,2021,42942.47501156206,48690.02389954422,6554052.433463924
ATRDR Fast Bear,2022,46847.16741274604,56476.26103814318,6194111.651115086
ATRDR Fast Bear,2023,54897.51397025891,60243.312991244034,7499677.728581394
ATRDR Fast Bear,2024,63824.15958014278,63824.15958014279,6191392.018753176
ATRDR Fast Bear,2025,58538.0684373116,61823.88599138809,7453250.349444153
ATRDR Fast Bear,2026,68124.5069434663,70575.44910071504,9622985.959950237
ATRDR Slow Bear,2018,15862.296581935743,31205.561059774464,3623719.2924783817
ATRDR Slow Bear,2019,37283.60204167595,38947.16954564234,5499496.5904765325
ATRDR Slow Bear,2020,39213.030079595206,44164.41984777185,5522932.514460783
ATRDR Slow Bear,2021,42095.70738651136,48774.59349325868,5806998.792104045
ATRDR Slow Bear,2022,47262.20079049305,55021.62155393536,5174933.045596833
ATRDR Slow Bear,2023,49814.40346935245,60025.49390921653,6770487.018357681
ATRDR Slow Bear,2024,54863.57075328104,65627.66418835179,5646548.013971406
ATRDR Slow Bear,2025,59411.94723691544,64785.501549798886,7539398.438891423
ATRDR Slow Bear,2026,69410.64324019398,71640.96916083641,9358720.336151937
IFCGR,2018,0.0,6429.472632905918,4070897.856284409
IFCGR,2019,0.0,7051.417927388946,5560361.080006324
IFCGR,2020,0.0,7104.210349892109,5069021.447544232
IFCGR,2021,0.0,7137.276671740071,6124144.402401655
IFCGR,2022,0.0,6362.812693157616,5578636.925196182
IFCGR,2023,0.0,6381.802529108605,6982984.638387652
MCB,2018,22143.502440707376,24479.929495626904,3477260.3912423365
MCB,2019,15426.567015086983,29444.038601026965,2616692.158201587
MCB,2020,27306.400627488994,32234.564351398225,3258649.1576619274
MCB,2021,30150.220631030938,34487.87723278573,4527305.880800769
MCB,2022,31248.976829019135,35073.73367424291,5183381.106352106
MCB,2023,15753.13243509998,37110.45121025323,2931239.8916677814
MCB,2024,12509.469624339126,36733.514816057206,4200475.671694905
MCB,2025,35901.3596170557,39006.16429909918,4704538.167403208
MCB,2026,36610.374303573415,40708.8407055616,4741379.8346489575
OGR,2018,6381.878387823685,6460.273348687953,4078847.4205430355
OGR,2019,6973.4922909054985,7091.363676106477,5535227.687497801
OGR,2020,7067.630987005838,7147.144584690102,5069021.447544232
OGR,2021,6915.037157749284,7180.401989934669,6125210.249634632
OGR,2022,7077.417573063188,7318.774428858056,5578636.925196182
OGR,2023,6883.774361730537,7340.617335834672,6982984.638387652
OGR,2024,7156.142174817355,7546.572678143801,6601190.902315156
OGR,2025,7173.635472999838,7542.37302623219,8427950.172100082
OGR,2026,7360.291176010091,7559.949106827267,9079168.142279988
SMV6,2018,500277.8959913016,500277.8959913016,3766255.6244023717
SMV6,2019,170830.86027001744,509137.09476554155,3923771.8354129787
SMV6,2020,96655.11772102297,289964.06068789435,4762149.67042599
SMV6,2021,255532.05885248375,644825.643098535,5072601.425319841
SMV6,2022,0.0,509783.63668611867,4476551.21799812
SMV6,2023,0.0,454797.1904698438,6318944.370008264
