strategy,opportunity_count,funded_count,total_pnl,mean_return,median_return,mean_holding_days,median_holding_days,requested_notional,funded_notional,return_per_capital_day
ATRDR Bull,2089,1488,1519374.510893838,0.023582875837225063,0.012464899317070805,19.592167005879695,22.0,102764833.11236532,72919653.24263316,0.0010747519135105715
ATRDR Fast Bear,109,109,285172.79742908815,0.05335032205998005,0.09560878243512975,18.368692660550458,20.229166666666668,5411289.213149187,5411289.213149187,0.002824174177640305
ATRDR Slow Bear,674,544,668185.9216847033,0.03325506051118031,0.09560878243512955,19.799823835784313,21.229166666666668,28069789.901086286,24010280.922249224,0.0014032836563042795
IFCGR,292,0,0.0,,,,,1886538.208163035,0.0,
MCB,1505,1052,996553.8467795776,0.033550351518111914,0.02195444040067799,19.138981305449935,22.0,47332310.741327755,32276939.310432535,0.001602258205137602
OGR,412,412,170223.5638401699,0.0619245375819103,0.06706399512566202,13.596148530204962,11.003472222222221,2785409.7084813514,2785409.7084813514,0.00446061103118373
SMV6,109,77,161518.7715200001,0.025831090187623314,0.00025103925655030844,25.872835497835496,24.229166666666668,17524598.522778656,12178841.178101758,0.000553224595187636
