year,symbol,strategy_count,opportunities
2018,000002.SZ,2,2
2018,000021.SZ,2,2
2018,000070.SZ,2,2
2018,000417.SZ,2,2
2018,000519.SZ,1,1
2018,000536.SZ,2,2
2018,000572.SZ,2,2
2018,000592.SZ,2,2
2018,000700.SZ,2,2
2018,000718.SZ,2,2
2018,000725.SZ,2,2
2018,000727.SZ,2,2
2018,000839.SZ,2,4
2018,000850.SZ,2,2
2018,000868.SZ,2,2
2018,000905.SZ,2,2
2018,000917.SZ,2,4
2018,000957.SZ,2,2
2018,002042.SZ,2,2
2018,002043.SZ,2,2
2018,002045.SZ,2,2
2018,002048.SZ,2,2
2018,002073.SZ,2,2
2018,002091.SZ,2,2
2018,002093.SZ,2,2
2018,002100.SZ,2,2
2018,002106.SZ,2,2
2018,002169.SZ,2,2
2018,002200.SZ,2,2
2018,002213.SZ,2,2
2018,002236.SZ,2,2
2018,002241.SZ,2,2
2018,002261.SZ,2,2
2018,002284.SZ,2,2
2018,002285.SZ,2,2
2018,002292.SZ,2,2
2018,002293.SZ,2,2
2018,002329.SZ,2,2
2018,002335.SZ,2,2
2018,002338.SZ,2,2
2018,002340.SZ,2,2
2018,002362.SZ,2,2
2018,002385.SZ,2,2
2018,002387.SZ,2,2
2018,002400.SZ,2,2
2018,002401.SZ,2,2
2018,002429.SZ,2,2
2018,002446.SZ,2,2
2018,002454.SZ,2,2
2018,002494.SZ,2,2
2018,002543.SZ,2,2
2018,002553.SZ,2,2
2018,002590.SZ,2,2
2018,002600.SZ,2,2
2018,002631.SZ,2,2
2018,002649.SZ,2,2
2018,002685.SZ,2,2
2018,002694.SZ,2,2
2018,002702.SZ,2,2
2018,002703.SZ,2,2
2018,002724.SZ,2,2
2018,002730.SZ,2,2
2018,002743.SZ,2,2
2018,002755.SZ,2,2
2018,002759.SZ,2,2
2018,002799.SZ,2,2
2018,002826.SZ,2,2
2018,002836.SZ,2,2
2018,002837.SZ,2,2
2018,002846.SZ,2,2
2018,002907.SZ,2,2
2018,002920.SZ,2,2
2018,002928.SZ,2,2
2018,300007.SZ,2,2
2018,300017.SZ,2,2
2018,300025.SZ,2,2
2018,300027.SZ,2,2
2018,300035.SZ,2,2
2018,300039.SZ,2,2
2018,300050.SZ,2,2
2018,300051.SZ,2,2
2018,300053.SZ,2,2
2018,300069.SZ,2,2
2018,300076.SZ,2,2
2018,300081.SZ,2,2
2018,300100.SZ,2,2
2018,300106.SZ,2,2
2018,300115.SZ,2,2
2018,300119.SZ,2,2
2018,300129.SZ,2,2
2018,300147.SZ,2,2
2018,300148.SZ,2,2
2018,300157.SZ,2,2
2018,300171.SZ,2,2
2018,300175.SZ,2,2
2018,300183.SZ,2,2
2018,300185.SZ,2,2
2018,300194.SZ,2,2
2018,300213.SZ,2,2
2018,300220.SZ,2,2
2018,300228.SZ,2,2
2018,300230.SZ,2,2
2018,300242.SZ,2,2
2018,300254.SZ,2,2
2018,300268.SZ,2,2
2018,300272.SZ,2,2
2018,300274.SZ,2,2
2018,300275.SZ,2,2
2018,300277.SZ,2,2
2018,300287.SZ,2,2
2018,300304.SZ,2,2
2018,300306.SZ,2,2
2018,300316.SZ,2,2
2018,300334.SZ,2,2
2018,300353.SZ,2,2
2018,300355.SZ,2,2
2018,300364.SZ,2,2
2018,300366.SZ,2,2
2018,300380.SZ,2,2
2018,300390.SZ,2,2
2018,300396.SZ,2,2
2018,300418.SZ,2,2
2018,300433.SZ,2,2
2018,300502.SZ,2,2
2018,300504.SZ,2,2
2018,300517.SZ,2,2
2018,300534.SZ,2,2
2018,300560.SZ,2,2
2018,300579.SZ,2,2
2018,300584.SZ,2,2
2018,300593.SZ,2,2
2018,300597.SZ,2,2
2018,300608.SZ,2,2
2018,300613.SZ,2,2
2018,300623.SZ,2,2
2018,300627.SZ,2,2
2018,300649.SZ,2,2
2018,300678.SZ,2,2
2018,600012.SH,2,2
2018,600066.SH,2,2
2018,600072.SH,2,2
2018,600082.SH,2,2
2018,600113.SH,2,2
2018,600206.SH,2,2
2018,600303.SH,2,2
2018,600336.SH,2,2
2018,600343.SH,2,2
2018,600360.SH,2,2
2018,600371.SH,2,2
2018,600388.SH,2,2
2018,600397.SH,1,1
2018,600410.SH,2,2
2018,600522.SH,2,4
2018,600537.SH,2,2
2018,600552.SH,2,2
2018,600558.SH,2,2
2018,600571.SH,2,2
2018,600594.SH,2,2
2018,600601.SH,2,2
2018,600604.SH,2,2
2018,600616.SH,2,2
2018,600698.SH,2,2
2018,600702.SH,2,2
2018,600736.SH,2,2
2018,600749.SH,1,1
2018,600770.SH,2,2
2018,600822.SH,2,2
2018,600829.SH,2,2
2018,600830.SH,2,2
2018,600831.SH,2,2
2018,600839.SH,2,2
2018,600846.SH,2,2
2018,600862.SH,2,2
2018,600874.SH,2,2
2018,600970.SH,2,2
2018,600975.SH,2,2
2018,601038.SH,2,2
2018,601369.SH,2,2
2018,601611.SH,2,2
2018,601700.SH,2,2
2018,601777.SH,2,2
2018,601828.SH,2,2
2018,601890.SH,2,2
2018,603022.SH,2,2
2018,603111.SH,1,1
2018,603180.SH,2,2
2018,603300.SH,2,2
2018,603336.SH,2,2
2018,603366.SH,2,2
2018,603488.SH,2,2
2018,603579.SH,2,2
2018,603758.SH,2,2
2018,603817.SH,2,2
2018,603829.SH,2,2
2018,603958.SH,2,2
2019,000723.SZ,2,2
2019,000820.SZ,2,2
2019,000859.SZ,2,2
2019,002055.SZ,2,2
2019,002219.SZ,2,2
2019,002354.SZ,2,2
2019,002535.SZ,1,1
2019,002670.SZ,2,2
2019,002881.SZ,2,2
2019,300194.SZ,2,2
2019,300494.SZ,2,2
2019,300571.SZ,2,2
2019,300645.SZ,2,2
2019,600235.SH,2,2
2019,600268.SH,2,2
2019,600568.SH,1,1
2019,600604.SH,2,2
2019,600638.SH,2,2
2019,600703.SH,2,2
2019,600733.SH,2,2
2019,600736.SH,2,2
2019,603725.SH,2,2
2019,603738.SH,2,2
2020,002234.SZ,2,2
2020,002565.SZ,2,2
2020,300691.SZ,2,2
2020,601601.SH,2,2
2020,601788.SH,2,2
2020,603085.SH,2,2
2020,603101.SH,2,2
2020,603121.SH,2,2
2020,603333.SH,2,2
2020,603888.SH,2,2
2021,002348.SZ,2,2
2021,002456.SZ,2,2
2021,002661.SZ,2,2
2021,002695.SZ,2,2
2021,002970.SZ,2,2
2021,002987.SZ,2,2
2021,002992.SZ,2,2
2021,300003.SZ,2,2
2021,300184.SZ,2,2
2021,300206.SZ,2,2
2021,300246.SZ,2,2
2021,300278.SZ,1,1
2021,300437.SZ,2,2
2021,300462.SZ,2,2
2021,300464.SZ,2,2
2021,300494.SZ,2,2
2021,300501.SZ,2,2
2021,300677.SZ,2,2
2021,300842.SZ,2,2
2021,601633.SH,2,2
2021,601933.SH,2,2
2021,603338.SH,2,2
2021,603363.SH,2,2
2021,603444.SH,2,2
2022,000906.SZ,2,2
2022,002008.SZ,2,2
2022,002074.SZ,2,2
2022,002120.SZ,2,2
2022,002202.SZ,2,2
2022,002243.SZ,2,2
2022,002331.SZ,2,2
2022,002374.SZ,2,2
2022,002415.SZ,2,2
2022,002536.SZ,2,2
2022,002546.SZ,2,2
2022,002585.SZ,2,2
2022,002615.SZ,2,2
2022,002709.SZ,2,2
2022,002727.SZ,2,2
2022,002798.SZ,2,2
2022,002845.SZ,2,2
2022,002860.SZ,2,2
2022,002997.SZ,2,2
2022,300274.SZ,2,2
2022,300305.SZ,2,2
2022,300458.SZ,2,2
2022,300460.SZ,2,2
2022,300503.SZ,2,2
2022,300556.SZ,2,2
2022,300590.SZ,2,2
2022,300841.SZ,2,2
2022,300965.SZ,2,2
2022,301053.SZ,2,2
2022,600201.SH,2,2
2022,600327.SH,2,2
2022,600621.SH,2,2
2022,600893.SH,2,2
2022,603099.SH,2,2
2022,603908.SH,2,2
2023,000977.SZ,2,2
2023,002932.SZ,2,2
2023,300432.SZ,2,2
2023,300699.SZ,2,2
2023,300841.SZ,2,2
2023,300953.SZ,2,2
2023,301073.SZ,2,2
2023,301327.SZ,2,4
2024,000576.SZ,1,1
2024,000701.SZ,1,1
2024,000710.SZ,1,1
2024,000793.SZ,1,1
2024,001238.SZ,1,1
2024,001255.SZ,1,1
2024,002129.SZ,1,1
2024,002168.SZ,1,1
2024,002248.SZ,1,1
2024,002306.SZ,1,1
2024,002313.SZ,1,1
2024,002365.SZ,1,1
2024,002368.SZ,1,1
2024,002425.SZ,1,1
2024,002426.SZ,1,1
2024,002547.SZ,1,1
2024,002583.SZ,1,1
2024,002650.SZ,1,1
2024,002651.SZ,1,1
2024,002713.SZ,1,1
2024,002806.SZ,1,1
2024,002829.SZ,1,1
2024,002855.SZ,1,1
2024,003003.SZ,1,1
2024,003011.SZ,1,1
2024,300120.SZ,1,1
2024,300177.SZ,1,1
2024,300246.SZ,1,1
2024,300287.SZ,1,1
2024,300305.SZ,1,1
2024,300423.SZ,1,1
2024,300437.SZ,1,1
2024,300477.SZ,1,1
2024,300552.SZ,1,1
2024,300597.SZ,1,1
2024,300626.SZ,1,1
2024,300636.SZ,1,1
2024,300683.SZ,1,1
2024,300756.SZ,1,1
2024,300786.SZ,1,1
2024,300853.SZ,1,1
2024,300973.SZ,1,1
2024,301001.SZ,1,1
2024,301113.SZ,1,1
2024,301129.SZ,1,1
2024,301218.SZ,1,1
2024,301278.SZ,1,1
2024,301382.SZ,1,1
2024,603259.SH,1,1
2024,603345.SH,1,1
2024,603466.SH,1,1
2024,603895.SH,1,1
2024,605178.SH,1,1
2025,000004.SZ,1,1
2025,000868.SZ,1,1
2025,002045.SZ,1,1
2025,002272.SZ,1,1
2025,002902.SZ,1,1
2025,300036.SZ,1,1
2025,300393.SZ,1,1
2025,300454.SZ,1,1
2025,300488.SZ,1,1
2025,300502.SZ,1,1
2025,300595.SZ,1,1
2025,300634.SZ,1,1
2025,300678.SZ,1,1
2025,300769.SZ,1,1
2025,300833.SZ,1,1
2025,300852.SZ,1,1
2025,300979.SZ,1,1
2025,300996.SZ,1,1
2025,301051.SZ,1,1
2025,301086.SZ,1,1
2025,301152.SZ,1,1
2025,301459.SZ,1,1
2025,301498.SZ,1,1
2025,301510.SZ,1,1
2025,301516.SZ,1,1
2025,600822.SH,1,1
2025,601869.SH,1,1
2025,601966.SH,1,1
2025,603283.SH,1,1
2025,603730.SH,1,1
2025,605178.SH,1,1
2026,000158.SZ,1,1
2026,002177.SZ,1,1
2026,002243.SZ,1,1
2026,002446.SZ,1,1
2026,002465.SZ,1,1
2026,002490.SZ,1,1
