X,Y,start,end,return_,CAGR,MaxDD,CVaR5,Sharpe,average_gross,P95_gross,cash_ratio,fees,turnover,worst_month,max_security,max_family,top5_day_concentration,top5_event_concentration,top5_symbol_concentration,net_pnl
X1,0.1,2018-01-01,2026-09-04,1.3586080917444234,0.10395470406188556,0.051523979342355974,0.006785552226011813,1.9740179389540091,0.1346335224694728,0.4189916745565983,0.8653664775305272,672888.4931133942,5.3299341393259825,-0.02296525936886018,0.024791025278366224,0.8770359245935344,0.061904995030401214,0.026812711508533513,0.0269466857226311,6663676.688963501
X1,0.15,2018-01-01,2026-09-04,1.3586080917444234,0.10395470406188556,0.051523979342355974,0.006785552226011813,1.9740179389540091,0.1346335224694728,0.4189916745565983,0.8653664775305272,672888.4931133942,5.3299341393259825,-0.02296525936886018,0.024791025278366224,0.8770359245935344,0.061904995030401214,0.026812711508533513,0.0269466857226311,6663676.688963501
X1,0.2,2018-01-01,2026-09-04,1.3586080917444234,0.10395470406188556,0.051523979342355974,0.006785552226011813,1.9740179389540091,0.1346335224694728,0.4189916745565983,0.8653664775305272,672888.4931133942,5.3299341393259825,-0.02296525936886018,0.024791025278366224,0.8770359245935344,0.061904995030401214,0.026812711508533513,0.0269466857226311,6663676.688963501
X1,0.3,2018-01-01,2026-09-04,1.3586080917444234,0.10395470406188556,0.051523979342355974,0.006785552226011813,1.9740179389540091,0.1346335224694728,0.4189916745565983,0.8653664775305272,672888.4931133942,5.3299341393259825,-0.02296525936886018,0.024791025278366224,0.8770359245935344,0.061904995030401214,0.026812711508533513,0.0269466857226311,6663676.688963501
X1.5,0.1,2018-01-01,2026-09-04,2.3420673653489077,0.1492023717317088,0.07650678136136746,0.0099546595799335,1.9406914534890194,0.1965713388127868,0.6165537833082615,0.8034286611872132,1204661.454006828,7.819972641303814,-0.03460072451186702,0.03567179705673708,0.8230752202437058,0.05861959353278699,0.029799550075905804,0.029909115574311734,11487330.158926783
X1.5,0.15,2018-01-01,2026-09-04,2.3420673653489077,0.1492023717317088,0.07650678136136746,0.0099546595799335,1.9406914534890194,0.1965713388127868,0.6165537833082615,0.8034286611872132,1204661.454006828,7.819972641303814,-0.03460072451186702,0.03567179705673708,0.8230752202437058,0.05861959353278699,0.029799550075905804,0.029909115574311734,11487330.158926783
X1.5,0.2,2018-01-01,2026-09-04,2.3420673653489077,0.1492023717317088,0.07650678136136746,0.0099546595799335,1.9406914534890194,0.1965713388127868,0.6165537833082615,0.8034286611872132,1204661.454006828,7.819972641303814,-0.03460072451186702,0.03567179705673708,0.8230752202437058,0.05861959353278699,0.029799550075905804,0.029909115574311734,11487330.158926783
X1.5,0.3,2018-01-01,2026-09-04,2.3420673653489077,0.1492023717317088,0.07650678136136746,0.0099546595799335,1.9406914534890194,0.1965713388127868,0.6165537833082615,0.8034286611872132,1204661.454006828,7.819972641303814,-0.03460072451186702,0.03567179705673708,0.8230752202437058,0.05861959353278699,0.029799550075905804,0.029909115574311734,11487330.158926783
X2,0.1,2018-01-01,2026-09-04,3.35480275525397,0.18480180041547078,0.09554550280030738,0.012525748687861828,1.9303509332569784,0.24895970885153326,0.7789072380893985,0.7510402911484667,1792468.7935824606,9.91571772593232,-0.04326476893749043,0.04643305877946852,0.8450832591526471,0.055588038296986754,0.03306534731662713,0.033185249016248176,16454576.600933282
X2,0.15,2018-01-01,2026-09-04,3.35480275525397,0.18480180041547078,0.09554550280030738,0.012525748687861828,1.9303509332569784,0.24895970885153326,0.7789072380893985,0.7510402911484667,1792468.7935824606,9.91571772593232,-0.04326476893749043,0.04643305877946852,0.8450832591526471,0.055588038296986754,0.03306534731662713,0.033185249016248176,16454576.600933282
X2,0.2,2018-01-01,2026-09-04,3.35480275525397,0.18480180041547078,0.09554550280030738,0.012525748687861828,1.9303509332569784,0.24895970885153326,0.7789072380893985,0.7510402911484667,1792468.7935824606,9.91571772593232,-0.04326476893749043,0.04643305877946852,0.8450832591526471,0.055588038296986754,0.03306534731662713,0.033185249016248176,16454576.600933282
