X,year,0.1,0.15,0.2,0.3
MAX_FILL,2018,0.11126242334035208,0.14186665023087341,0.16685662921578703,0.23128161771937217
MAX_FILL,2019,0.0748690134175336,0.08965663530555112,0.09999928682065906,0.12152058208540972
MAX_FILL,2020,0.17451276369556634,0.16159067544296046,0.1361738333366327,0.1359082946778576
MAX_FILL,2021,0.03906500874252772,0.05910757485658913,0.06784296837148418,0.08611043787152839
MAX_FILL,2022,0.13486407497160835,0.17284636475236081,0.20817918828561188,0.2558430492218352
MAX_FILL,2023,0.05196345522332124,0.06556897538044737,0.0867877259057519,0.11952309743219769
MAX_FILL,2024,0.15329942147578224,0.1483968125908337,0.1484694449343138,0.15262505060172948
MAX_FILL,2025,0.09380755203259072,0.09986949606402151,0.10415050079351051,0.13021377242223675
MAX_FILL,2026,0.21219547216151102,0.2794345612660307,0.35183367236882246,0.3912496858106499
X1,2018,0.03192287367133628,0.03192287367133628,0.03192287367133628,0.03192287367133628
X1,2019,0.021391024539253678,0.021391024539253678,0.021391024539253678,0.021391024539253678
X1,2020,0.03019512155018056,0.03019512155018056,0.03019512155018056,0.03019512155018056
X1,2021,0.009086217671912755,0.009086217671912755,0.009086217671912755,0.009086217671912755
X1,2022,0.02621833161794962,0.02621833161794962,0.02621833161794962,0.02621833161794962
X1,2023,0.01178457764149543,0.01178457764149543,0.01178457764149543,0.01178457764149543
X1,2024,0.051523979342355974,0.051523979342355974,0.051523979342355974,0.051523979342355974
X1,2025,0.015192759481980844,0.015192759481980844,0.015192759481980844,0.015192759481980844
X1,2026,0.02690856772736372,0.02690856772736372,0.02690856772736372,0.02690856772736372
X1.5,2018,0.04114136772545807,0.04114136772545807,0.04114136772545807,0.04114136772545807
X1.5,2019,0.03204077510299297,0.03204077510299297,0.03204077510299297,0.03204077510299297
X1.5,2020,0.04414635588027194,0.04414635588027194,0.04414635588027194,0.04414635588027194
X1.5,2021,0.013567390284992098,0.013567390284992098,0.013567390284992098,0.013567390284992098
X1.5,2022,0.03718321484006204,0.03718321484006204,0.03718321484006204,0.03718321484006204
X1.5,2023,0.017090434377050823,0.017090434377050823,0.017090434377050823,0.017090434377050823
X1.5,2024,0.07650678136136746,0.07650678136136746,0.07650678136136746,0.07650678136136746
X1.5,2025,0.022556128976612855,0.022556128976612855,0.022556128976612855,0.022556128976612855
X1.5,2026,0.040217290675044426,0.040217290675044426,0.040217290675044426,0.040217290675044426
X10,2018,0.09353722070236015,0.09735208490472824,0.09735208490472824,0.09735208490472824
X10,2019,0.06866590392756178,0.0699338051465801,0.07023303093247679,0.07023303093247679
X10,2020,0.13080759019666288,0.12424295960562048,0.12305106139594724,0.12305106139594724
X10,2021,0.02784448660042671,0.02731118960797352,0.027234566934202342,0.027234566934202342
X10,2022,0.1378932722438827,0.17353624558146252,0.1738944744414681,0.1738944744414681
X10,2023,0.048066906764941186,0.05511472181071486,0.0563705080617819,0.0563705080617819
X10,2024,0.14842421566530795,0.15023078457697614,0.14927131358787304,0.14927131358787304
