X,security_tail_budget,min_frozen_tail_loss,soft_security_exposure_bound
X1,0.0009441548921073708,0.057484771844793475,0.016424434886104275
X1.5,0.0014162323381610564,0.057484771844793475,0.024636652329156416
X2,0.0018883097842147417,0.057484771844793475,0.03284886977220855
X3,0.0028324646763221127,0.057484771844793475,0.04927330465831283
X5,0.004720774460536854,0.057484771844793475,0.08212217443052137
X8,0.007553239136858967,0.057484771844793475,0.1313954790888342
X10,0.009441548921073708,0.057484771844793475,0.16424434886104275
