episode_id,symbol,entry_date,outlay,proceeds,buys,sells,native_time,realized_pnl,native_return,sessions
SMV6|510050.SH|2018-01-15,510050.SH,2018-01-15,496336.63105439534,518200.76359510387,1,1,2018-02-02 15:00:00,21864.132540708524,0.0440510153245417,14
SMV6|510180.SH|2019-02-12,510180.SH,2019-02-12,77082.10081284565,92240.1822732,2,1,2019-04-26 15:00:00,15158.08146035434,0.1966485254100425,52
SMV6|512800.SH|2019-02-14,512800.SH,2019-02-14,55214.368025471995,59611.53834739201,1,1,2019-04-26 15:00:00,4397.1703219200135,0.0796381536032699,50
SMV6|512800.SH|2019-07-31,512800.SH,2019-07-31,185399.443834272,178251.04909871198,1,3,2019-08-05 15:00:00,-7148.394735559996,-0.0385567215722066,3
SMV6|159901.SZ|2019-09-04,159901.SZ,2019-09-04,256738.2598563233,252960.4064377752,2,2,2019-09-27 15:00:00,-3777.8534185480967,-0.0147148049560758,16
SMV6|159915.SZ|2019-09-04,159915.SZ,2019-09-04,342469.68224039994,344713.49670936,1,3,2019-09-27 15:00:00,2243.814468960045,0.0065518630854599,16
SMV6|510300.SH|2019-09-06,510300.SH,2019-09-06,259107.702065499,253590.33673325324,1,2,2019-09-27 15:00:00,-5517.3653322457685,-0.0212937141129484,14
SMV6|510180.SH|2019-09-16,510180.SH,2019-09-16,35974.224418324295,34352.119001839994,1,2,2019-09-30 15:00:00,-1622.1054164843008,-0.0450907682573427,10
SMV6|159928.SZ|2019-08-29,159928.SZ,2019-08-29,148360.786264008,144327.101565448,4,7,2019-10-09 15:00:00,-4033.684698560013,-0.027188348081292,23
SMV6|510300.SH|2019-11-05,510300.SH,2019-11-05,507128.5554970146,494491.89239788795,1,1,2019-11-12 15:00:00,-12636.663099126656,-0.0249180665575852,5
SMV6|159901.SZ|2019-11-05,159901.SZ,2019-11-05,199824.1241348914,197340.17010093655,2,2,2019-11-18 09:30:00,-2483.954033954855,-0.0124307014716504,9
SMV6|159949.SZ|2019-12-09,159949.SZ,2019-12-09,499716.697274784,536596.0528412961,1,4,2020-01-23 15:00:00,36879.35556651204,0.0738005269138182,32
SMV6|159915.SZ|2019-12-16,159915.SZ,2019-12-16,505018.59472224,527508.348185808,1,3,2020-01-23 15:00:00,22489.75346356805,0.0445325255319308,27
SMV6|159901.SZ|2019-12-17,159901.SZ,2019-12-17,202840.48597433604,209994.628832768,2,1,2020-01-23 15:00:00,7154.142858431966,0.0352697974670457,26
SMV6|510500.SH|2019-12-18,510500.SH,2019-12-18,206157.62376403707,211522.32643394644,1,1,2020-01-23 15:00:00,5364.702669909369,0.0260223346193089,25
SMV6|512980.SH|2019-12-17,512980.SH,2019-12-17,255629.41485984,258573.60901318403,1,3,2020-02-03 09:30:00,2944.194153344055,0.0115174310239622,27
SMV6|159928.SZ|2020-06-09,159928.SZ,2020-06-09,139008.166494084,167432.426816,5,1,2020-07-24 15:00:00,28424.260321915994,0.2044790679483259,31
SMV6|159901.SZ|2020-06-19,159901.SZ,2020-06-19,107844.93352281538,123986.359407672,1,1,2020-07-24 15:00:00,16141.425884856624,0.149672547032001,23
SMV6|512980.SH|2020-06-10,512980.SH,2020-06-10,356362.46336102404,373321.264891184,2,8,2020-07-29 09:30:00,16958.80153015995,0.0475886303237815,33
SMV6|159938.SZ|2020-06-15,159938.SZ,2020-06-15,141960.891741048,162066.84690664802,3,7,2020-07-29 15:00:00,20105.955165600026,0.141630239983808,30
SMV6|515800.SH|2020-06-18,515800.SH,2020-06-18,22244.448,26475.07850333938,1,5,2020-07-29 15:00:00,4230.63050333938,0.1901881540661014,27
SMV6|159980.SZ|2020-09-02,159980.SZ,2020-09-02,39642.108836399995,38833.633719599995,1,1,2020-09-09 15:00:00,-808.4751168000003,-0.0203943518781131,5
