dimension,label,blind_id,selection
direction,WINNER,CASE_000016,lexicographically first formal case score>=1; no outcome magnitude selection
direction,LOSER,CASE_000010,lexicographically first formal case score>=1; no outcome magnitude selection
quieting,WINNER,CASE_000021,lexicographically first formal case score>=1; no outcome magnitude selection
quieting,LOSER,CASE_000014,lexicographically first formal case score>=1; no outcome magnitude selection
spike_distribution,WINNER,CASE_000008,lexicographically first formal case score>=1; no outcome magnitude selection
spike_distribution,LOSER,CASE_000010,lexicographically first formal case score>=1; no outcome magnitude selection
