year,common,only_t2,only_t1,common_capital_effect,common_return_effect,t2_unique_pnl,missed_t1_pnl,trade_pnl_increment
2020,49,24,22,5314.505863133065,90892.36905686687,3060.3520400000416,-131498.32576000004,-32231.098800000036
2021,70,30,36,-5677.392819101707,100447.74892350167,-24423.919519999996,-100888.55652720007,-30542.119942800127
2022,62,38,33,2966.2627299358605,96047.58594156415,257372.37822270006,50499.15398699994,406885.3808811999
2023,64,44,47,-14020.404428691752,77861.23902239194,-48880.17124000001,-94228.58574279986,-79267.9223890997
