year,signals,dates,t1_executable,t2_executable,t1_gap_A,t1_extension_A,t1_close_location,t1_amount_vs20,false_breakout,t2_reenter,mfe,mae,mfe_before_mae,return10,t1_extension_bin,t1_false_breakout_close,t1_reversal,t1_digest_to_quarter_A
2020,280,86,0.5464285714285714,0.4857142857142857,0.10147600225639147,0.654903493090595,0.48663236761112205,2.0605132388530634,0.2357142857142857,0.4928571428571429,0.12445544331378834,-0.05074165362191248,0.4357142857142857,0.03970281435040362,,,,
2021,275,128,0.5418181818181819,0.56,-0.0003581544858058469,0.5719785259495078,0.4602804959874523,1.8567700546866173,0.29454545454545455,0.5527272727272727,0.08458861650485384,-0.07135581574981333,0.5272727272727272,0.005993832660234531,,,,
2022,485,112,0.5979381443298969,0.6123711340206186,0.04648191907781154,0.5766986477914843,0.4070651550761172,2.2559659762387945,0.3443298969072165,0.6185567010309279,0.08314169612092623,-0.06953665794889279,0.534020618556701,-0.00027989843503376096,,,,
2023,410,124,0.5560975609756098,0.5463414634146342,-0.04125676300618,0.5548589699050723,0.4717482553208097,2.4096886297644033,0.2658536585365854,0.5756097560975609,0.05786928634017954,-0.05213608563553072,0.526829268292683,-0.004856717783932811,,,,
2020,30,25,1.0,0.8666666666666667,-0.31819254654492934,-0.17998858424722317,0.49351568696549813,1.7032106721480627,0.5666666666666667,0.8666666666666667,0.122616024965592,-0.05433137629876135,0.43333333333333335,0.04760569313165731,AT_OR_BELOW_U,,,
2020,72,38,1.0,0.6527777777777778,-0.0658217509933609,0.11830603792446315,0.50505158632618,1.6235170271460764,0.3333333333333333,0.6527777777777778,0.12669491525443466,-0.04770517128409663,0.5,0.026409306170071062,U_TO_0.25A,,,
2020,57,39,0.8947368421052632,0.6140350877192983,0.09135586511935542,0.37054807173024135,0.4331092152230549,1.7859640099748304,0.3333333333333333,0.631578947368421,0.10788150298292787,-0.04840672080729614,0.3508771929824561,0.03830003309944529,0.25A_TO_0.5A,,,
2020,121,54,0.0,0.23140495867768596,0.3098424693211257,1.3151517419305638,0.4994979299670915,2.538464563564735,0.049586776859504134,0.2396694214876033,0.13138647777311396,-0.052758399228940614,0.4380165289256198,0.046314423911155325,ABOVE_LIMIT_SCALE,,,
2021,43,36,1.0,0.9069767441860465,-0.2726063505583735,-0.13248603577042056,0.4806198856466725,1.4600970877513824,0.5813953488372093,0.8837209302325582,0.09578374265839099,-0.06151026083228822,0.6046511627906976,0.012287498946084307,AT_OR_BELOW_U,,,
2021,57,45,1.0,0.9122807017543859,-0.06626300929869841,0.13020621670987448,0.40421292058438496,1.3538603351944145,0.543859649122807,0.8947368421052632,0.06752217221407601,-0.076517432295681,0.5614035087719298,-0.005358232244741461,U_TO_0.25A,,,
2021,52,43,0.9423076923076923,0.5769230769230769,-0.02002187717877476,0.3564998947485488,0.4755700707669183,1.5657850142249943,0.19230769230769232,0.5769230769230769,0.0802277945525895,-0.06152239695020208,0.4230769230769231,0.008653010617762861,0.25A_TO_0.5A,,,
2021,123,84,0.0,0.2682926829268293,0.13367243685963864,1.1140751649988243,0.47279033331610915,2.3515181334937316,0.12195121951219512,0.2682926829268293,0.09042731277713015,-0.07656300677354429,0.5284552845528455,0.007930115550483455,ABOVE_LIMIT_SCALE,,,
2022,51,32,1.0,0.803921568627451,-0.2711748343206377,-0.13460239813665587,0.4635557799690032,1.7122763388933182,0.5490196078431373,0.803921568627451,0.09447906285714155,-0.05892355731367088,0.49019607843137253,0.009127402252336839,AT_OR_BELOW_U,,,
2022,145,61,1.0,0.7862068965517242,-0.04594523509457277,0.1323883961477416,0.4106175133082533,1.526989218596276,0.503448275862069,0.7931034482758621,0.08366645888985086,-0.06437963334933257,0.5655172413793104,0.001083175978830874,U_TO_0.25A,,,
2022,105,49,0.8952380952380953,0.6571428571428571,0.0171225078549438,0.35757205425487515,0.4099903745046068,1.6863411015826013,0.3333333333333333,0.6571428571428571,0.07028555496608277,-0.06165051937572675,0.5619047619047619,-2.266928846747639e-05,0.25A_TO_0.5A,,,
2022,184,75,0.0,0.3967391304347826,0.2241187123208428,1.249033605139429,0.386938731960963,3.306185613204471,0.16847826086956522,0.4076086956521739,0.08692212283949967,-0.08104253430495247,0.5054347826086957,-0.004108307051641006,ABOVE_LIMIT_SCALE,,,
2023,49,34,1.0,0.7959183673469388,-0.23069059251762225,-0.12311888559474604,0.5309744114303814,1.771283949010558,0.4489795918367347,0.8367346938775511,0.07519513115265147,-0.033907022580790355,0.4489795918367347,0.019630249803585208,AT_OR_BELOW_U,,,
2023,113,61,1.0,0.7433628318584071,-0.05211779385364245,0.12053714419096488,0.5101948995431167,1.6765741933373337,0.34513274336283184,0.7610619469026548,0.0559333183974942,-0.048561591053767825,0.4778761061946903,0.0006629994589270787,U_TO_0.25A,,,
2023,81,50,0.8148148148148148,0.5308641975308642,0.005560341858275758,0.3752721324853427,0.4483228387684441,1.8998129414313816,0.30864197530864196,0.5925925925925926,0.05900178996315815,-0.04922657888948462,0.6172839506172839,-0.01178455617884284,0.25A_TO_0.5A,,,
2023,166,76,0.0,0.3493975903614458,-0.0007906868748365749,1.1382674943399118,0.4395247992620864,3.3459759275244756,0.13855421686746988,0.3674698795180723,0.05352028145012565,-0.06136989300812842,0.5421686746987951,-0.012461745195040272,ABOVE_LIMIT_SCALE,,,
2023,1,1,0.0,0.0,,,,,0.0,0.0,,,0.0,,,,,
2020,214,74,0.4392523364485981,0.32710280373831774,0.15174108898610164,0.8037689709848701,0.5712244930867878,2.218382779860149,0.0,0.3364485981308411,0.13452089046093643,-0.044389223495028586,0.4485981308411215,0.04653433250981531,,False,,
2020,66,43,0.8939393939393939,1.0,-0.06150473350357802,0.17221845870612812,0.21619390586316056,1.5486332119512993,1.0,1.0,0.09181899347303538,-0.0713389270636269,0.3939393939393939,0.017552134257765684,,True,,
2021,194,111,0.42783505154639173,0.37628865979381443,0.03969101622195372,0.727161070198166,0.5534691133079535,2.0481665228860377,0.0,0.37628865979381443,0.09644583540969598,-0.06404128027583005,0.520618556701031,0.015483064684029818,,False,,
2021,81,53,0.8148148148148148,1.0,-0.09627839050192136,0.20030675330457376,0.23823848187810998,1.398363698752204,1.0,0.9753086419753086,0.05618984530066403,-0.08887457972453872,0.5432098765432098,-0.016733463791818386,,True,,
2022,318,88,0.49056603773584906,0.42138364779874216,0.08485805914460921,0.7367946346736041,0.524459598067168,2.620808647310846,0.0,0.4339622641509434,0.09501262384815433,-0.06098790319890869,0.5188679245283019,0.008033314315446629,,False,,
2022,167,66,0.8023952095808383,0.9760479041916168,-0.026593605121240288,0.2718452116925976,0.18352364087758888,1.561235620544707,1.0,0.9700598802395209,0.060537175059497864,-0.085815125077605,0.562874251497006,-0.016109848462894625,,True,,
