year,common,base_net,delay_net,net_delta,entry_price_effect_log,exit_clock_effect_log,fee_dividend_residual,t2_price_better,t1_close_extension_A,t1_close_location
2020,49,0.0029852902391230784,0.021068612126456842,0.018083321887333772,0.015381085690579862,0.0026287832570045084,2.6677247793024867e-05,0.7959183673469388,-0.20937964264818731,0.3347651814412954
2021,72,0.008338754080230557,0.020299378531189044,0.011960624450958485,0.010827356152217062,-0.0015824347415492749,-3.7198644268022665e-05,0.6388888888888888,-0.14981582391716752,0.40166676952874547
2022,61,-0.0040567703066764675,0.009620603019741573,0.013677373326418043,0.01747942617020979,-0.003100661067848291,-1.71234132687562e-05,0.819672131147541,-0.21927411241385983,0.3176404120752869
2023,64,-0.01942280871169321,-0.009077733564492317,0.010345075147200893,0.011277319359016873,-2.671208642132097e-06,-1.6008737794233747e-05,0.703125,-0.17563977647958076,0.3800532413840636
ALL,246,-0.003023793620983735,0.010161784896417577,0.013185578517401314,0.013500960476251702,-0.0007090902613421503,-1.398457184416464e-05,0.7317073170731707,-0.18562198521843842,0.3618820076498606
