key,type,value,trades,pnl,abs_pnl_share
BASE_T1,industry,1,4,-6133.852240000007,0.011457995490450264
BASE_T1,industry,2,2,-10873.596120000002,0.003835999501348004
BASE_T1,industry,3,22,-5192.029829999941,0.048307610518382754
BASE_T1,industry,4,7,45291.97549000004,0.018121043505375023
BASE_T1,industry,5,2,-7848.479699999996,0.0028010216519600397
BASE_T1,industry,6,14,41668.71621000001,0.032668472731195775
BASE_T1,industry,7,10,-2720.6592400000227,0.030766009803583277
BASE_T1,industry,8,5,21040.345730000015,0.014492994050056962
BASE_T1,industry,9,9,21258.644069,0.015559749235613912
BASE_T1,industry,10,11,55495.72993,0.034098045451279056
BASE_T1,industry,11,5,-8091.141179999977,0.010336257402208995
BASE_T1,industry,12,19,2905.473268400023,0.06672543120091547
BASE_T1,industry,13,2,-19221.379610000018,0.006780939974730342
BASE_T1,industry,14,3,-3042.0578146000335,0.0019573501552082755
BASE_T1,industry,17,4,2828.336329999962,0.006625958907291519
BASE_T1,industry,18,1,-4519.627200000017,0.0015944391803913108
BASE_T1,industry,19,11,35830.63882039991,0.028137586823673223
BASE_T1,industry,20,7,32447.38379000002,0.012883435312594171
BASE_T1,industry,21,9,-33600.16914000001,0.028327722829504465
BASE_T1,industry,22,16,-990.937019999983,0.028519411111950155
BASE_T1,industry,24,1,1352.7595000000001,0.0004772280219144073
BASE_T1,industry,25,3,-13877.984612800006,0.007087656002104847
BASE_T1,industry,26,3,15431.19396999995,0.008268793851625642
BASE_T1,industry,27,6,26270.521559999994,0.014955006674850918
BASE_T1,industry,28,3,-9786.718360000028,0.012075905464633796
BASE_T1,industry,29,5,31544.145050000036,0.01841231562772144
BASE_T1,industry,30,3,-20454.560259999984,0.007215982835092887
BASE_T1,industry,31,9,-16299.761746499964,0.024062213428897677
BASE_T1,industry,32,4,-23160.768350000028,0.008170681976869003
BASE_T1,industry,33,8,-1405.9080619999877,0.021946369194600544
BASE_T1,industry,34,9,23872.12079999996,0.041842925560063395
BASE_T1,industry,35,7,36097.73103959998,0.020913704191832562
BASE_T1,industry,36,1,-2783.750000000029,0.00098205446422978
BASE_T1,industry,37,3,4667.205839999966,0.0049555449208237715
BASE_T1,industry,38,6,60114.131559999994,0.03661608437430109
BASE_T1,industry,39,11,-50315.270760000014,0.027536070118448264
BASE_T1,industry,40,1,-26614.13920000002,0.009388966039691974
BASE_T1,industry,41,10,-46643.54558119999,0.029851580109369006
BASE_T1,industry,42,1,2384.750479999988,0.0008412949636131385
BASE_T1,industry,45,8,24050.061187299958,0.028327301569079567
BASE_T1,industry,46,2,-10897.239819999973,0.003844340552496951
BASE_T1,industry,47,1,1383.1987200000003,0.00048796640427226
BASE_T1,industry,48,1,-8634.737999999998,0.0030461726090182063
BASE_T1,industry,50,1,-2337.533500000005,0.0008246377041622429
BASE_T1,industry,51,1,-7649.972999999998,0.002698766101800522
BASE_T1,industry,52,3,1608.6002299999818,0.0031640974586083243
BASE_T1,industry,53,3,-13394.467679999987,0.00900250503884491
BASE_T1,industry,54,3,-1727.5477100000426,0.00846953833606675
BASE_T1,industry,55,2,-14801.182079999999,0.005221577705448287
BASE_T1,industry,56,2,6496.187820000021,0.003572615573820824
BASE_T1,industry,57,2,8466.582219999997,0.002986850423320841
BASE_T1,industry,59,4,6275.746839999978,0.012512507077825655
BASE_T1,industry,60,4,3260.3280900000173,0.003659512794058196
BASE_T1,industry,61,1,-24720.32736000001,0.008720864963128632
BASE_T1,industry,62,4,20778.635710000002,0.014932450749137773
BASE_T1,industry,63,2,-1815.247159999999,0.0026175947485734207
BASE_T1,industry,64,2,-2555.200239999991,0.0023776203395037845
BASE_T1,industry,66,1,-8654.301040000006,0.0030530740803306135
BASE_T1,industry,69,5,589.3529300000228,0.012680089271949366
BASE_T1,industry,72,1,12165.225280000013,0.004291661892980643
BASE_T1,industry,73,2,10112.277820000018,0.0037418985998451944
BASE_T1,industry,74,2,-1009.6600800000015,0.001720143252489835
BASE_T1,industry,75,1,608.9520000000048,0.00021482677327405532
BASE_T1,industry,76,5,-25112.153289999995,0.010247807493449921
BASE_T1,industry,78,1,5169.139920000001,0.0018235750102072084
BASE_T1,industry,79,5,3445.7616800000105,0.013166059206680316
BASE_T1,industry,83,2,8631.958080000004,0.006460411251320627
BASE_T1,industry,88,6,41535.428369999994,0.025599321289098864
BASE_T1,industry,89,1,1563.767240000001,0.0005516675703846491
