year,fill_group,events,base_pnl,delay_pnl,future10_from_t1,false_breakout,t2_reenter
2020,BOTH_FILLED,49,6017.695360000027,102224.57027999997,0.00785465354681051,0.5714285714285714,1.0
2020,NEITHER,184,0.0,0.0,0.05228402598017156,0.14130434782608695,0.32608695652173914
2020,T1_ONLY,23,149241.54904,0.0,0.07208648954339662,0.13043478260869565,0.21739130434782608
2020,T2_ONLY,24,0.0,3060.3520400000416,-0.02276416856376638,0.375,1.0
2021,BOTH_FILLED,72,59956.64667879992,149816.60814319988,0.008602786618008245,0.5555555555555556,0.9722222222222222
2021,NEITHER,138,0.0,0.0,0.008475887339703973,0.16666666666666666,0.3115942028985507
2021,T1_ONLY,34,81201.71228720008,0.0,0.021254741109387177,0.11764705882352941,0.23529411764705882
2021,T2_ONLY,31,0.0,-26873.53052,-0.027852590500980972,0.45161290322580644,1.0
2022,BOTH_FILLED,61,-38762.88552690002,65371.883584600015,-0.0012052275385724853,0.6721311475409836,1.0
2022,NEITHER,355,0.0,0.0,-0.0028284446825111763,0.2647887323943662,0.532394366197183
2022,T1_ONLY,33,-50499.15398699994,0.0,-0.0038825030698615946,0.3939393939393939,0.42424242424242425
2022,T2_ONLY,36,0.0,257667.84246270003,0.02972190562384574,0.5277777777777778,1.0
2023,BOTH_FILLED,64,-149846.02974950004,-86005.19515579985,-0.015570364069417477,0.59375,0.96875
2023,NEITHER,254,0.0,0.0,-0.002549428419847563,0.14960629921259844,0.44881889763779526
2023,T1_ONLY,47,94228.58574279986,0.0,0.015235280293110389,0.19148936170212766,0.3404255319148936
2023,T2_ONLY,44,0.0,-48880.17124000002,-0.024054491552743373,0.5454545454545454,1.0
