baseline,candidate,common,only_candidate,only_baseline,common_capital_effect,common_return_effect,unique_candidate_pnl,missed_baseline_pnl,residual,total_nav_increment
BASE_T1,FIXED_T2,246,135,137,-11555.451940189669,365597.8920297898,184974.49274270004,-274172.693083,-2.153683453798294e-09,264844.23974929797
BASE_T1_COST2,FIXED_T2_COST2,243,137,138,-18402.334328553246,363499.5010838532,187686.29178249987,-235604.95664800005,1.7462298274040222e-10,297178.50188979995
FIXED_T2,E3_QUARTER,242,100,139,-5298.026002200007,-7.554786262118027e-11,196484.93377769995,-170780.60009470003,9.604264050722122e-10,20406.30768080079
S1_FIXED_T2,E3_QUARTER_S1,216,97,126,-5412.203562799977,-1.2074161809314558e-10,259990.60009169983,-200540.4178719001,6.111804395914078e-10,54037.97865700023
E3_QUARTER,E3_QUARTER_S1,296,17,46,8832.8944699,-7.4022835343883e-11,68629.09607039992,55749.80338000007,7.566995918750763e-10,133211.79392030067
FIXED_T2_COST2,E3_QUARTER_COST2,243,99,137,-5600.341354299999,-1.216145866360424e-10,182130.89834869982,-160941.20539249992,1.2223608791828156e-09,15589.351601900999
FIXED_T2,FIXED_T3,267,106,114,12799.774517461594,125730.10640623815,1140.637205599989,-433471.63642289984,8.731149137020111e-10,-293801.1182935992
