baseline,candidate,year,pnl_increment,return_on_initial_capital
BASE_T1,FIXED_T2,2020,-29021.22551999986,-0.02902122551999986
BASE_T1,FIXED_T2,2021,-30291.981062800158,-0.030291981062800157
BASE_T1,FIXED_T2,2022,405348.28514119936,0.40534828514119936
BASE_T1,FIXED_T2,2023,-81190.83880910138,-0.08119083880910137
BASE_T1_COST2,FIXED_T2_COST2,2020,-566.4887319998816,-0.0005664887319998816
BASE_T1_COST2,FIXED_T2_COST2,2021,-21829.76071859966,-0.02182976071859966
BASE_T1_COST2,FIXED_T2_COST2,2022,392298.5261871994,0.3922985261871994
BASE_T1_COST2,FIXED_T2_COST2,2023,-72723.7748467999,-0.0727237748467999
FIXED_T2,E3_QUARTER,2020,89001.94164799876,0.08900194164799875
FIXED_T2,E3_QUARTER,2021,-81418.4927043994,-0.0814184927043994
FIXED_T2,E3_QUARTER,2022,-83501.11526399967,-0.08350111526399967
FIXED_T2,E3_QUARTER,2023,96323.9740012011,0.0963239740012011
S1_FIXED_T2,E3_QUARTER_S1,2020,140445.03887999966,0.14044503887999965
S1_FIXED_T2,E3_QUARTER_S1,2021,-123941.0616356004,-0.1239410616356004
S1_FIXED_T2,E3_QUARTER_S1,2022,-69608.01842279965,-0.06960801842279965
S1_FIXED_T2,E3_QUARTER_S1,2023,107142.01983540063,0.10714201983540063
E3_QUARTER,E3_QUARTER_S1,2020,24543.312840000493,0.024543312840000494
E3_QUARTER,E3_QUARTER_S1,2021,54206.23157679965,0.05420623157679965
E3_QUARTER,E3_QUARTER_S1,2022,-6469.65865950007,-0.00646965865950007
E3_QUARTER,E3_QUARTER_S1,2023,60931.9081630006,0.0609319081630006
FIXED_T2_COST2,E3_QUARTER_COST2,2020,90344.33071600017,0.09034433071600018
FIXED_T2_COST2,E3_QUARTER_COST2,2021,-85604.84553100006,-0.08560484553100006
FIXED_T2_COST2,E3_QUARTER_COST2,2022,-85722.05426969891,-0.08572205426969891
FIXED_T2_COST2,E3_QUARTER_COST2,2023,96571.9206865998,0.0965719206865998
FIXED_T2,FIXED_T3,2020,-104236.82472000073,-0.10423682472000073
FIXED_T2,FIXED_T3,2021,13242.373973600916,0.013242373973600915
FIXED_T2,FIXED_T3,2022,-237706.99310740014,-0.23770699310740015
FIXED_T2,FIXED_T3,2023,34900.32556020073,0.03490032556020073
