key,id,status,source,output,net_return,cagr,maxdd,volatility,sharpe,mean_exposure,max_single,trades,profit_factor,fees,turnover,min_cash,reason,resolved_by
BASE_T1,A_D08_C_10_E10,VERIFIED_REUSE,V3,/Volumes/quant/CY_quant_research/usic_multichampion_ashare_v3/A_D08_C_10_E10,0.15153811984540067,0.03733666460156071,-0.17488295278373756,0.13557287742584168,0.3381821340822343,0.3694401105739198,0.16098411648866157,383.0,1.1129583047317448,68763.22015459997,72.75768190226165,3728.50112860043,,
FIXED_T2,B_D08_C_10_DELAY1,VERIFIED_REUSE,V3,/Volumes/quant/CY_quant_research/usic_multichampion_ashare_v3/B_D08_C_10_DELAY1,0.4163823595946985,0.09465120921901438,-0.17316639315014937,0.12840535037488154,0.7685763373710357,0.36219749155295444,0.14385487343653114,381.0,1.3167240838171521,73873.61040530003,72.20053942378219,4352.844320000222,,
BASE_T1_COST2,B_D08_C_10_COST2,VERIFIED_REUSE,V3,/Volumes/quant/CY_quant_research/usic_multichampion_ashare_v3/B_D08_C_10_COST2,0.061052414525399445,0.015514833118879245,-0.19470113256237664,0.134799669931128,0.18166948723673002,0.3700857136420771,0.16224833895956084,381.0,1.0458924685126958,90489.55547459994,72.79720424887394,1530.513912299415,,
S1_T1,R1_S1_D08_C_10,VERIFIED_REUSE,V4,/Volumes/quant/CY_quant_research/usic_market_router_v4/accounts/R1_S1_D08_C_10,0.22036911469559994,0.053100649983670145,-0.1383061594229512,0.13208192769762733,0.457829148819377,0.33360507723886396,0.1612206233140271,346.0,1.19163172768298,62183.16530440002,65.80191974735045,1875.4277984002692,,
S1_FIXED_T2,R1_S1_D08_DELAY1_C_10,VERIFIED_REUSE,V4,/Volumes/quant/CY_quant_research/usic_market_router_v4/accounts/R1_S1_D08_DELAY1_C_10,0.5159624825387998,0.11414506904747235,-0.12565978883038154,0.11954572022621437,0.9640980329592519,0.3237194112224293,0.14291016464767708,342.0,1.4478642401132367,68311.12746119994,64.81897426675674,4534.925208000001,,
E3_HALF,E3_FROZEN_BAND_C10_E10,COMPLETED,V5,/Volumes/quant/CY_quant_research/usic_d08_entry_timing_v5/accounts/E3_FROZEN_BAND_C10_E10,0.3504197326566991,0.08117247529266902,-0.17407695087815733,0.12843864974077587,0.6719476216202462,0.3618241270177153,0.14622931521210367,379.0,1.262650224367493,74889.64734330004,71.99778896973773,15419.877624199376,,
E3_QUARTER,E3_QUARTER_BAND_C10_E10_CA,COMPLETED,V5,/Volumes/quant/CY_quant_research/usic_d08_entry_timing_v5/accounts/E3_QUARTER_BAND_C10_E10_CA,0.43678866727549925,0.09872675535167597,-0.14714284618533469,0.12110397354088388,0.8380688172351352,0.3221749683968122,0.14489861161171258,342.0,1.410685525421443,65840.37272449996,63.84867485757449,30635.504999899073,,
FIXED_T2_COST2,E1_FIXED_T2_COST2_C10_E10,COMPLETED,V5,/Volumes/quant/CY_quant_research/usic_d08_entry_timing_v5/accounts/E1_FIXED_T2_COST2_C10_E10,0.35823091641519933,0.08279370389704832,-0.1780480489057693,0.1286240903105476,0.6827943365604169,0.3623975653533726,0.14452704358940688,380.0,1.2720800565659844,99548.52358480003,72.2229604817493,4784.011759999747,,
FIXED_T3,E1_FIXED_T3_C10_E10,COMPLETED,V5,/Volumes/quant/CY_quant_research/usic_d08_entry_timing_v5/accounts/E1_FIXED_T3_C10_E10,0.12258124130109938,0.030495901437215256,-0.16825382181112913,0.1300120737119803,0.29623774263447866,0.3593687150323703,0.15124412963248463,373.0,1.1005180301941215,64204.108698899996,71.39661964071757,30749.615758299886,,
E3_QUARTER_COST2,E3_QUARTER_COST2_C10_E10,COMPLETED,V5,/Volumes/quant/CY_quant_research/usic_d08_entry_timing_v5/accounts/E3_QUARTER_COST2_C10_E10,0.37382026801710033,0.08600878865357697,-0.15468449395097972,0.12129609001363711,0.7409296488186803,0.3231087260494853,0.14516754122685727,342.0,1.348235825810607,88610.63198289993,63.981900521136104,31165.299944200582,,
E3_QUARTER_S1,E3_QUARTER_S1_C10_E10,COMPLETED,V5,/Volumes/quant/CY_quant_research/usic_d08_entry_timing_v5/accounts/E3_QUARTER_S1_C10_E10,0.5700004611958001,0.12432935843492476,-0.10240026709782246,0.11933604453798989,1.041829517202343,0.2928324630177872,0.14518499903386248,313.0,1.5856611310661919,62959.42282020004,58.051583634661675,38524.49224799962,,
E3_QUARTER_CMAX,E3_QUARTER_CMAX_E10,COMPLETED,V5,/Volumes/quant/CY_quant_research/usic_d08_entry_timing_v5/accounts/E3_QUARTER_CMAX_E10,0.08581812524529941,0.02162019664268211,-0.3254311645922673,0.2368055597185886,0.20991265766615744,0.5393802254820275,0.9901103778172627,319.0,1.0521420616220882,91746.60475469993,105.4341215465809,146.9835719997884,,
E3_QUARTER_BLOCKED,E3_QUARTER_BAND_C10_E10,BLOCKED_OR_INVALIDATED,V5,/Volumes/quant/CY_quant_research/usic_d08_entry_timing_v5/accounts/E3_QUARTER_BAND_C10_E10,,,,,,,,,,,,,ExecutionGap('HELD_ACTION_MISSING:cninfo:distribution:f6fbc8f9d4b45d64ee8a4a654ca9613a:share_credit_date'),E3_QUARTER_BAND_C10_E10_CA
