key,year,day,count,mean,median
BASE_T1,2020,1,71,0.005353933331429662,-0.003403014098201429
BASE_T1,2020,2,71,0.010328942374565758,0.011185682326621649
BASE_T1,2020,3,71,0.0191153571551667,0.010026737967914423
BASE_T1,2020,4,71,0.02170004588945782,-0.005277044854881119
BASE_T1,2020,5,71,0.026827136289160523,0.009113504556752527
BASE_T1,2020,6,71,0.026076299408142354,0.016042780748662944
BASE_T1,2020,7,71,0.02478564721143015,0.0032341526520049957
BASE_T1,2020,8,71,0.029765103864255075,0.005568808237755185
BASE_T1,2020,9,71,0.024585124070773304,0.019211983067404903
BASE_T1,2020,10,71,0.02371850541144661,0.010695187165775666
BASE_T1,2021,1,106,0.0010981284050762127,-0.0014181333416733999
BASE_T1,2021,2,106,-0.00011441743683076107,-0.0017769231811641806
BASE_T1,2021,3,106,0.0026724200699847194,-0.007924545378595771
BASE_T1,2021,4,106,0.010963569422619788,0.0023393860958382806
BASE_T1,2021,5,106,0.016388851360785536,0.0009393995112448872
BASE_T1,2021,6,106,0.016340439331751493,0.006077002784456775
BASE_T1,2021,7,106,0.020062299228290687,0.009283074971593086
BASE_T1,2021,8,106,0.017419240557742306,0.005677261803883948
BASE_T1,2021,9,106,0.016013276802037988,0.008882622665070006
BASE_T1,2021,10,106,0.013989202874176364,0.005709140356258691
BASE_T1,2022,1,95,-0.008754803061877967,-0.015712682379349086
BASE_T1,2022,2,95,-0.007573967391111344,-0.00850340136054395
BASE_T1,2022,3,95,-0.008751294034369427,-0.012421173323141632
BASE_T1,2022,4,95,-0.003646533899411247,-0.006896551724137945
BASE_T1,2022,5,95,-0.0056496845630960866,-0.01382978723404249
BASE_T1,2022,6,95,-0.003204176834872379,-0.010360054347826053
BASE_T1,2022,7,95,-0.0036340833782690205,-0.015873015873015706
BASE_T1,2022,8,95,0.003615347867265103,-0.0027548209366389242
BASE_T1,2022,9,95,0.0017047750030554903,-0.0024330900243306752
BASE_T1,2022,10,95,-0.00272166970471782,-0.007731958762886348
BASE_T1,2023,1,111,-0.0029120382151533466,-0.004008016032064132
BASE_T1,2023,2,111,-0.0003067197191112299,0.0
BASE_T1,2023,3,111,-0.0012557938853609448,0.0
BASE_T1,2023,4,111,-0.002212179271210875,-0.005540756526371982
BASE_T1,2023,5,111,-0.0012790164793824053,0.0002505010020044107
BASE_T1,2023,6,111,-0.0015837931772417638,-0.0032981530343006993
BASE_T1,2023,7,111,9.876562422523822e-05,-0.006097560975610095
BASE_T1,2023,8,111,-0.00022339435561338696,-0.0015400410677619547
BASE_T1,2023,9,111,-0.0035008155648187387,-0.003542958370239435
BASE_T1,2023,10,111,-0.003508426771334184,-0.0015400410677619547
BASE_T1_COST2,2020,1,71,0.005857719384811552,-0.0025839793281654533
BASE_T1_COST2,2020,2,71,0.0074233507219459306,0.005794701986755246
BASE_T1_COST2,2020,3,71,0.014109121810066861,0.007974481658692412
