carrier,eligible,minimum_discovery_pf_across_diagnostics,main_discovery_max_drawdown,completed_discovery_trades,selected_primary,fallback_used
A_PULLBACK_RECLAIM,False,0.875904118369,-0.0814909350167,432,True,True
B_LOCAL_BREAKOUT,False,0.470892132717,-0.131047937208,349,False,True
C_TREND_RESUMPTION,False,0.506462169377,-0.0980262274334,88,False,True
