carrier,split,candidate_episodes,entry_signals,entry_intents,actual_fills,completed_trades,entry_conversion_rate,completion_rate_of_fills,win_rate,mean_gross_trade_return,gross_trade_sum,mean_trade_return,net_expectancy,median_trade_return,average_winner,average_loser,payoff_ratio,realized_profit_factor,worst_trade,loss_p01,loss_p05,mean_mfe,mean_mae,mean_mfe_capture_ratio,mean_profit_giveback,mean_holding_sessions,median_holding_sessions,mean_cost_per_trade,cost_fraction_of_gross_alpha,net_realized_trade_sum,gross_total_return,net_total_return,annualized_return,sharpe,sortino,calmar,maximum_drawdown,maximum_drawdown_duration_sessions,average_exposure,turnover,transaction_costs,portfolio_admitted_entries,capacity_rejections,terminal_open_positions_x,ending_equity,realized_pnl,terminal_unrealized_pnl,total_marked_pnl,pnl_excluding_terminal_unrealized,terminal_open_positions_y,terminal_mtm_share_of_total,positive_result_depends_materially_on_terminal_mtm,largest_10_trades_contribution,net_sum_excluding_top_5_winners,largest_symbol_positive_contribution_share,net_sum_excluding_top_5_symbols
A_PULLBACK_RECLAIM,discovery,1006,659,522,476,432,0.473161033797,0.90756302521,0.340277777778,0.00169767952081,0.733397552988,-0.00094413479386,-0.00094413479386,-0.00923990926047,0.050013833763,-0.0272277185758,1.83687199586,0.947439239968,-0.220062397504,-0.113954278135,-0.0630931185615,0.0647252512619,-0.0256318778219,-1.86733592999,0.0630275717411,6.8125,6,0.00264181431467,1.55613252224,-0.407866230948,-0.0160978898726,-0.0240987905649,-0.0748630599163,-0.431307592933,-0.448962284426,-0.918667332765,-0.0814909350167,9,0.233755732683,6.52116663516,0.00813492281887,39,437,10,0.975901209435,-0.0598528224234,0.0357540318585,-0.0240987905649,-0.0598528224234,10,1.4836442419,False,0.279366797816,-1.64573131826,0.0432128223238,-1.64573131826
A_PULLBACK_RECLAIM,holdout,2186,1086,913,832,769,0.380603842635,0.924278846154,0.262678803641,-0.00292788048972,-2.25154009659,-0.005557495644,-0.005557495644,-0.0170223753709,0.0678284028726,-0.031702030918,2.1395601767,0.762241897166,-0.470218112322,-0.11401858826,-0.0676340361141,0.0554554778863,-0.0325884906262,-2.31196038009,0.058383358376,6.44993498049,4,0.00262961515428,,-4.27371415024,-0.0510150879011,-0.0826110967219,-0.23277904041,-0.974250906763,-1.70981170425,-1.17523251892,-0.198070625739,76,0.928381291111,26.0745429834,0.0310412065988,141,691,10,0.917388903278,-0.216467887366,0.133856790644,-0.0826110967219,-0.216467887366,10,1.62032458054,False,0.266788781671,-6.54203447691,0.0881538696411,-6.82757542612
A_PULLBACK_RECLAIM,validation,2479,1562,1313,1194,1110,0.481645824929,0.929648241206,0.35045045045,0.0121120324774,13.4443560499,0.0094427520047,0.0094427520047,-0.0125875468419,0.0863814731316,-0.0320678756213,2.69370737718,1.45333171945,-0.139421386397,-0.108748062124,-0.0715863126886,0.085241259689,-0.0334921960287,-1.70702617735,0.0731292272117,6.89459459459,5,0.00266928047265,0.220382539235,10.4814547252,0.00852705952757,-0.0205461987782,-0.0618070662176,-0.102659558148,-0.145902890077,-0.38711644678,-0.159660140331,35,0.922238138966,22.1040582687,0.0293537344626,120,1074,10,0.979453801222,-0.0312728801332,0.0107266813549,-0.0205461987782,-0.0312728801332,10,0.522076198653,False,0.151883041534,7.36551548847,0.0418530920725,7.06131430422
B_LOCAL_BREAKOUT,discovery,1006,449,401,367,349,0.364811133201,0.950953678474,0.234957020057,-0.0104148519982,-3.63478334738,-0.0130247214858,-0.0130247214858,-0.0181003239856,0.0560183451861,-0.0342289591903,1.63657752123,0.502619313638,-0.220062397504,-0.152386626698,-0.0826474193078,0.0580476445608,-0.0336126530091,-2.168760364,0.068462496559,6.83094555874,6,0.00260986948759,,-4.54562779855,-0.0919256423597,-0.099750546386,-0.284806891753,-2.32430805162,-1.47737779017,-2.17330312724,-0.131047937208,15,0.227852532421,6.60439833108,0.0081720177035,40,327,10,0.900249453614,-0.117779337517,0.018028791131,-0.099750546386,-0.117779337517,10,0.180738770705,False,0.388176907719,-5.6097706727,0.0712109545629,-5.6097706727
B_LOCAL_BREAKOUT,holdout,2186,450,401,372,336,0.170173833486,0.903225806452,0.28869047619,-0.0038549178045,-1.29525238231,-0.00648208804901,-0.00648208804901,-0.0225431153032,0.0754869612962,-0.0397498612142,1.89904968194,0.770744013174,-0.470218112322,-0.144473201626,-0.0821497889426,0.0689096697506,-0.0367357052825,-2.27234005333,0.0727645875551,7.5,6,0.00262717024451,,-2.17798158447,0.0949654096132,0.0648441822388,0.212983040006,0.894599055529,1.50253615115,1.41064398224,-0.150982843784,71,0.870350313235,20.9301037288,0.0251901909679,114,258,10,1.06484418224,-0.107647146917,0.172491329156,0.0648441822388,-0.107647146917,10,2.66008951306,True,0.386323776767,-3.98203223015,0.0944714136044,-4.01118242736
B_LOCAL_BREAKOUT,validation,2479,718,629,579,554,0.233561920129,0.956822107081,0.373646209386,0.0117077539443,6.48609568516,0.0090395396904,0.0090395396904,-0.0166406482426,0.0969708077865,-0.0434151360902,2.23357143428,1.33241869422,-0.26634678685,-0.135304220391,-0.0929648063462,0.102479608542,-0.0397541805603,-1.35937818867,0.0907718545976,7.73646209386,7,0.00266821425393,0.227901463135,5.00790498848,-0.0300045346862,-0.0562955758157,-0.163113226267,-0.471869552431,-0.629878305275,-1.08505014929,-0.150327822519,37,0.884764944739,21.4447478523,0.0277551705143,116,463,10,0.943704424184,-0.0682383813427,0.011942805527,-0.0562955758157,-0.0682383813427,10,0.212144655313,False,0.2178174223,2.28968113689,0.0595374307548,1.78735757402
C_TREND_RESUMPTION,discovery,1006,134,113,105,88,0.104373757455,0.838095238095,0.25,-0.0130001054114,-1.1440092762,-0.0156031567146,-0.0156031567146,-0.0244853185326,0.0711997148825,-0.0445374472469,1.59864831246,0.532882770819,-0.214275919843,-0.145194454969,-0.114428121397,0.08184836904,-0.0450925545469,-1.81066858299,0.0948484744514,6.88636363636,6,0.00260305130321,,-1.37307779088,-0.0748355554247,-0.0822617437594,-0.239537495817,-1.97955118766,-1.79253708552,-2.44360618672,-0.0980262274334,16,0.224019137714,6.30062307403,0.0077876747963,38,67,10,0.917738256241,-0.0800954903985,-0.00216625336091,-0.0822617437594,-0.0800954903985,10,0.026333666926,False,0.712605995332,-2.05941625873,0.111856572904,-2.05941625873
C_TREND_RESUMPTION,holdout,2186,316,264,241,205,0.110247026532,0.850622406639,0.209756097561,-0.0106695756521,-2.18726300868,-0.0132787733476,-0.0132787733476,-0.0277403662347,0.108523876146,-0.0456091062377,2.37943439584,0.631578265562,-0.470218112322,-0.155899574505,-0.105319648326,0.0729367560178,-0.0462234278051,-2.46675330046,0.0836063316698,6.47804878049,5,0.00260919769548,,-2.72214853625,0.100600490759,0.0716207956988,0.236862806934,0.938732790831,1.5268702517,1.67450344864,-0.141452564416,69,0.849998787864,20.7716226459,0.0256578932605,114,127,10,1.0716207957,-0.0988653710257,0.170486166724,0.0716207956988,-0.0988653710257,10,2.38040034408,True,0.603997697658,-4.50792496806,0.118658462776,-4.52632967468
C_TREND_RESUMPTION,validation,2479,712,589,539,503,0.217426381605,0.933209647495,0.308151093439,0.00624646964295,3.1419742304,0.00359265863597,0.00359265863597,-0.0239625254806,0.109950757665,-0.0437794831727,2.51146769437,1.11861348456,-0.186940316628,-0.128486860648,-0.089269400417,0.0995204137951,-0.0443748595652,-2.1898082276,0.0932739441522,7.05566600398,6,0.00265381100699,0.424849740522,1.80710729389,0.112506235642,0.0799993907881,0.266823625899,0.903884471132,1.2424288383,1.7779041525,-0.150077621184,35,0.88990429877,22.6300136382,0.0319612076213,122,417,10,1.07999939079,0.0581078326108,0.0218915581772,0.0799993907881,0.0581078326108,10,0.273646561075,True,0.250869790663,-0.867362411388,0.0517914031008,-1.20782191926
