carrier,split,dimension,bucket,completed_trades,net_expectancy,realized_profit_factor,net_trade_sum
C_TREND_RESUMPTION,holdout,calendar_month,2020-10,20,-0.00803079063477,0.7098759043,-0.160615812695
C_TREND_RESUMPTION,holdout,calendar_month,2020-11,51,0.00405331697689,1.10395636568,0.206719165821
C_TREND_RESUMPTION,holdout,calendar_month,2020-12,65,-0.0144902343293,0.581704575211,-0.941865231406
C_TREND_RESUMPTION,validation,realized_volatility,HIGH,321,-0.00403255220556,0.886150475841,-1.29444925799
C_TREND_RESUMPTION,validation,realized_volatility,LOW,182,0.0170415195158,1.80238241864,3.10155655188
C_TREND_RESUMPTION,validation,market_trend,STRONG,420,0.000384981387562,1.01198328258,0.161692182776
C_TREND_RESUMPTION,validation,market_trend,WEAK,83,0.0198242784472,1.94449334926,1.64541511111
C_TREND_RESUMPTION,validation,calendar_month,2020-05,44,-0.00239900010422,0.904054776999,-0.105556004586
C_TREND_RESUMPTION,validation,calendar_month,2020-06,77,0.0471455494766,3.57984368626,3.6302073097
C_TREND_RESUMPTION,validation,calendar_month,2020-07,244,0.00832936107673,1.26685676244,2.03236410272
C_TREND_RESUMPTION,validation,calendar_month,2020-08,138,-0.0271732472025,0.266451626238,-3.74990811395
