carrier,split,trade_id,date,admitted,reason
A_PULLBACK_RECLAIM,discovery,trd_3cfa59b46319881b7cce,2020-04-03,True,ADMITTED
A_PULLBACK_RECLAIM,discovery,trd_e789441d951d839b66de,2020-04-03,True,ADMITTED
A_PULLBACK_RECLAIM,discovery,trd_3c97d5894e878bf7ffad,2020-04-03,True,ADMITTED
A_PULLBACK_RECLAIM,discovery,trd_71a01a3e4c6ecc852c45,2020-04-03,True,ADMITTED
A_PULLBACK_RECLAIM,discovery,trd_88935ba1bcb2877009b2,2020-04-03,True,ADMITTED
A_PULLBACK_RECLAIM,discovery,trd_0c3f85d86ccb2cde9c15,2020-04-03,True,ADMITTED
A_PULLBACK_RECLAIM,discovery,trd_559c1f9b2f0aa3ff9868,2020-04-03,True,ADMITTED
A_PULLBACK_RECLAIM,discovery,trd_086a6d35522baaa8b8e2,2020-04-03,True,ADMITTED
A_PULLBACK_RECLAIM,discovery,trd_d8fb089cc53c55ae1aac,2020-04-03,True,ADMITTED
A_PULLBACK_RECLAIM,discovery,trd_08666e484f3a364d8733,2020-04-03,True,ADMITTED
A_PULLBACK_RECLAIM,discovery,trd_aa4471615ea9c458cd0a,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_a654ceaacce38e0cd7e6,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_d165b6befecb587d8344,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_51be9a6e13aac7826cc8,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_2ebc9d272660f965874c,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_f86b77c65686012934b3,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_4f9f0f5c0477763757d2,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_e9b53650f1899e41761f,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_2be0e6ec5224b19342ab,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_2c4e970bf7cc3d02a0e8,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_dcd77939b72f52c1656d,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_485c3365c1c20f696c1f,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_ce62a57e2710cd7ebfe5,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_091816fb49c667fb765c,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_e20358fbadd2d69d12d1,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_288eee142610330266d2,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_492a6881ba34c614c64c,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_ff67ea8416d6bdf2688a,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_8f51e0b2c5c83d4cc3e3,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_7fd11a12151f429e78a5,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_8299e7e842e11bb33550,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_9989ae011aa665021678,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_40b727e6ef6484e38ae5,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_7e26e0434a53f9f9c2e8,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_e21fc7a4ffd671a70ef7,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_ce5bea1b56038d077fed,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_11648a1a0720ca513700,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_431ac75ce8b67669f918,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_e8adfcade513c2e4eb88,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_3bb0fe9a5262e1906985,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_c140e3ae39289620f2fc,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_140499d23e69e0990d90,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_22835e88849f45449992,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_5c856abf88e11dc5aa56,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_cbfa11328bb11424b5ae,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_14f903810f1f1a5f74b3,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_892a3ed84bb13dbd8ac1,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_5d37cd06845e380a56c2,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_c2bb78d60398531585ec,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_a67afa788d546eeec726,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_9d2da781f6a13aba6d5e,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_0b91561184e9bf20aacf,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_9cbeb3fd23d1ecd18423,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_5c6ecd0e5d7db3464586,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_7cedb321a7bd30f0f17c,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_508bd48aa483fd55cf9c,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_4812af63adf5dfcef084,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_17e86a715f56d6a1f18f,2020-04-03,False,NO_PORTFOLIO_SLOT
A_PULLBACK_RECLAIM,discovery,trd_77c320194230270f69e1,2020-04-03,False,NO_PORTFOLIO_SLOT
