scope,strategy,gap,mcb_mode,period,target,grade,mechanic,priority,peak_date,trough_date,recovery_date,MaxDD,top_losing_securities,ATRDR_pnl,ATRDR_native_equivalent_pnl,ATRDR_incremental_scaled_pnl,MCB_pnl,MCB_native_equivalent_pnl,MCB_incremental_scaled_pnl,OGR_pnl,OGR_native_equivalent_pnl,OGR_incremental_scaled_pnl,SMV6_pnl,SMV6_native_equivalent_pnl,SMV6_incremental_scaled_pnl,single_security_weight,demand_family_gross,total_gross,cash,IFCGR_pnl,IFCGR_native_equivalent_pnl,IFCGR_incremental_scaled_pnl
SINGLE,ATRDR,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2019-07-01,2020-02-04,2020-07-03,0.3528163598232933,"{""300022.SZ"": -299626.72117757663, ""603118.SH"": -221979.9054217164, ""603589.SH"": -71237.42550802515, ""603609.SH"": -71145.46118437854, ""600702.SH"": -68699.80492246826}",-840870.3679441264,-70209.19367958675,-770661.1742645396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1873817214711488,0.9999999999999989,0.9999999999999989,1.5425030142068863e-09,,,
SINGLE,ATRDR,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,2019-07-01,2020-02-04,2020-07-03,0.3528163598232933,"{""300022.SZ"": -299626.72117757663, ""603118.SH"": -221979.9054217164, ""603589.SH"": -71237.42550802515, ""603609.SH"": -71145.46118437854, ""600702.SH"": -68699.80492246826}",-840870.3679441264,-70209.19367958675,-770661.1742645396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1873817214711488,0.9999999999999989,0.9999999999999989,1.5425030142068863e-09,,,
SINGLE,ATRDR,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2022-01-04,2022-04-26,2022-07-04,0.1707893448004019,"{""601827.SH"": -198627.02811030907, ""300520.SZ"": -136429.24491398095, ""002177.SZ"": -63427.06392630078, ""600017.SH"": -52768.94164671497, ""300888.SZ"": -51663.217673228195}",-462491.96083573584,-103371.74145761458,-359120.21937812126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39987328149181905,0.9999999999999986,0.9999999999999988,2.561137080192566e-09,,,
SINGLE,ATRDR,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,2022-01-04,2022-04-26,2022-07-04,0.1707893448004019,"{""601827.SH"": -198627.02811030907, ""300520.SZ"": -136429.24491398095, ""002177.SZ"": -63427.06392630078, ""600017.SH"": -52768.94164671497, ""300888.SZ"": -51663.217673228195}",-462491.96083573584,-103371.74145761458,-359120.21937812126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39987328149181905,0.9999999999999986,0.9999999999999988,2.561137080192566e-09,,,
SINGLE,MCB,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2018-04-02,2018-08-06,2019-02-22,0.1565425436962111,"{""002396.SZ"": -75219.19430139853, ""002138.SZ"": -39816.31390492985, ""300498.SZ"": -31415.510348281125, ""002506.SZ"": -18312.83561491353, ""300737.SZ"": -10531.472482552039}",0.0,0.0,0.0,-209362.7993374992,-18336.23070925474,-191026.56862824445,0.0,0.0,0.0,0.0,0.0,0.0,0.36445671650801476,0.9999999999999988,0.9999999999999988,1.4551915228366852e-09,,,
SINGLE,MCB,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,2018-04-02,2018-08-06,2019-02-22,0.1565425436962111,"{""002396.SZ"": -75219.19430139853, ""002138.SZ"": -39816.31390492985, ""300498.SZ"": -31415.510348281125, ""002506.SZ"": -18312.83561491353, ""300737.SZ"": -10531.472482552039}",0.0,0.0,0.0,-209362.7993374992,-18336.23070925474,-191026.56862824445,0.0,0.0,0.0,0.0,0.0,0.0,0.36445671650801476,0.9999999999999988,0.9999999999999988,1.4551915228366852e-09,,,
SINGLE,MCB,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2022-01-17,2022-03-15,2022-07-04,0.133601082196805,"{""000777.SZ"": -51136.93291119038, ""300888.SZ"": -45295.36140082708, ""300154.SZ"": -42855.68828080129, ""002899.SZ"": -17302.52996566573, ""603685.SH"": -17118.7845634693}",0.0,0.0,0.0,-247781.32962012594,-39363.37749271793,-208417.952127408,0.0,0.0,0.0,0.0,0.0,0.0,0.2804601182600438,0.9999999999999989,0.9999999999999989,1.862645149230957e-09,,,
SINGLE,MCB,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,2022-01-17,2022-03-15,2022-07-04,0.133601082196805,"{""000777.SZ"": -51136.93291119038, ""300888.SZ"": -45295.36140082708, ""300154.SZ"": -42855.68828080129, ""002899.SZ"": -17302.52996566573, ""603685.SH"": -17118.7845634693}",0.0,0.0,0.0,-247781.32962012594,-39363.37749271793,-208417.952127408,0.0,0.0,0.0,0.0,0.0,0.0,0.2804601182600438,0.9999999999999989,0.9999999999999989,1.862645149230957e-09,,,
SINGLE,OGR,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2018-07-26,2018-09-17,2018-11-02,0.175992404955069,"{""603579.SH"": -105421.0361708558, ""000002.SZ"": -26426.995947982345, ""002385.SZ"": -22626.435029877983, ""603817.SH"": -20311.11173667076, ""000839.SZ"": -16410.436302690985}",0.0,0.0,0.0,0.0,0.0,0.0,-213041.94563874486,-4859.79216358636,-208182.1534751585,0.0,0.0,0.0,0.35257990177536414,0.0,0.9999999999999968,3.3178366720676422e-09,,,
SINGLE,OGR,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,2018-07-26,2018-09-17,2018-11-02,0.175992404955069,"{""603579.SH"": -105421.0361708558, ""000002.SZ"": -26426.995947982345, ""002385.SZ"": -22626.435029877983, ""603817.SH"": -20311.11173667076, ""000839.SZ"": -16410.436302690985}",0.0,0.0,0.0,0.0,0.0,0.0,-213041.94563874486,-4859.79216358636,-208182.1534751585,0.0,0.0,0.0,0.35257990177536414,0.0,0.9999999999999968,3.3178366720676422e-09,,,
