scope,strategy,gap,mcb_mode,period,target,grade,mechanic,priority,target_gross,average_gross_exposure,median_exposure,p90_exposure,p95_exposure,max_exposure,observed_checkpoint_max_gross,share_checkpoints_90pct_target,share_days_90pct_target,zero_actual_exposure_days,pending_adjustments_at_end,normalization_weight_error_max,normalization_weight_error_p95,normalization_weight_error_median,normalization_max_gross_overshoot,observed_completed_timestamp_MaxDD
SINGLE,ATRDR,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,,0.2178668564096378,0.1035443500499825,0.6684842828093421,0.775483350388463,0.9573193639556336,0.9837083254510224,,,139,0,,,,,0.0677818569440006
SINGLE,ATRDR,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,,0.2218154177090027,0.0921012143905633,0.7247773842342122,0.8739687420307364,0.9860243661158196,0.9890198859437332,,,109,0,,,,,0.0609643232359573
SINGLE,MCB,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,,0.1072046208329792,0.0,0.439600427990317,0.6068176471172998,0.9701789019480778,0.988940871379671,,,631,0,,,,,0.0513690233548902
SINGLE,MCB,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,,0.1029806662457031,0.0,0.3560524945386898,0.7690500155305404,0.9674152715357288,0.9702090213827468,,,286,0,,,,,0.0225057975426328
SINGLE,OGR,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,,0.0146937182717481,0.0,0.0233043957573383,0.0554575629973597,0.7298646660752293,0.7734374933727216,,,537,0,,,,,0.0144085090028317
SINGLE,OGR,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,,0.0067220695002165,0.0,0.0124648125511357,0.0247478230405613,0.1290259526684278,0.1416471339657133,,,294,0,,,,,0.0043752218981267
SINGLE,IFCGR,IFCGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,,0.0144483956514001,0.0,0.0199329132606324,0.0553840930604383,0.7292118040718691,0.7729001277569589,,,539,0,,,,,0.0155090493537346
SINGLE,IFCGR,IFCGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,,0.0067205949724884,0.0,0.0124645210324426,0.0247445980890285,0.1289682819869836,0.1416088953846709,,,294,0,,,,,0.0043746489357257
SINGLE,SMV6,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,,0.15071044178721,0.0,0.7696904421588556,0.8636208533494429,0.999929038276774,0.999929038276774,,,696,0,,,,,0.0985738011857639
SINGLE,SMV6,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,,0.1249954908737268,0.0,0.7102299212174172,0.888837383936505,0.8967967566568972,0.8967967566568972,,,388,0,,,,,0.0827173297915171
COMBINED,COMBINED,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,,0.1372379830061582,0.0642574154818999,0.3928714704704769,0.5062253210911069,0.7596878055153231,0.7749772399625978,,,78,0,,,,,0.0425347552912124
COMBINED,COMBINED,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,,0.1406683195243639,0.0644509049705678,0.3989110025177605,0.5803184197514949,0.7824690830825444,0.7835891758226093,,,54,0,,,,,0.0306511763705075
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,,0.1225469378225481,0.056457725328946,0.3445854193232051,0.4222973308788036,0.7086253977856586,0.720351024485678,,,78,0,,,,,0.042532577989228
