case,artifact,expected_sha256,actual_sha256,actual_path,engine_identity,status
SINGLE__ATRDR__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,account.json,e8fe7245702a056cca5c768e34f89b4a9ffdb01fca340aba29e17cfc7389d240,e8fe7245702a056cca5c768e34f89b4a9ffdb01fca340aba29e17cfc7389d240,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/SINGLE__ATRDR__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/account.json,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
SINGLE__ATRDR__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,daily.parquet,5f74a32e02a56c23cd42ab620d44c92b6b92a358184c74af946d7172004f98bc,5f74a32e02a56c23cd42ab620d44c92b6b92a358184c74af946d7172004f98bc,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/SINGLE__ATRDR__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/daily.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
SINGLE__ATRDR__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,fills.parquet,f91fd93853cab88542d1a9507ff20d9b49da7c4e2f344c74c7d79cc430bf5e01,f91fd93853cab88542d1a9507ff20d9b49da7c4e2f344c74c7d79cc430bf5e01,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/SINGLE__ATRDR__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/fills.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
SINGLE__ATRDR__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,timeline.parquet,a5e67e888cbd4305f27c1a62aa34866f4f102a85413d82d89b56a057c3ba1b46,a5e67e888cbd4305f27c1a62aa34866f4f102a85413d82d89b56a057c3ba1b46,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/SINGLE__ATRDR__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/timeline.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
SINGLE__ATRDR__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,demand.parquet,afc74e71f31b1a9ded3c18e4c771ee1c0271f620f587d3b784af277302d7252e,afc74e71f31b1a9ded3c18e4c771ee1c0271f620f587d3b784af277302d7252e,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/SINGLE__ATRDR__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/demand.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
SINGLE__ATRDR__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,checkpoints.parquet,5159c09efa2a408405a47864b0f40dc398fc2a581ba3c42518ece55ba267229c,5159c09efa2a408405a47864b0f40dc398fc2a581ba3c42518ece55ba267229c,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/SINGLE__ATRDR__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/checkpoints.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
SINGLE__ATRDR__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,scaling.json,78023aa5f3b258f443390937191ffbe6617795bb9e96947c8ec6dc022b133d09,78023aa5f3b258f443390937191ffbe6617795bb9e96947c8ec6dc022b133d09,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/SINGLE__ATRDR__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/scaling.json,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
SINGLE__SMV6__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,account.json,7db3d276dfa51498f5a68bd332e380dc5eff002e76e68713fe0c934063410346,7db3d276dfa51498f5a68bd332e380dc5eff002e76e68713fe0c934063410346,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/SINGLE__SMV6__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/account.json,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
SINGLE__SMV6__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,daily.parquet,74e1b10af689e69fd69f350bab126c95b936450c919d9bc425d17326cea4be36,74e1b10af689e69fd69f350bab126c95b936450c919d9bc425d17326cea4be36,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/SINGLE__SMV6__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/daily.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
SINGLE__SMV6__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,fills.parquet,eedd944cc20d3e7b86b9d019aba18c3488a33e37dcf55d3f7606fd0d059b6acc,eedd944cc20d3e7b86b9d019aba18c3488a33e37dcf55d3f7606fd0d059b6acc,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/SINGLE__SMV6__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/fills.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
