scope,strategy,gap,mcb_mode,period,target,grade,mechanic,priority,incremental_CAGR,incremental_MaxDD,incremental_CVaR5,incremental_capital_days,incremental_net_pnl,incremental_average_gross_exposure,incremental_pnl_per_capital_day,capital_day_denominator_status
SINGLE,ATRDR,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0,0.0,0.0,0.0,0.0,0.0,,ZERO_DENOMINATOR
SINGLE,ATRDR,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0,0.0,0.0,0.0,0.0,0.0,,ZERO_DENOMINATOR
SINGLE,MCB,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0,0.0,0.0,0.0,0.0,0.0,,ZERO_DENOMINATOR
SINGLE,MCB,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0,0.0,0.0,0.0,0.0,0.0,,ZERO_DENOMINATOR
SINGLE,OGR,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0,0.0,0.0,0.0,0.0,0.0,,ZERO_DENOMINATOR
SINGLE,OGR,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0,0.0,0.0,0.0,0.0,0.0,,ZERO_DENOMINATOR
SINGLE,IFCGR,IFCGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0,0.0,0.0,0.0,0.0,0.0,,ZERO_DENOMINATOR
SINGLE,IFCGR,IFCGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0,0.0,0.0,0.0,0.0,0.0,,ZERO_DENOMINATOR
SINGLE,SMV6,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0,0.0,0.0,0.0,0.0,0.0,,ZERO_DENOMINATOR
SINGLE,SMV6,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0,0.0,0.0,0.0,0.0,0.0,,ZERO_DENOMINATOR
COMBINED,COMBINED,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0,0.0,0.0,0.0,0.0,0.0,,ZERO_DENOMINATOR
COMBINED,COMBINED,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0,0.0,0.0,0.0,0.0,0.0,,ZERO_DENOMINATOR
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0,0.0,0.0,0.0,0.0,0.0,,ZERO_DENOMINATOR
COMBINED,COMBINED,OGR,confirmation_tag,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0,0.0,0.0,0.0,0.0,0.0,,ZERO_DENOMINATOR
COMBINED,COMBINED,IFCGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0,0.0,0.0,0.0,0.0,0.0,,ZERO_DENOMINATOR
COMBINED,COMBINED,IFCGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0,0.0,0.0,0.0,0.0,0.0,,ZERO_DENOMINATOR
COMBINED,COMBINED,IFCGR,confirmation_tag,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0,0.0,0.0,0.0,0.0,0.0,,ZERO_DENOMINATOR
COMBINED,COMBINED,IFCGR,confirmation_tag,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0,0.0,0.0,0.0,0.0,0.0,,ZERO_DENOMINATOR
SINGLE,ATRDR,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.2073643223195391,0.2912058396412919,-0.031614758116246804,2029666034.5073884,2562506.9673191737,0.5815374635758096,0.0012625264076713532,DEFINED
SINGLE,ATRDR,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,0.2073643223195391,0.2912058396412919,-0.031614758116246804,2029666034.5073884,2562506.9673191737,0.5815374635758096,0.0012625264076713532,DEFINED
SINGLE,ATRDR,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.1986934265264349,0.11001550913574909,-0.023858443271634402,1359211758.357858,1256384.222223293,0.5374716327998555,0.0009243476702564752,DEFINED
SINGLE,ATRDR,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,0.1986934265264349,0.11001550913574909,-0.023858443271634402,1359211758.357858,1256384.222223293,0.5374716327998555,0.0009243476702564752,DEFINED
SINGLE,MCB,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.09091316512492088,0.1052773017223281,-0.0143042977498751,593011173.3325557,690292.4843650416,0.23636264424696518,0.0011640463374168691,DEFINED
SINGLE,MCB,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,0.09091316512492088,0.1052773017223281,-0.0143042977498751,593011173.3325557,690292.4843650416,0.23636264424696518,0.0011640463374168691,DEFINED
SINGLE,MCB,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.1446985067430053,0.1120698981570874,-0.016390498168877103,481385313.82285523,582493.7570144779,0.2970189415718719,0.0012100364101029254,DEFINED
SINGLE,MCB,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,0.1446985067430053,0.1120698981570874,-0.016390498168877103,481385313.82285523,582493.7570144779,0.2970189415718719,0.0012100364101029254,DEFINED
SINGLE,OGR,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.3381811374909032,0.1615960995050767,-0.0296756600305779,1035159485.0747733,2357915.679540531,0.3478113822497586,0.002277828405707175,DEFINED
SINGLE,OGR,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,0.3381811374909032,0.1615960995050767,-0.0296756600305779,1035159485.0747733,2357915.679540531,0.3478113822497586,0.002277828405707175,DEFINED
SINGLE,OGR,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.10246227439446119,0.2572978704323358,-0.0333915812005601,337639975.73606133,240819.08361911564,0.3847983545190104,0.0007132422133786902,DEFINED
SINGLE,OGR,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,0.10246227439446119,0.2572978704323358,-0.0333915812005601,337639975.73606133,240819.08361911564,0.3847983545190104,0.0007132422133786902,DEFINED
SINGLE,IFCGR,IFCGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.2829159350170285,0.1655290022310732,-0.029608172275497502,914444076.5114404,1823960.265961066,0.3413815002837652,0.001994611056937878,DEFINED
SINGLE,IFCGR,IFCGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,0.2829159350170285,0.1655290022310732,-0.029608172275497502,914444076.5114404,1823960.265961066,0.3413815002837652,0.001994611056937878,DEFINED
SINGLE,IFCGR,IFCGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.102394062291681,0.2572985498754278,-0.033393868671759204,336091169.4797185,239567.84913296974,0.3847997705236349,0.0007128061397859086,DEFINED
SINGLE,IFCGR,IFCGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,0.102394062291681,0.2572985498754278,-0.033393868671759204,336091169.4797185,239567.84913296974,0.3847997705236349,0.0007128061397859086,DEFINED
SINGLE,SMV6,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.011790109487666296,-0.00445937272668101,-0.0012779973465777,42424879.77275291,57037.97760307207,0.021895146575941105,0.0013444464170221247,DEFINED
SINGLE,SMV6,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,0.011790109487666296,-0.00445937272668101,-0.0012779973465777,42424879.77275291,57037.97760307207,0.021895146575941105,0.0013444464170221247,DEFINED
SINGLE,SMV6,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,-0.0044172462933750045,0.00978231548724151,-0.0018053556913006,11699240.144447416,-9256.0597026795,0.01488007154529361,-0.0007911675962197019,DEFINED
SINGLE,SMV6,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,-0.0044172462933750045,0.00978231548724151,-0.0018053556913006,11699240.144447416,-9256.0597026795,0.01488007154529361,-0.0007911675962197019,DEFINED
COMBINED,COMBINED,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.4453598922067378,0.24876566341369308,-0.0294767164888326,10220911860.466537,20261429.54882944,0.6639127937518433,0.0019823504815845855,DEFINED
COMBINED,COMBINED,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,0.4453598922067378,0.24876566341369308,-0.0294767164888326,10220911860.466537,20261429.54882944,0.6639127937518433,0.0019823504815845855,DEFINED
COMBINED,COMBINED,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.2908355045589548,0.141624063989116,-0.0318996203778015,4443124046.846861,4599373.166668718,0.6821488184084762,0.001035166499556262,DEFINED
COMBINED,COMBINED,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,0.2908355045589548,0.141624063989116,-0.0318996203778015,4443124046.846861,4599373.166668718,0.6821488184084762,0.001035166499556262,DEFINED
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.4849008051077409,0.2503204659358912,-0.029464914905295903,10591480503.879766,22400932.188470393,0.6748090358276181,0.0021149953663479534,DEFINED
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,0.4849008051077409,0.2503204659358912,-0.029464914905295903,10591480503.879766,22400932.188470393,0.6748090358276181,0.0021149953663479534,DEFINED
COMBINED,COMBINED,OGR,confirmation_tag,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.2868765176971455,0.1463979156144475,-0.0332503183498152,4513195838.215144,4515300.856585341,0.6972977429788477,0.001000466414143249,DEFINED
COMBINED,COMBINED,OGR,confirmation_tag,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,0.2868765176971455,0.1463979156144475,-0.0332503183498152,4513195838.215144,4515300.856585341,0.6972977429788477,0.001000466414143249,DEFINED
COMBINED,COMBINED,IFCGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.4393276938019879,0.2559283362428777,-0.029514372082957804,10071765791.855135,19828093.14001678,0.6633709680830617,0.0019686809194919344,DEFINED
COMBINED,COMBINED,IFCGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,0.4393276938019879,0.2559283362428777,-0.029514372082957804,10071765791.855135,19828093.14001678,0.6633709680830617,0.0019686809194919344,DEFINED
COMBINED,COMBINED,IFCGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.290847757565094,0.1415717410283887,-0.0318956484266401,4439633745.656543,4596238.483187277,0.68206042322547,0.0010352742470443527,DEFINED
COMBINED,COMBINED,IFCGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,0.290847757565094,0.1415717410283887,-0.0318956484266401,4439633745.656543,4596238.483187277,0.68206042322547,0.0010352742470443527,DEFINED
COMBINED,COMBINED,IFCGR,confirmation_tag,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.47890041199617556,0.2574637836744218,-0.029497006505573603,10440815104.768988,21948087.064090792,0.674358427175063,0.002102143064871027,DEFINED
COMBINED,COMBINED,IFCGR,confirmation_tag,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,0.47890041199617556,0.2574637836744218,-0.029497006505573603,10440815104.768988,21948087.064090792,0.674358427175063,0.002102143064871027,DEFINED
COMBINED,COMBINED,IFCGR,confirmation_tag,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.28687993690251884,0.1463491476166962,-0.0332470824514312,4509638233.940427,4512060.926864159,0.6972221704589955,0.00100053722555958,DEFINED
COMBINED,COMBINED,IFCGR,confirmation_tag,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,0.28687993690251884,0.1463491476166962,-0.0332470824514312,4509638233.940427,4512060.926864159,0.6972221704589955,0.00100053722555958,DEFINED
SINGLE,ATRDR,OGR,independent,2018_2021,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,-0.055388058561861006,0.035153941658086496,0.0017885844766251987,-127033392.64827317,-486694.789281338,-0.0185025484166427,,NEGATIVE_DENOMINATOR
SINGLE,ATRDR,OGR,independent,2022_2023,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,-0.004272930483661896,-0.017669495552935004,0.002749189918521501,-69078872.2537961,-24685.66831558058,-0.032244742184255215,,NEGATIVE_DENOMINATOR
SINGLE,MCB,OGR,independent,2018_2021,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,-0.04180614025130171,-0.010820675261760199,0.0027488378160562994,-67433396.97888008,-264405.5676310959,-0.021645035140043803,,NEGATIVE_DENOMINATOR
SINGLE,MCB,OGR,independent,2022_2023,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.008880390704422501,0.012956850876568303,0.00036247977383029994,-2136787.2647630274,33561.34401148278,-0.0028026869696631956,,NEGATIVE_DENOMINATOR
SINGLE,OGR,OGR,independent,2018_2021,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.05822361127785031,0.0321920272656222,-0.0066841114665813,128053945.52220616,274137.281926668,0.0756318115242384,0.0021407952781832026,DEFINED
SINGLE,OGR,OGR,independent,2022_2023,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0219031567450274,0.0645456117593776,-0.007862430087187799,76428410.06333086,49524.67338397191,0.0901261240846708,0.0006479877488349461,DEFINED
