scope,strategy,gap,mcb_mode,period,target,grade,mechanic,priority,initial_nav,max_position_notional,max_position_notional_over_NAV,max_single_order_notional,max_physical_fill_notional,order_aggregation_basis,max_order_notional_over_completed_timestamp_NAV,max_order_over_initial_NAV,max_daily_traded_notional,max_same_symbol_daily_traded_notional,max_same_symbol_checkpoint_traded_notional,capacity_limited_order_count,capacity_limited_requested_notional,capacity_status,volume_participation_status,account_size_extrapolation
COMBINED,COMBINED,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,6623741.901902112,530978.9621939544,0.0781114134134533,526958.9184972843,526958.9184972843,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,0.0764361099182978,0.079556076656,1696837.8642808555,526958.9184972843,526958.9184972843,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,4904782.129191859,647711.35488,0.1069989791581417,647711.35488,647711.35488,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,0.1059432534980295,0.1320571103505306,1469946.6290004342,647711.35488,647711.35488,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
COMBINED,COMBINED,OGR,confirmation_tag,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,6623741.901902112,530978.9621939544,0.0781028174853779,526958.9184972843,526958.9184972843,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,0.0767205495704686,0.079556076656,1643056.7238446914,526958.9184972843,526958.9184972843,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
COMBINED,COMBINED,IFCGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,4904782.129191859,647711.35488,0.1070385004001935,647711.35488,647711.35488,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,0.1059657765309258,0.1320571103505306,1703155.6574589254,647711.35488,647711.35488,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
COMBINED,COMBINED,IFCGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,6618749.6422801465,530978.9621939544,0.0781700413060455,526958.9184972843,526958.9184972843,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,0.0764923245966448,0.07961608264061,1696837.8642808555,526958.9184972843,526958.9184972843,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
COMBINED,COMBINED,IFCGR,confirmation_tag,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,4904782.129191859,647711.35488,0.1069989791581417,647711.35488,647711.35488,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,0.1059432534980295,0.1320571103505306,1469946.6290004342,647711.35488,647711.35488,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
COMBINED,COMBINED,IFCGR,confirmation_tag,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,6618749.6422801465,530978.9621939544,0.0781614324701892,526958.9184972843,526958.9184972843,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,0.0767771835626243,0.07961608264061,1643056.7238446935,526958.9184972843,526958.9184972843,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,ATRDR,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1591804.895172686,4787905.951323841,1.0,4737283.35827793,4737283.35827793,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,1.0020040080160322,2.9760452255450622,7114524.390340995,4737283.35827793,4737283.35827793,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,ATRDR,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1591804.895172686,4787905.951323841,1.0,4737283.35827793,4737283.35827793,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,1.0020040080160322,2.9760452255450622,7114524.390340995,4737283.35827793,4737283.35827793,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,ATRDR,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2696150.1560180755,4355864.975159569,0.9999999999999992,4376840.247913146,4133975.056079797,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,1.002004008016031,1.6233666504603252,7251820.457164226,4376840.247913146,4376840.247913146,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
