scope,strategy,gap,mcb_mode,period,target,grade,mechanic,priority,year,total_return,MaxDD,CVaR5,Sharpe,average_gross,net_pnl,evidence
SINGLE,ATRDR,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2018,0.13893699153287065,0.05720671877076222,-0.01508762153196022,1.3277425358951918,0.27758545772382626,221160.58324259124,ANNUAL_DIAGNOSTIC_NOT_INDEPENDENT_TEST
SINGLE,ATRDR,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2019,0.13966142555835726,0.05348984954318792,-0.012206265638562393,1.575888730046695,0.18930730237541762,253201.34320356767,ANNUAL_DIAGNOSTIC_NOT_INDEPENDENT_TEST
SINGLE,ATRDR,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2020,0.1216519042907378,0.061610520182001416,-0.015352879499483078,1.2619840343664688,0.23048860016638723,251353.12843227503,ANNUAL_DIAGNOSTIC_NOT_INDEPENDENT_TEST
SINGLE,ATRDR,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2021,0.16337732322805243,0.01416083691492298,-0.0047679543392409145,3.650166097739057,0.17420359440186783,378630.20596696483,ANNUAL_DIAGNOSTIC_NOT_INDEPENDENT_TEST
SINGLE,ATRDR,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2022,0.07736768337949784,0.06077383566465289,-0.013213540877564177,0.9740542698571062,0.2578900884391129,208594.89161439007,ANNUAL_DIAGNOSTIC_NOT_INDEPENDENT_TEST
SINGLE,ATRDR,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2023,0.07124800771422435,0.0229342970120594,-0.00856270341353822,1.3091776313532963,0.18574074697889265,206957.29756157333,ANNUAL_DIAGNOSTIC_NOT_INDEPENDENT_TEST
SINGLE,MCB,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2018,0.018910232239959246,0.0230555729605616,-0.006671745758039476,0.44299715113673765,0.0718087202998657,24828.704421082046,ANNUAL_DIAGNOSTIC_NOT_INDEPENDENT_TEST
SINGLE,MCB,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2019,0.1437758981651256,0.04442745499488465,-0.008907754876936368,1.8168621176396351,0.12850561428615917,192344.25036988594,ANNUAL_DIAGNOSTIC_NOT_INDEPENDENT_TEST
SINGLE,MCB,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2020,0.11300834931222026,0.049171396319909744,-0.012674778606253195,1.3671689063878845,0.1462452463053464,172919.74703721632,ANNUAL_DIAGNOSTIC_NOT_INDEPENDENT_TEST
SINGLE,MCB,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2021,0.06714483055840592,0.01233145588930662,-0.0034889638543085843,2.4177754757663865,0.08217124403127317,114352.34227158409,ANNUAL_DIAGNOSTIC_NOT_INDEPENDENT_TEST
