scope,strategy,gap,mcb_mode,period,target,grade,mechanic,priority,CAGR,MaxDD,net_pnl,top_5_symbols_pnl,top_5_events_pnl,top_5_symbols_pnl_fraction,top_5_events_pnl_fraction,fragility_grade,best_1_day_return_contribution,best_1_day_pnl,CAGR_excluding_best_1_days,MaxDD_excluding_best_1_days,best_5_day_return_contribution,best_5_day_pnl,CAGR_excluding_best_5_days,MaxDD_excluding_best_5_days
COMBINED,COMBINED,IFCGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0882445124723412,0.0418897908516119,1974223.4911746625,"{""159928.SZ"": 31447.8678968802, ""159949.SZ"": 65886.66960553598, ""510180.SH"": 30822.88494648428, ""512710.SH"": 31263.259196624043, ""512980.SH"": 30034.37510769612}","{""SMV6|2019-12-09|159949.SZ|17"": 37173.45311487998, ""SMV6|2019-12-16|159915.SZ|18"": 22662.285192448, ""SMV6|2020-12-22|159901.SZ|59"": 23707.96966666032, ""SMV6|2020-12-22|159949.SZ|56"": 28713.216490656, ""SMV6|2020-12-22|512710.SH|58"": 31263.259196624043}",0.0959643412208082,0.0726970296437278,DESCRIPTIVE_NON_EXECUTABLE,0.0258016982304718,162376.192691057,0.0813359268660176,0.0488734575282342,0.1067577617710628,640953.3928549569,0.0598894286988309,0.062799412114287
COMBINED,COMBINED,IFCGR,independent,2018_2021,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.1397286424425068,0.0798912314589689,3371314.8540917905,"{""000586.SZ"": 189482.65262143372, ""300691.SZ"": 143763.22202471097, ""601633.SH"": 143302.3530466302, ""603333.SH"": 172356.94438755605, ""603348.SH"": 176841.29095694475}","{""300691.SZ|2020-04-10"": 131914.28909707838, ""601633.SH|2021-02-23"": 143302.3530466302, ""V29|BULL|V29B|20190418|000586.SZ"": 183540.8576983133, ""V29|V27|OAI-20211011-603348.SH"": 184347.15117329918, ""V29|V27|OAI-20211026-603333.SH"": 177625.47807714122}",0.2449330598816841,0.2434451140320922,DESCRIPTIVE_NON_EXECUTABLE,0.0274519590716244,149869.65006486513,0.1320381983571816,0.0798912314589694,0.1219968356656611,718660.0711826244,0.1059014584687998,0.0798912314589694
COMBINED,COMBINED,IFCGR,independent,2018_2021,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.258204445111889,0.1560413015150938,7387275.322540099,"{""000586.SZ"": 438165.43348301935, ""300691.SZ"": 346698.23640742566, ""601633.SH"": 357143.6579739866, ""603333.SH"": 491197.64477586636, ""603348.SH"": 292833.1489662991}","{""300691.SZ|2020-04-10"": 322751.93582082354, ""601633.SH|2021-02-23"": 357143.6579739866, ""V29|BULL|V29B|20190418|000586.SZ"": 424707.1535158282, ""V29|V27|OAI-20211011-603348.SH"": 509045.31555001903, ""V29|V27|OAI-20211026-603333.SH"": 503657.170673975}",0.2607237496252316,0.286615178274769,DESCRIPTIVE_NON_EXECUTABLE,0.0497446878603193,526136.025518002,0.2430262319106482,0.1560413015150947,0.2371426761390711,1651284.7190562626,0.1874052939342365,0.1560413015150947
COMBINED,COMBINED,IFCGR,independent,2018_2021,G75,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.4006151847319352,0.2287273213817527,13970569.13546602,"{""300558.SZ"": 558494.7117862742, ""300691.SZ"": 603024.1451707674, ""601633.SH"": 694164.0197930878, ""603333.SH"": 1087445.013611744, ""603348.SH"": 704096.1489637436}","{""300691.SZ|2020-04-10"": 566723.5616318183, ""601633.SH|2021-02-23"": 694164.0197930878, ""V29|V27|OAI-20211011-603348.SH"": 1091789.05620851, ""V29|V27|OAI-20211026-603333.SH"": 1108630.6456034284, ""V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20200420|600753.SH"": 532746.7035324766}",0.2610648144653382,0.2858905709596269,DESCRIPTIVE_NON_EXECUTABLE,0.0747956740691817,1128444.8303328976,0.3755847515242467,0.2287273213817519,0.3385129168942462,2841045.243067778,0.2905197025648767,0.2287273213817519
COMBINED,COMBINED,IFCGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.5275722062743291,0.2978181270944896,21802316.63119144,"{""300558.SZ"": 986034.6145355576, ""300691.SZ"": 918860.3895992405, ""601633.SH"": 1114172.8403053824, ""603333.SH"": 1969246.510274978, ""603348.SH"": 1202781.3045791322}","{""300206.SZ|2021-07-15"": 844104.0453266196, ""300691.SZ|2020-04-10"": 870088.5437493068, ""601633.SH|2021-02-23"": 1114172.8403053824, ""V29|V27|OAI-20211011-603348.SH"": 1920960.4564103484, ""V29|V27|OAI-20211026-603333.SH"": 2000813.5241353577}",0.2839650374784949,0.3096065213670891,DESCRIPTIVE_NON_EXECUTABLE,0.0999668983780204,1985454.867846005,0.491615349784396,0.2978181270944896,0.4348293981522728,4320246.025797715,0.3764434071851197,0.2978181270944896
COMBINED,COMBINED,IFCGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0494871782617583,0.0304826066393728,670813.666037675,"{""159865.SZ"": 17753.273803520045, ""300123.SZ"": 19150.271793214157, ""301366.SZ"": 14364.03976223544, ""512760.SH"": 31161.548632400052, ""512980.SH"": 19012.635857743975}","{""SMV6|2022-01-04|159865.SZ|0"": 17753.273803520045, ""SMV6|2023-01-06|512980.SH|15"": 14951.576177839976, ""SMV6|2023-03-23|512760.SH|23"": 31161.548632400052, ""SMV6|2023-03-24|159995.SZ|27"": 9519.823594944028, ""V29|BULL|V29B|20231113|600455.SH"": 8757.586704266883}",0.1512219785984747,0.122453988449838,DESCRIPTIVE_NON_EXECUTABLE,0.011986760750781,84207.17832019087,0.0432489336028492,0.0304826066393725,0.0506054708287582,357882.11819941737,0.0233791228136521,0.0304826066393725
COMBINED,COMBINED,IFCGR,independent,2022_2023,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0843346380718013,0.0439960698341741,1162591.9408057283,"{""002800.SZ"": 246699.83383292196, ""300179.SZ"": 49528.88667657604, ""600916.SH"": 108788.05762948358, ""601127.SH"": 75631.93324621575, ""603707.SH"": 177562.69415629673}","{""V29|BULL|V29B|20220812|002800.SZ"": 246699.83383292196, ""V29|V27|OAI-20221014-300179.SZ"": 49528.88667657604, ""V29|V27|OAI-20230829-601127.SH"": 75631.93324621575, ""V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20220324|600916.SH"": 108788.05762948358, ""V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20230627|603707.SH"": 177562.69415629673}",0.5661585827657845,0.5661585827657845,DESCRIPTIVE_NON_EXECUTABLE,0.0256975036710718,177226.6106235329,0.0706558840964637,0.0439960698341744,0.0929710324084849,647224.6697300123,0.035531846551039,0.0664245070678702
COMBINED,COMBINED,IFCGR,independent,2022_2023,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.1662365954543552,0.0873368798988655,2381568.4388572704,"{""002800.SZ"": 504651.43121773977, ""600916.SH"": 215413.37532126252, ""601127.SH"": 174263.94813676784, ""603707.SH"": 392676.48970978067, ""603895.SH"": 109898.94479029576}","{""V29|BULL|V29B|20220812|002800.SZ"": 504651.43121773977, ""V29|V27|OAI-20230829-601127.SH"": 174263.94813676784, ""V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20220324|600916.SH"": 215413.37532126252, ""V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20230627|603707.SH"": 392676.48970978067, ""V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20231103|603895.SH"": 109898.94479029576}",0.5865479934921006,0.5865479934921006,DESCRIPTIVE_NON_EXECUTABLE,0.050960978450786,362643.8068201551,0.1375905528294727,0.0873368798988656,0.1872692629017707,1358490.5244137654,0.0639033881632391,0.1295819952686236
COMBINED,COMBINED,IFCGR,independent,2022_2023,G75,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.253238749709656,0.1300228161167026,3773495.48958426,"{""002800.SZ"": 780352.9404195148, ""600916.SH"": 322568.7591238166, ""601127.SH"": 302179.5782665226, ""603707.SH"": 654038.3798387153, ""603895.SH"": 190716.86071218306}","{""V29|BULL|V29B|20220812|002800.SZ"": 780352.9404195148, ""V29|V27|OAI-20230829-601127.SH"": 302179.5782665226, ""V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20220324|600916.SH"": 322568.7591238166, ""V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20230627|603707.SH"": 654038.3798387153, ""V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20231103|603895.SH"": 190716.86071218306}",0.5962261050982804,0.5962261050982804,DESCRIPTIVE_NON_EXECUTABLE,0.0758013283280389,561064.5731279608,0.2082502937907715,0.1300228161167024,0.2829945932978859,2157610.576966185,0.0923419583483302,0.1884429313149106
COMBINED,COMBINED,IFCGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.3403349358268523,0.1720543476677615,5267052.149224952,"{""002800.SZ"": 1058887.933811611, ""600916.SH"": 424024.92392717494, ""601127.SH"": 460682.5926725571, ""603707.SH"": 958452.3077529354, ""603895.SH"": 290747.3808305508}","{""V29|BULL|V29B|20220812|002800.SZ"": 1058887.933811611, ""V29|V27|OAI-20230829-601127.SH"": 460682.5926725571, ""V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20220324|600916.SH"": 424024.92392717494, ""V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20230627|603707.SH"": 958452.3077529354, ""V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20231103|603895.SH"": 290747.3808305508}",0.6061825568719021,0.6061825568719021,DESCRIPTIVE_NON_EXECUTABLE,0.1002290950744557,761652.2151948428,0.2777843606914931,0.1720543476677615,0.3802529203442772,3012525.0398304397,0.1164031271632413,0.2417930296406414
