case,maximum_cash_error,maximum_nav_error,maximum_gross_exposure_error,status
SINGLE__ATRDR__OGR__independent__2018_2021__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,6.984919309616089e-09,7.450580596923828e-09,7.916241884231567e-09,PASS
SINGLE__ATRDR__OGR__independent__2022_2023__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,1.1408701539039612e-08,1.0710209608078003e-08,3.725290298461914e-09,PASS
SINGLE__MCB__OGR__independent__2018_2021__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,5.122274160385132e-09,6.28642737865448e-09,6.984919309616089e-09,PASS
SINGLE__MCB__OGR__independent__2022_2023__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,2.2118911147117615e-09,1.3969838619232178e-09,1.862645149230957e-09,PASS
SINGLE__OGR__OGR__independent__2018_2021__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,1.1059455573558807e-09,1.1641532182693481e-09,1.979060471057892e-09,PASS
SINGLE__OGR__OGR__independent__2022_2023__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,2.3283064365386963e-10,4.656612873077393e-10,3.092281986027956e-11,PASS
SINGLE__IFCGR__IFCGR__independent__2018_2021__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,1.3969838619232178e-09,1.3969838619232178e-09,5.820766091346741e-10,PASS
SINGLE__IFCGR__IFCGR__independent__2022_2023__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,0.0,2.3283064365386963e-10,1.8189894035458565e-11,PASS
SINGLE__SMV6__OGR__independent__2018_2021__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,0.0,4.656612873077393e-10,2.3283064365386963e-10,PASS
SINGLE__SMV6__OGR__independent__2022_2023__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,0.0,2.3283064365386963e-10,1.1641532182693481e-10,PASS
COMBINED__COMBINED__OGR__independent__2018_2021__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,0.0,0.0,0.0,PASS
COMBINED__COMBINED__OGR__independent__2022_2023__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,0.0,0.0,0.0,PASS
COMBINED__COMBINED__OGR__confirmation_tag__2018_2021__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,0.0,0.0,0.0,PASS
COMBINED__COMBINED__OGR__confirmation_tag__2022_2023__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,0.0,0.0,0.0,PASS
COMBINED__COMBINED__IFCGR__independent__2018_2021__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,0.0,0.0,0.0,PASS
COMBINED__COMBINED__IFCGR__independent__2022_2023__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,0.0,0.0,0.0,PASS
COMBINED__COMBINED__IFCGR__confirmation_tag__2018_2021__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,0.0,0.0,0.0,PASS
COMBINED__COMBINED__IFCGR__confirmation_tag__2022_2023__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,0.0,0.0,0.0,PASS
