scope,strategy,gap,mcb_mode,period,target,grade,mechanic,priority,peak_date,trough_date,recovery_date,MaxDD,top_losing_securities,ATRDR_pnl,ATRDR_native_equivalent_pnl,ATRDR_incremental_scaled_pnl,MCB_pnl,MCB_native_equivalent_pnl,MCB_incremental_scaled_pnl,OGR_pnl,OGR_native_equivalent_pnl,OGR_incremental_scaled_pnl,SMV6_pnl,SMV6_native_equivalent_pnl,SMV6_incremental_scaled_pnl,single_security_weight,demand_family_gross,total_gross,cash,IFCGR_pnl,IFCGR_native_equivalent_pnl,IFCGR_incremental_scaled_pnl
SINGLE,ATRDR,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2020-03-06,2020-03-23,2020-06-30,0.0616105201820014,"{""600987.SH"": -8125.750509148158, ""002521.SZ"": -7630.091708624364, ""002142.SZ"": -7470.058663037926, ""600523.SH"": -7423.614707677698, ""002034.SZ"": -7319.60259838964}",-131503.31984591912,-131503.3198459195,3.7834979593753815e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021367741777970278,0.6179873090747915,0.6179873090747915,765143.2697752863,,,
SINGLE,ATRDR,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2022-01-19,2022-03-15,2022-05-18,0.0607738356646528,"{""002177.SZ"": -12921.394531975398, ""603131.SH"": -10299.961441611063, ""601866.SH"": -9691.147130527876, ""601919.SH"": -9667.923401794156, ""002344.SZ"": -7853.824308931129}",-164961.13846462703,-164961.1384646278,7.566995918750763e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02025281788781297,0.453934096610191,0.453934096610191,1392131.4351873964,,,
SINGLE,MCB,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2019-09-16,2020-03-23,2020-07-02,0.051265241973883,"{""002142.SZ"": -5808.931232747975, ""600088.SH"": -5735.456242325217, ""600987.SH"": -4928.916875435898, ""300151.SZ"": -4916.363849854977, ""600926.SH"": -4660.790637176742}",0.0,0.0,0.0,-80587.01173232537,-80587.01173232473,-6.402842700481415e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0212565843561605,0.5814683026087217,0.5814683026087217,624187.700621434,,,
SINGLE,MCB,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2022-01-17,2022-03-15,2022-08-02,0.0215311840397176,"{""300888.SZ"": -6115.3277812232045, ""002899.SZ"": -4015.2901079120966, ""603685.SH"": -3972.6494595631157, ""603508.SH"": -3848.6994579987513, ""000777.SZ"": -3810.0520766763075}",0.0,0.0,0.0,-39363.37749271841,-39363.37749271793,-4.802132025361061e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.018770352185835393,0.06692699233775344,0.06692699233775344,1669118.0637733287,,,
SINGLE,OGR,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2018-07-26,2018-10-29,2018-10-31,0.0143963054499923,"{""000839.SZ"": -852.3976327210557, ""002236.SZ"": -840.8259414917657, ""603579.SH"": -696.464361991775, ""000002.SZ"": -614.4205198433692, ""002385.SZ"": -608.5462142286369}",0.0,0.0,0.0,0.0,0.0,0.0,-14753.962467554633,-14753.962467555539,9.058567229658365e-10,0.0,0.0,0.0,0.006547287202929819,0.0,0.7298646660752293,272860.91960782884,,,
SINGLE,OGR,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2022-05-23,2022-05-24,2022-05-31,0.0043424870027924,"{""600201.SH"": -502.7141776093722, ""300965.SZ"": -498.6245356636455, ""300590.SZ"": -461.0570130679007, ""300460.SZ"": -445.87358859563847, ""301053.SZ"": -444.2534640838212}",0.0,0.0,0.0,0.0,0.0,0.0,-4880.131768536023,-4880.131768535823,-2.000888343900442e-10,0.0,0.0,0.0,0.006637283227669928,0.0,0.08127037783794089,1027994.321823869,,,
SINGLE,IFCGR,IFCGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2018-07-26,2018-10-29,2018-10-31,0.0154968298103017,"{""000839.SZ"": -849.665371491219, ""002236.SZ"": -836.7802834701042, ""603579.SH"": -694.6635533618871, ""000002.SZ"": -612.831847349993, ""002385.SZ"": -606.9727305960587}",0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.006531615722225038,0.0,0.7292118040718691,272857.42484975536,-15861.04479996565,-15861.044799965806,1.5643308870494366e-10
SINGLE,IFCGR,IFCGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2022-05-23,2022-05-24,2022-05-31,0.0043418075597004,"{""600201.SH"": -499.6942794833467, ""300965.SZ"": -497.19179547972453, ""300590.SZ"": -459.73221883405677, ""300460.SZ"": -444.5924221835612, ""301053.SZ"": -442.9769529129617}",0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.006627241558146596,0.0,0.08124072551495226,1023400.2685000167,-4857.402470647167,-4857.402470647125,-4.274625098332763e-11
SINGLE,SMV6,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2020-07-13,2020-12-22,2021-01-04,0.0985738011857639,"{""512980.SH"": -37639.837349008005, ""159915.SZ"": -19147.394470480023, ""159997.SZ"": -15854.985252799997, ""510180.SH"": -14897.324778586768, ""159928.SZ"": -11545.449386900018}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-124195.28012069533,-124195.28012069478,-5.529727786779404e-10,0.24927876326371615,0.0,0.8075074556571115,218618.88572763308,,,
SINGLE,SMV6,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2023-04-07,2023-11-22,,0.0827173297915171,"{""159997.SZ"": -21824.663413280017, ""512480.SH"": -18360.364281864022, ""512760.SH"": -18086.10717696004, ""159995.SZ"": -16715.436516288, ""159980.SZ"": -16144.444224991901}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99547.81604083891,-99547.81604083884,-7.275957614183426e-11,0.0,0.0,0.0,1103922.0770485734,,,
