scope,strategy,gap,mcb_mode,period,from_target,to_target,delta_CAGR,delta_MaxDD,delta_CVaR5,delta_average_gross_exposure,delta_capital_days,delta_net_pnl,incremental_pnl_per_added_capital_day,capital_day_denominator_status,incremental_CAGR_per_incremental_MaxDD,drawdown_denominator_status
COMBINED,COMBINED,IFCGR,confirmation_tag,2018_2021,NATIVE,G25,0.064467535845268,0.0384359652818058,-0.0018354498524277996,0.08457029724017599,775275713.7589598,1709053.32870969,0.0022044458485914213,DEFINED,1.6772711540507246,DEFINED
COMBINED,COMBINED,IFCGR,confirmation_tag,2018_2021,G25,G50,0.11511988681279278,0.07662679068436729,-0.0095328499205629,0.1986915425850898,2295362696.3991427,3863429.9568445105,0.001683145745509099,DEFINED,1.5023451430581514,DEFINED
COMBINED,COMBINED,IFCGR,confirmation_tag,2018_2021,G50,G75,0.1387615342645691,0.0730486534632469,-0.009127320126128702,0.19769461945928313,3108218778.67002,6306799.919524042,0.0020290720726623586,DEFINED,1.8995768941091355,DEFINED
COMBINED,COMBINED,IFCGR,confirmation_tag,2018_2021,G75,G100,0.16055145507354568,0.06935237424500182,-0.0090013866064542,0.19340196789051411,4261957915.9408655,10068803.85901255,0.002362483172664029,DEFINED,2.3150102187758415,DEFINED
COMBINED,COMBINED,IFCGR,confirmation_tag,2022_2023,NATIVE,G25,0.034744578414639404,0.018475093202418,-0.0039928696166451,0.0868590743063914,463197686.47291636,488612.02498164866,0.0010548671533794855,DEFINED,1.8806172198412547,DEFINED
COMBINED,COMBINED,IFCGR,confirmation_tag,2022_2023,G25,G50,0.0829384494070975,0.0431565866453822,-0.009839098192059399,0.2020666067590913,1188461576.1505497,1230822.3235083204,0.0010356433461609909,DEFINED,1.9218028081924778,DEFINED
COMBINED,COMBINED,IFCGR,confirmation_tag,2022_2023,G50,G75,0.0777433334763675,0.042685936217837284,-0.009753345561858001,0.20644391842387394,1324293858.2594237,1236220.2370685302,0.0009334938989246296,DEFINED,1.8212868303888972,DEFINED
COMBINED,COMBINED,IFCGR,confirmation_tag,2022_2023,G75,G100,0.09145357560441442,0.04203153155105871,-0.009661769080868701,0.20185257096963882,1533685113.057537,1556406.34130566,0.0010148147935027069,DEFINED,2.175832576867184,DEFINED
COMBINED,COMBINED,IFCGR,independent,2018_2021,NATIVE,G25,0.05148412997016559,0.038001440607356995,-0.0010054534975028999,0.070346040163236,634364671.7038007,1397091.362917128,0.0022023473645919893,DEFINED,1.3547941643085597,DEFINED
COMBINED,COMBINED,IFCGR,independent,2018_2021,G25,G50,0.11847580266938221,0.0761500700561249,-0.009475369119618602,0.1989140736277999,2329158772.833188,4015960.4684483083,0.0017242106958484822,DEFINED,1.555820008859637,DEFINED
COMBINED,COMBINED,IFCGR,independent,2018_2021,G50,G75,0.1424107396200462,0.0726860198666589,-0.009097105608909799,0.19789866327692168,3177252296.8874784,6583293.812925922,0.0020720085148337427,DEFINED,1.9592590140620705,DEFINED
COMBINED,COMBINED,IFCGR,independent,2018_2021,G75,G100,0.1269570215423939,0.06909080571273693,-0.009936443856926502,0.19621219101510412,3930990050.430669,7831747.495725419,0.0019923091626414557,DEFINED,1.837538587554629,DEFINED
COMBINED,COMBINED,IFCGR,independent,2022_2023,NATIVE,G25,0.034847459810043,0.013513463194801296,-0.0029270526398352007,0.0699405182777442,379399535.90255415,491778.2747680533,0.0012962015717762048,DEFINED,2.5787216280315923,DEFINED
COMBINED,COMBINED,IFCGR,independent,2022_2023,G25,G50,0.0819019573825539,0.043340810064691405,-0.009790682215419098,0.2059162979024538,1196200292.116126,1218976.498051542,0.001019040461773441,DEFINED,1.8897191183160933,DEFINED
COMBINED,COMBINED,IFCGR,independent,2022_2023,G50,G75,0.08700215425530078,0.0426859362178371,-0.009634393812815802,0.20380240773272923,1366801215.491033,1391927.0507269897,0.0010183829476819203,DEFINED,2.038192481273149,DEFINED
COMBINED,COMBINED,IFCGR,independent,2022_2023,G75,G100,0.08709618611719633,0.042031531551058904,-0.009543519758569999,0.20240119931254275,1497232702.1468296,1493556.6596406917,0.0009975447754374674,DEFINED,2.0721630381561034,DEFINED
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,NATIVE,G25,0.06556644607864359,0.036295172252466895,-0.0018331191064593997,0.08487286089782121,782577724.7240533,1741800.877656011,0.0022257225354455263,DEFINED,1.8064784380293772,DEFINED
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,G25,G50,0.11706116484272802,0.07471517784566341,-0.0095254064852046,0.19917352490712248,2323711642.9586153,3951338.5445151273,0.0017004427190820336,DEFINED,1.5667655249986459,DEFINED
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,G50,G75,0.1402385058604026,0.07138630439602009,-0.0091175454064168,0.19759361510187667,3150111047.6205115,6432008.445108887,0.0020418354616315543,DEFINED,1.9645015531609609,DEFINED
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,G75,G100,0.16203468832596668,0.06792381144174081,-0.008988843907215101,0.19316903492079773,4335080088.576587,10275784.32119037,0.0023703793496844946,DEFINED,2.385535865650679,DEFINED
COMBINED,COMBINED,OGR,confirmation_tag,2022_2023,NATIVE,G25,0.034760370570281404,0.0185141165425424,-0.003996913189330101,0.0869419023960385,463959243.3500514,489193.9591191858,0.0010543899407778263,DEFINED,1.8775063066286624,DEFINED
COMBINED,COMBINED,OGR,confirmation_tag,2022_2023,G25,G50,0.08293070372605961,0.043152337953893394,-0.009838891297248598,0.2020633952772515,1189292335.286626,1231618.9269386455,0.001035589728779189,DEFINED,1.9218125287827479,DEFINED
COMBINED,COMBINED,OGR,confirmation_tag,2022_2023,G50,G75,0.0777400969861104,0.04269311832097909,-0.009752940147402103,0.20644217777824886,1325207315.6233191,1237079.8488738309,0.0009334991093766812,DEFINED,1.8209046338952821,DEFINED
COMBINED,COMBINED,OGR,confirmation_tag,2022_2023,G75,G100,0.0914453464146941,0.04203834279703261,-0.009661573715834398,0.20185026752730884,1534736943.9551473,1557408.1216536784,0.0010147720283842946,DEFINED,2.1752842840690905,DEFINED
COMBINED,COMBINED,OGR,independent,2018_2021,NATIVE,G25,0.0407726595011529,0.0358579079722628,-0.0013206975348876004,0.0703254713131688,617981145.0249739,1090908.5681196675,0.0017652780783070359,DEFINED,1.1370618590658388,DEFINED
COMBINED,COMBINED,OGR,independent,2018_2021,G25,G50,0.132227835077424,0.07423441771831168,-0.009151059796381901,0.19974627642964282,2381783886.361817,4444173.176115449,0.0018659011010876971,DEFINED,1.7812200747525613,DEFINED
COMBINED,COMBINED,OGR,independent,2018_2021,G50,G75,0.1438349611547069,0.0710179732657169,-0.009086946397000698,0.19774477554394732,3218569085.5697,6708847.728010915,0.002084419364521244,DEFINED,2.0253318215170966,DEFINED
