gap,mcb_mode,risk_band,admissible_targets,highest_tested_target,risk_measure,completed_timestamp_admissible_targets,highest_completed_timestamp_reference,interpretation
IFCGR,confirmation_tag,0.05,NATIVE,NATIVE,DAILY_CLOSE_NAV_MAXDD,NATIVE,NATIVE,HISTORICAL_REFERENCE_NOT_PRODUCTION
IFCGR,confirmation_tag,0.08,NATIVE,NATIVE,DAILY_CLOSE_NAV_MAXDD,NATIVE,NATIVE,HISTORICAL_REFERENCE_NOT_PRODUCTION
IFCGR,confirmation_tag,0.1,NATIVE|G25,G25,DAILY_CLOSE_NAV_MAXDD,NATIVE|G25,G25,HISTORICAL_REFERENCE_NOT_PRODUCTION
IFCGR,confirmation_tag,0.15,NATIVE|G25,G25,DAILY_CLOSE_NAV_MAXDD,NATIVE|G25,G25,HISTORICAL_REFERENCE_NOT_PRODUCTION
IFCGR,independent,0.05,NATIVE,NATIVE,DAILY_CLOSE_NAV_MAXDD,NATIVE,NATIVE,HISTORICAL_REFERENCE_NOT_PRODUCTION
IFCGR,independent,0.08,NATIVE|G25,G25,DAILY_CLOSE_NAV_MAXDD,NATIVE,NATIVE,HISTORICAL_REFERENCE_NOT_PRODUCTION
IFCGR,independent,0.1,NATIVE|G25,G25,DAILY_CLOSE_NAV_MAXDD,NATIVE|G25,G25,HISTORICAL_REFERENCE_NOT_PRODUCTION
IFCGR,independent,0.15,NATIVE|G25,G25,DAILY_CLOSE_NAV_MAXDD,NATIVE|G25,G25,HISTORICAL_REFERENCE_NOT_PRODUCTION
OGR,confirmation_tag,0.05,NATIVE,NATIVE,DAILY_CLOSE_NAV_MAXDD,NATIVE,NATIVE,HISTORICAL_REFERENCE_NOT_PRODUCTION
OGR,confirmation_tag,0.08,NATIVE|G25,G25,DAILY_CLOSE_NAV_MAXDD,NATIVE|G25,G25,HISTORICAL_REFERENCE_NOT_PRODUCTION
OGR,confirmation_tag,0.1,NATIVE|G25,G25,DAILY_CLOSE_NAV_MAXDD,NATIVE|G25,G25,HISTORICAL_REFERENCE_NOT_PRODUCTION
OGR,confirmation_tag,0.15,NATIVE|G25,G25,DAILY_CLOSE_NAV_MAXDD,NATIVE|G25,G25,HISTORICAL_REFERENCE_NOT_PRODUCTION
OGR,independent,0.05,NATIVE,NATIVE,DAILY_CLOSE_NAV_MAXDD,NATIVE,NATIVE,HISTORICAL_REFERENCE_NOT_PRODUCTION
OGR,independent,0.08,NATIVE|G25,G25,DAILY_CLOSE_NAV_MAXDD,NATIVE|G25,G25,HISTORICAL_REFERENCE_NOT_PRODUCTION
OGR,independent,0.1,NATIVE|G25,G25,DAILY_CLOSE_NAV_MAXDD,NATIVE|G25,G25,HISTORICAL_REFERENCE_NOT_PRODUCTION
OGR,independent,0.15,NATIVE|G25,G25,DAILY_CLOSE_NAV_MAXDD,NATIVE|G25,G25,HISTORICAL_REFERENCE_NOT_PRODUCTION
