gap,mcb_mode,period,structural_idle_days,all_days,fraction_of_all_days,min_idle_cash_ratio,median_idle_cash_ratio
IFCGR,confirmation_tag,2018_2021,915,973,0.9403905447070915,0.3034702158990397,0.9496088080962206
IFCGR,confirmation_tag,2022_2023,456,484,0.9421487603305785,0.3172374552828423,0.9539015300914451
IFCGR,independent,2018_2021,961,973,0.987667009249743,0.2520836702906958,0.938971452934924
IFCGR,independent,2022_2023,480,484,0.9917355371900827,0.22791696217796417,0.9360537926089563
OGR,confirmation_tag,2018_2021,915,973,0.9403905447070915,0.303856583908946,0.9496375282603501
OGR,confirmation_tag,2022_2023,456,484,0.9421487603305785,0.31772883417254233,0.9539333502304042
OGR,independent,2018_2021,961,973,0.987667009249743,0.25247874301370554,0.9390047119701023
OGR,independent,2022_2023,480,484,0.9917355371900827,0.2284699177527353,0.936100775341802
