gap,period,target,CAGR_independent,CAGR_confirmation,delta_CAGR,MaxDD_independent,MaxDD_confirmation,delta_MaxDD,CVaR5_independent,CVaR5_confirmation,delta_CVaR5,net_pnl_independent,net_pnl_confirmation,delta_net_pnl,capital_days_independent,capital_days_confirmation,delta_capital_days,average_gross_exposure_independent,average_gross_exposure_confirmation,delta_average_gross_exposure,max_single_security_weight_independent,max_single_security_weight_confirmation,delta_max_single_security_weight,max_family_weight_independent,max_family_weight_confirmation,delta_max_family_weight,demand_share_independent,demand_share_confirmation,delta_demand_share,worst_day_independent,worst_day_account_return_independent,MCB_worst_day_pnl_independent,MCB_worst_day_portfolio_return_contribution_independent,MCB_own_worst_drawdown_pnl_independent,worst_day_confirmation,worst_day_account_return_confirmation,MCB_worst_day_pnl_confirmation,MCB_worst_day_portfolio_return_contribution_confirmation,MCB_own_worst_drawdown_pnl_confirmation,exact_overlap_events,mcb_only_events,duplicate_capital_days,MCB_attributed_pnl,incremental_account_MCB_pnl,duplicate_definition,classification
IFCGR,2018_2021,NATIVE,0.0882445124723412,0.0730026753062251,0.015241837166116101,0.0418897908516119,0.0420759211203897,-0.00018613026877779826,-0.0080333972738288,-0.0072633574755078,-0.0007700397983209997,1974223.4911746625,1596858.1888677068,377365.3023069557,1136030398.4805195,983524837.5179496,152505560.96256995,0.1372558244770529,0.122557914034739,0.014697910442313902,0.1070385004001935,0.1069989791581417,3.952124205179597e-05,0.618446661697993,0.5575188298697756,0.06092783182821737,0.1057651021947835,0.0901085256017188,0.0156565765930647,2020-07-16,-0.025313359419407155,-36328.71574461227,-0.00572482367384657,-68484.6385780508,2020-07-16,-0.02568290233594417,-32027.836863521952,-0.005261631885434338,-58561.738017377174,386,92,189985896.8726169,504445.04409975756,377365.3023069557,MCB_CAPITAL_DAYS_IN_ACTUALLY_FUNDED_EXACT_PAIRED_EVENTS; NOT_A_SIMULTANEOUS_HOLDING_TIME_INTEGRAL,MCB_ROLE_SCALING_SENSITIVE
IFCGR,2018_2021,G25,0.1397286424425068,0.1374702111514931,0.0022584312910136906,0.0798912314589689,0.0805118864021955,-0.0006206549432266062,-0.0090388507713317,-0.0090988073279356,5.995655660390002e-05,3371314.8540917905,3305911.5175773967,65403.3365143938,1770395070.1843202,1758800551.2769094,11594518.90741086,0.2076018646402889,0.207128211274915,0.0004736533653739161,0.2936893203883487,0.2936893203883486,1.1102230246251565e-16,0.2936893203883486,0.2936893203883487,-1.1102230246251565e-16,0.1566810502997319,0.1539634152704193,0.002717635029312604,2019-05-06,-0.021362031148151495,0.0,0.0,-19807.006925887712,2019-05-06,-0.02129932417332514,0.0,0.0,-11847.829446044618,384,84,153682474.90045702,285027.58791869157,65403.3365143938,MCB_CAPITAL_DAYS_IN_ACTUALLY_FUNDED_EXACT_PAIRED_EVENTS; NOT_A_SIMULTANEOUS_HOLDING_TIME_INTEGRAL,MCB_ROLE_SCALING_SENSITIVE
IFCGR,2018_2021,G50,0.258204445111889,0.2525900979642859,0.005614347147603116,0.1560413015150938,0.1571386770865628,-0.0010973755714689948,-0.0185142198909503,-0.0186316572484985,0.0001174373575481974,7387275.322540099,7169341.474421907,217933.84811819158,4099553843.017508,4054163247.676052,45390595.34145594,0.4065159382680888,0.4058197538600048,0.0006961844080839996,0.5214184842303462,0.5214184842303461,1.1102230246251565e-16,0.5214184842303462,0.5214184842303461,1.1102230246251565e-16,0.3151550688437806,0.3095122309734069,0.005642837870373674,2018-10-11,-0.03438984191881489,0.0,0.0,-41284.94409206715,2018-10-11,-0.03438984191881478,0.0,0.0,-24672.427349321,386,88,377864585.46944255,716418.948488335,217933.84811819158,MCB_CAPITAL_DAYS_IN_ACTUALLY_FUNDED_EXACT_PAIRED_EVENTS; NOT_A_SIMULTANEOUS_HOLDING_TIME_INTEGRAL,MCB_ROLE_SCALING_SENSITIVE
IFCGR,2018_2021,G75,0.4006151847319352,0.391351632228855,0.009263552503080197,0.2287273213817527,0.2301873305498097,-0.001460009168056997,-0.0276113254998601,-0.0277589773746272,0.00014765187476710115,13970569.13546602,13476141.39394595,494427.7415200714,7276806139.904986,7162382026.346072,114424113.55891418,0.6044146015450105,0.6035143733192879,0.0009002282257225547,0.7657270143636212,0.7657270143636213,-1.1102230246251565e-16,0.7657270143636212,0.7657270143636213,-1.1102230246251565e-16,0.4728149681512616,0.4642263065208212,0.00858866163044042,2018-10-11,-0.05204871326146343,0.0,0.0,-63860.061684211665,2018-10-11,-0.05204871326146365,0.0,0.0,-37872.958188414515,381,88,708059002.1609075,1475558.302597622,494427.7415200714,MCB_CAPITAL_DAYS_IN_ACTUALLY_FUNDED_EXACT_PAIRED_EVENTS; NOT_A_SIMULTANEOUS_HOLDING_TIME_INTEGRAL,MCB_ROLE_SCALING_SENSITIVE
IFCGR,2018_2021,G100,0.5275722062743291,0.5519030873024007,-0.02433088102807157,0.2978181270944896,0.2995397047948115,-0.0017215777003218857,-0.0375477693567866,-0.0367603639810814,-0.000787405375705201,21802316.63119144,23544945.2529585,-1742628.621767059,11207796190.335655,11424339942.286938,-216543751.9512825,0.8006267925601146,0.796916341209802,0.0037104513503125602,1.0,0.9999999999999996,4.440892098500626e-16,1.0000000000000002,1.0000000000000002,0.0,0.6435027923934763,0.6215195271474189,0.021983265246057426,2018-10-11,-0.07002811316096302,0.0,0.0,-87499.54349020473,2018-10-11,-0.07002811316096291,0.0,0.0,-51522.24350368273,378,88,1118025397.1788104,2377787.57573551,-1742628.621767059,MCB_CAPITAL_DAYS_IN_ACTUALLY_FUNDED_EXACT_PAIRED_EVENTS; NOT_A_SIMULTANEOUS_HOLDING_TIME_INTEGRAL,MCB_ROLE_SCALING_SENSITIVE
IFCGR,2022_2023,NATIVE,0.0494871782617583,0.0458032147716176,0.0036839634901407042,0.0304826066393728,0.0257052000510652,0.0047774065883075985,-0.0069289970145788,-0.0059175655950688,-0.0010114314195099998,670813.666037675,619761.9363571769,51051.72968049813,704655565.5367097,616228495.7149143,88427069.82179534,0.1407651634166607,0.1233580409157048,0.0174071225009559,0.0781700413060455,0.0781614324701892,8.608835856308006e-06,0.6763308963751895,0.6017317130393985,0.07459918333579096,0.1202327611764857,0.1027581672897998,0.017474593886685888,2022-05-24,-0.01626875462674393,0.0,0.0,-38184.06554936658,2022-05-24,-0.01622794795494853,0.0,0.0,-8942.569550264714,194,19,130564020.66373304,133343.1777216111,51051.72968049813,MCB_CAPITAL_DAYS_IN_ACTUALLY_FUNDED_EXACT_PAIRED_EVENTS; NOT_A_SIMULTANEOUS_HOLDING_TIME_INTEGRAL,MCB_ROLE_SCALING_SENSITIVE
IFCGR,2022_2023,G25,0.0843346380718013,0.080547793186257,0.003786844885544302,0.0439960698341741,0.0441802932534832,-0.00018422341930910552,-0.009856049654414,-0.0099104352117139,5.438555729989948e-05,1162591.9408057283,1108373.9613388255,54217.97946690279,1084055101.4392638,1079426182.1878307,4628919.251433134,0.2107056816944049,0.2102171152220962,0.000488566472308688,0.2842402826855122,0.2842402826855123,-1.1102230246251565e-16,0.2842402826855122,0.2842402826855123,-1.1102230246251565e-16,0.1719766006814511,0.1706356514624704,0.0013409492189807026,2022-08-31,-0.01714201270873361,0.0,0.0,0.0,2022-08-31,-0.01714201270873361,0.0,0.0,0.0,169,16,92438270.27469966,94027.75682841697,54217.97946690279,MCB_CAPITAL_DAYS_IN_ACTUALLY_FUNDED_EXACT_PAIRED_EVENTS; NOT_A_SIMULTANEOUS_HOLDING_TIME_INTEGRAL,MCB_ROLE_SCALING_SENSITIVE
IFCGR,2022_2023,G50,0.1662365954543552,0.1634862425933545,0.002750352861000699,0.0873368798988655,0.0873368798988654,9.71445146547012e-17,-0.0196467318698331,-0.0197495334037733,0.00010280153394020067,2381568.4388572704,2339196.284847146,42372.154010124505,2280255393.55539,2267887758.3383803,12367635.217009544,0.4166219795968587,0.4122837219811875,0.004338257615671193,0.5436604487699362,0.5436604487699375,-1.2212453270876722e-15,0.5436604487699362,0.5436604487699375,-1.2212453270876722e-15,0.343906817291352,0.3380962518809666,0.005810565410385382,2022-08-31,-0.03420819817163079,0.0,0.0,0.0,2022-08-31,-0.03420819817163079,0.0,0.0,0.0,173,16,207384330.43085903,196138.67545620032,42372.154010124505,MCB_CAPITAL_DAYS_IN_ACTUALLY_FUNDED_EXACT_PAIRED_EVENTS; NOT_A_SIMULTANEOUS_HOLDING_TIME_INTEGRAL,MCB_ROLE_SCALING_SENSITIVE
IFCGR,2022_2023,G75,0.253238749709656,0.241229576069722,0.012009173639933979,0.1300228161167026,0.1300228161167027,-8.326672684688674e-17,-0.0292811256826489,-0.0295028789656313,0.00022175328298239955,3773495.48958426,3575416.521915676,198078.96766858408,3647056609.046423,3592181616.597804,54874992.44861889,0.6204243873295879,0.6187276404050615,0.0016967469245264821,0.7813754694987691,0.7813754694987685,6.661338147750939e-16,0.7813754694987691,0.7813754694987685,6.661338147750939e-16,0.5154586918358838,0.5114247577886498,0.004033934047233956,2022-08-31,-0.05119905840812122,0.0,0.0,0.0,2022-08-31,-0.05119905840812122,0.0,0.0,0.0,166,27,320759242.2944459,360058.64304421004,198078.96766858408,MCB_CAPITAL_DAYS_IN_ACTUALLY_FUNDED_EXACT_PAIRED_EVENTS; NOT_A_SIMULTANEOUS_HOLDING_TIME_INTEGRAL,MCB_ROLE_SCALING_SENSITIVE
IFCGR,2022_2023,G100,0.3403349358268523,0.3326831516741364,0.00765178415271589,0.1720543476677615,0.1720543476677614,1.1102230246251565e-16,-0.0388246454412189,-0.0391646480465,0.000340002605281102,5267052.149224952,5131822.863221336,135229.2860036157,5144289311.193253,5125866729.655341,18422581.537911415,0.8228255866421307,0.8205802113747003,0.002245375267430405,0.9999999999999992,0.9999999999999998,-5.551115123125783e-16,1.0,1.0,0.0,0.6867902532011568,0.6815377990115606,0.00525245418959619,2022-08-31,-0.06811509101585433,0.0,0.0,0.0,2022-08-31,-0.06811509101585456,0.0,0.0,0.0,163,30,442060499.5724323,470606.4615272463,135229.2860036157,MCB_CAPITAL_DAYS_IN_ACTUALLY_FUNDED_EXACT_PAIRED_EVENTS; NOT_A_SIMULTANEOUS_HOLDING_TIME_INTEGRAL,MCB_ROLE_SCALING_SENSITIVE
OGR,2018_2021,NATIVE,0.0884419000580793,0.0732085912726527,0.0152333087854266,0.0418675055543223,0.0420525814294259,-0.00018507587510360052,-0.0080292592420674,-0.0072597109892217,-0.0007695482528456993,1979215.7507966375,1601850.4484896865,377365.302306951,1136425253.060419,983919692.0978523,152505560.96256673,0.1372379830061582,0.1225469378225481,0.0146910451836101,0.1070385004001935,0.1069989791581417,3.952124205179597e-05,0.6181112128417281,0.5572043209177289,0.06090689192399923,0.1057089533780667,0.0900601029963557,0.015648850381711002,2020-07-16,-0.025299659892363935,-36328.715744612506,-0.005721725413539143,-68484.63857805087,2020-07-16,-0.02566841225937222,-32027.836863521952,-0.0052586633171659665,-58561.738017377174,386,92,189985896.8726171,504445.0440997578,377365.302306951,MCB_CAPITAL_DAYS_IN_ACTUALLY_FUNDED_EXACT_PAIRED_EVENTS; NOT_A_SIMULTANEOUS_HOLDING_TIME_INTEGRAL,MCB_ROLE_SCALING_SENSITIVE
