scope,strategy,gap,mcb_mode,period,target,grade,mechanic,priority,attributed_strategy,route,pnl_scaled,capital_days_scaled,pnl_native,capital_days_native,incremental_pnl,incremental_capital_days
SINGLE,ATRDR,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,BULL,675006.1289900835,439765995.92861444,675006.1289900835,439765995.92861444,0.0,0.0
SINGLE,ATRDR,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,V27,429339.1318553141,195357506.95862007,429339.1318553141,195357506.95862007,0.0,0.0
SINGLE,ATRDR,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,BULL,149961.06306602727,326044106.73228705,149961.06306602727,326044106.73228705,0.0,0.0
SINGLE,ATRDR,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,V27,265591.12610993965,131925909.51153095,265591.12610993965,131925909.51153095,0.0,0.0
SINGLE,MCB,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,MCB,MCB,504445.04409975925,237616479.8122506,504445.04409975925,237616479.8122506,0.0,0.0
SINGLE,MCB,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,MCB,MCB,133343.17772161102,141668300.7603877,133343.17772161102,141668300.7603877,0.0,0.0
SINGLE,OGR,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,OGR,FIXED_BELOW_L_REPAIR,110169.46776510555,21108726.070086446,110169.46776510555,21108726.070086446,0.0,0.0
SINGLE,OGR,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,OGR,FIXED_BELOW_L_REPAIR,18087.484078905065,5548247.136752401,18087.484078905065,5548247.136752401,0.0,0.0
SINGLE,IFCGR,IFCGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,IFCGR,FIXED_BELOW_L_REPAIR,105177.2081431418,20713870.85877924,105177.2081431418,20713870.85877924,0.0,0.0
SINGLE,IFCGR,IFCGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,IFCGR,FIXED_BELOW_L_REPAIR,17996.222091514603,5522022.700260371,17996.222091514603,5522022.700260371,0.0,0.0
SINGLE,SMV6,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,SMV6,NATIVE_CALLBACK,260255.97808635223,242575910.3724443,260255.97808635223,242575910.3724443,0.0,0.0
SINGLE,SMV6,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,SMV6,NATIVE_CALLBACK,103922.07704857373,99495191.73811868,103922.07704857373,99495191.73811868,0.0,0.0
COMBINED,COMBINED,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,BULL,675006.1289900825,439765995.9286137,675006.1289900825,439765995.9286137,0.0,0.0
COMBINED,COMBINED,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,V27,429339.131855314,195358490.8328733,429339.131855314,195358490.8328733,0.0,0.0
COMBINED,COMBINED,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,MCB,MCB,504445.0440997578,237616479.81224984,504445.0440997578,237616479.81224984,0.0,0.0
COMBINED,COMBINED,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,OGR,FIXED_BELOW_L_REPAIR,110169.46776510592,21108376.114237916,110169.46776510592,21108376.114237916,0.0,0.0
COMBINED,COMBINED,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,SMV6,NATIVE_CALLBACK,260255.97808635223,242575910.3724443,260255.97808635223,242575910.3724443,0.0,0.0
COMBINED,COMBINED,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,BULL,149961.06306602707,326044106.7322869,149961.06306602707,326044106.7322869,0.0,0.0
COMBINED,COMBINED,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,V27,265591.1261099391,131925927.04586089,265591.1261099391,131925927.04586089,0.0,0.0
COMBINED,COMBINED,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,MCB,MCB,133343.1777216111,141668300.76038778,133343.1777216111,141668300.76038778,0.0,0.0
COMBINED,COMBINED,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,OGR,FIXED_BELOW_L_REPAIR,18087.484078905058,5548263.7548633395,18087.484078905058,5548263.7548633395,0.0,0.0
COMBINED,COMBINED,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,SMV6,NATIVE_CALLBACK,103922.07704857373,99495191.73811868,103922.07704857373,99495191.73811868,0.0,0.0
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,BULL,675006.1289900822,439765995.92861354,675006.1289900822,439765995.92861354,0.0,0.0
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,V27,429339.1318553141,195358490.83287326,429339.1318553141,195358490.83287326,0.0,0.0
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,MCB,MCB,127079.74179284288,85110918.8496834,127079.74179284288,85110918.8496834,0.0,0.0
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,OGR,FIXED_BELOW_L_REPAIR,110169.46776510596,21108376.114237923,110169.46776510596,21108376.114237923,0.0,0.0
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,SMV6,NATIVE_CALLBACK,260255.97808635223,242575910.3724443,260255.97808635223,242575910.3724443,0.0,0.0
COMBINED,COMBINED,OGR,confirmation_tag,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,BULL,149961.06306602713,326044106.73228675,149961.06306602713,326044106.73228675,0.0,0.0
COMBINED,COMBINED,OGR,confirmation_tag,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,V27,265591.126109939,131925927.04586086,265591.126109939,131925927.04586086,0.0,0.0
COMBINED,COMBINED,OGR,confirmation_tag,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,MCB,MCB,82291.4480411118,53241230.938592166,82291.4480411118,53241230.938592166,0.0,0.0
COMBINED,COMBINED,OGR,confirmation_tag,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,OGR,FIXED_BELOW_L_REPAIR,18087.484078905058,5548263.75486334,18087.484078905058,5548263.75486334,0.0,0.0
COMBINED,COMBINED,OGR,confirmation_tag,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,SMV6,NATIVE_CALLBACK,103922.07704857373,99495191.73811868,103922.07704857373,99495191.73811868,0.0,0.0
COMBINED,COMBINED,IFCGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,BULL,675006.1289900865,439765995.9286165,675006.1289900865,439765995.9286165,0.0,0.0
COMBINED,COMBINED,IFCGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,V27,429339.13185531565,195358490.83287415,429339.13185531565,195358490.83287415,0.0,0.0
COMBINED,COMBINED,IFCGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,IFCGR,FIXED_BELOW_L_REPAIR,105177.20814314189,20713521.534335025,105177.20814314189,20713521.534335025,0.0,0.0
COMBINED,COMBINED,IFCGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,MCB,MCB,504445.04409975756,237616479.8122496,504445.04409975756,237616479.8122496,0.0,0.0
COMBINED,COMBINED,IFCGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,SMV6,NATIVE_CALLBACK,260255.97808635223,242575910.3724443,260255.97808635223,242575910.3724443,0.0,0.0
COMBINED,COMBINED,IFCGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,BULL,149961.0630660271,326044106.73228693,149961.0630660271,326044106.73228693,0.0,0.0
COMBINED,COMBINED,IFCGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,V27,265591.1261099391,131925927.0458609,265591.1261099391,131925927.0458609,0.0,0.0
