priority_family,worst_incremental_efficiency,total_incremental_pnl,worst_incremental_MaxDD,slices,defined_capital_day_slices,efficiency_comparison_status
ATRDR,0.0009553433641782,29076835.97922361,0.2616227558445123,4,4,DEFINED
GAP_ALTERNATIVE,0.0004146991496446,27893528.677153055,0.2419715498500383,4,4,DEFINED
MCB,0.001167551308006,9682906.69134936,0.1046644342724389,4,4,DEFINED
SMV6,0.0002986839646962,1036525.3508248067,0.0374062562562365,4,4,DEFINED
