strategy,account_segment,signal_count,independent_signal_days,funded_trade_count,completed_count,immature_or_unavailable_count,mean_native_net_return,median_native_net_return,win_rate,mean_holding_sessions,severe_loss_count,capital_rejection_count,top5_signal_day_positive_profit_share,top5_security_positive_profit_share,return_unit,start,end,nav_rows,return_days,total_return,cagr,max_drawdown,sharpe,worst_5pct_mean,worst_year,worst_year_return,worst_month,worst_month_return,avg_utilization,p95_exposure,full_cash_day_ratio,short_sample,two_way_turnover_over_mean_nav,native_cost_note
MCB,PRIMARY_CONTINUOUS,1904,124.0,1021,1021.0,9.0,0.04055522304214833,0.034888888888888525,0.6268364348677767,14.17335945151812,47.0,874.0,0.17165197440376306,0.03130328980971361,TRADE,2014-02-13,2023-12-13,2397,2397,0.9617491025224516,0.07096141216634488,-0.051344078733171705,1.4090612007658179,-0.006749210550460868,2018,0.018877538938418592,2020-03,-0.02142475543088085,0.10259007851293328,0.5623013907720763,0.5828118481435127,False,35.97538395887161,20bp_each_side
OGR,PRIMARY_CONTINUOUS,370,60.0,255,255.0,15.0,0.06677055830632897,0.06851952350344814,0.9098039215686274,9.007843137254902,6.0,100.0,0.6211460883554786,0.06250116030756243,TRADE,2018-01-02,2021-12-15,961,961,0.11016946776510617,0.02680710797429242,-0.014396305449991154,1.5398327099669191,-0.0009751144625677508,2020,0.0038445154169954865,2018-08,-0.0029115411343262343,0.014877198624777219,0.05616258351753137,0.54630593132154,False,6.336673921331078,20bp_each_side
IFCGR,PRIMARY_CONTINUOUS,362,58.0,248,248.0,15.0,0.06576125925108306,0.0683374144198049,0.907258064516129,9.116935483870968,6.0,99.0,0.6414060328188379,0.06291175960983206,TRADE,2018-01-02,2021-12-15,961,961,0.10517720814314191,0.025636392774045946,-0.015496829810301649,1.4810128875238815,-0.0009659323586078615,2020,0.0038376305400762423,2018-08,-0.0029090663176787324,0.0146288126626559,0.05608780324478379,0.5483870967741935,False,6.15767275880635,20bp_each_side
ATRDR,PRIMARY_CONTINUOUS,4036,528.0,2119,2119.0,0.0,0.033195647804273865,0.03634134988363047,0.6319018404907976,14.43511090136857,144.0,1917.0,0.08585571578347151,0.017956203632009348,TRADE,2014-01-03,2023-12-29,2433,2433,2.123001895478578,0.12080951881457036,-0.06169084324170304,1.564068992509674,-0.011558236129119711,2017,0.05682581077841875,2020-03,-0.031728227212164506,0.21509618570840755,0.7354413090725175,0.12453760789149199,False,74.28298935554777,20bp_each_side
SMV6,PRIMARY_CONTINUOUS,157,115.0,150,150.0,0.0,0.04393016749865026,0.012390112775138795,0.58,NA,0.0,42.0,NA,NA,FINAL_SELL_FILL_HOLDING_PNL_NOT_ROUNDTRIP_TRADE,2013-04-01,2026-08-03,3241,3238,1.7956104719139119,0.08011998866877224,-0.08677612631310516,0.9020172014559761,-0.01190475642772793,2013,-0.02919870311517503,2025-10,-0.050160354529417805,0.1445919820671119,0.8618380409717478,0.7170626349892009,False,78.47790351013819,20bp_commission_plus_16bp_roundtrip_slippage
ATRDR,ATRDR_2024_2025_RESET,SEE_COVERAGE,NA,SEE_SEALED_SEGMENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-01-02,2026-03-31,541,541,0.05621956217111501,0.02469278932302088,-0.026778429799143466,0.9205005801934274,-0.004265853903628325,2026,0.0037301015179957986,2024-06,-0.007240674949258397,0.05208779379309114,0.23273713068707252,0.3678373382624769,False,NA,20bp_each_side; independent reset; not concatenated
ATRDR,ATRDR_2026_RESET,SEE_COVERAGE,NA,SEE_SEALED_SEGMENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-01-05,2026-08-03,140,140,-0.010966712884738161,-0.018996850549249267,-0.021188183099975055,-0.8496609955687836,-0.003340888570923501,2026,-0.010966712884738938,2026-06,-0.013337904771824505,0.042976908417693124,0.10356849789787798,0.25,True,NA,20bp_each_side; independent reset; not concatenated
