trade_date,equal_gross_nav,equal_net_nav,risk_aware_gross_nav,risk_aware_net_nav,equal_net_exposure,risk_aware_net_exposure,equal_net_positions,risk_aware_net_positions
2020-01-03,0.9996443812233285,0.9996043812233286,0.9996443812233285,0.9996043812233286,0.049664029245823395,0.049664029245823395,1,1
2020-01-06,0.998635736324471,0.9985557526611502,0.998635736324471,0.9985557526611502,0.09874789518425159,0.09874789518425159,2,2
2020-01-07,0.9996814552450203,0.999601426882559,0.9996814552450203,0.999601426882559,0.09969068704874043,0.09969068704874043,2,2
2020-01-08,0.9965168108841762,0.9964368237824599,0.9965168108841762,0.9964368237824599,0.09683137718100754,0.09683137718100754,2,2
2020-01-09,0.9954033542093665,0.9952833923892441,0.9954033542093665,0.9952833923892441,0.14589917519872592,0.14589917519872592,3,3
2020-01-10,0.9951854188646764,0.9950654529072045,0.9951854188646764,0.9950654529072045,0.1457121098244603,0.1457121098244603,3,3
2020-01-13,0.9948846125013558,0.9947249090521493,0.9948846125013558,0.9947249090521493,0.19548090699395082,0.19548090699395082,4,4
2020-01-14,0.9963124315986132,0.996152736675882,0.9963124315986132,0.996152736675882,0.1966340580545479,0.1966340580545479,4,4
2020-01-15,0.9935771086595517,0.9934175598999045,0.9935771086595517,0.9934175598999045,0.19442215043813543,0.19442215043813543,4,4
2020-01-16,0.9927989346896221,0.9925997227059709,0.9927989346896221,0.9925997227059709,0.24385583495904123,0.24385583495904123,6,6
2020-01-17,0.9876173009336291,0.9873789136120537,0.9876173009336291,0.9873789136120537,0.29021056790896277,0.29021056790896277,9,9
2020-01-20,0.9925832489776221,0.9923047326703263,0.9925832489776221,0.9923047326703263,0.3435161162571988,0.3435161162571988,10,10
2020-01-21,0.989873646783112,0.9895958284110111,0.989873646783112,0.9895958284110111,0.34171906746436165,0.34171906746436165,10,10
2020-01-22,0.9829663606989695,0.9826497355477869,0.9829663606989695,0.9826497355477869,0.387439848708849,0.387439848708849,12,12
2020-01-23,0.9607624077486812,0.9604100229465784,0.9607624077486812,0.9604100229465784,0.42436396433879436,0.42436396433879436,15,15
2020-02-03,0.9198631743864347,0.9194807017489786,0.9198631743864347,0.9194807017489786,0.44878710354549695,0.44878710354549695,28,28
2020-02-04,0.9063400073212059,0.9059253684410469,0.9063400073212059,0.9059253684410469,0.48928147059440086,0.48928147059440086,39,39
2020-02-05,0.9314207116244461,0.9309643815647398,0.9314207116244461,0.9309643815647398,0.5519245917214817,0.5519245917214817,122,122
2020-02-06,0.9504881145203532,0.9499895884214388,0.9504881145203532,0.9499895884214388,0.61015361134772,0.61015361134772,123,123
2020-02-07,0.9518521856920565,0.9513151056146506,0.9518521856920565,0.9513151056146506,0.6607595096222139,0.6607595096222139,124,124
2020-02-10,0.9594968071070903,0.9588918370753403,0.9594968071070903,0.9588918370753403,0.6258280431557615,0.6258280431557615,123,123
2020-02-11,0.9566990244731175,0.9560094459830014,0.9566990244731175,0.9560094459830014,0.575544961728291,0.575544961728291,122,122
2020-02-12,0.9646325215235705,0.9639402678327944,0.9646325215235705,0.9639402678327944,0.5790371670070976,0.5790371670070976,122,122
2020-02-13,0.9541227523207376,0.9534338116880006,0.9541227523207376,0.9534338116880006,0.574398326335402,0.574398326335402,122,122
2020-02-14,0.9533620136169039,0.9525968038217119,0.9533620136169039,0.9525968038217119,0.5296696370050099,0.5296696370050099,121,121
2020-02-17,0.9746275880039657,0.973855735227559,0.9746275880039657,0.973855735227559,0.5399367849647243,0.5399367849647243,121,121
2020-02-18,0.9861136908634338,0.9852536774314284,0.9861136908634338,0.9852536774314284,0.4977074775396462,0.4977074775396462,120,120
2020-02-19,0.982844449231361,0.9819853861426682,0.982844449231361,0.9819853861426682,0.49603572325619893,0.49603572325619893,120,120
2020-02-20,0.9972119446679293,0.996347518480183,0.9972119446679293,0.996347518480183,0.5033002584728021,0.5033002584728021,120,120
2020-02-21,1.0026086306614976,1.0016632536006713,1.0026086306614976,1.0016632536006713,0.4620859283356752,0.4620859283356752,118,118
2020-02-24,1.0047347222992726,1.003703972892481,1.0047347222992726,1.003703972892481,0.416734484202868,0.416734484202868,115,115
2020-02-25,0.9993153119001892,0.9982041816462921,0.9993153119001892,0.9982041816462921,0.36769816730511967,0.36769816730511967,114,114
2020-02-26,0.9923638949920045,0.9912181766220016,0.9923638949920045,0.9912181766220016,0.4134573997174357,0.4134573997174357,115,115
2020-02-27,0.9936199232080997,0.9923910487614498,0.9936199232080997,0.9923910487614498,0.36800117683630384,0.36800117683630384,113,113
2020-02-28,0.9765576902126079,0.9752382316693328,0.9765576902126079,0.9752382316693328,0.3003222938216441,0.3003222938216441,110,110
2020-03-02,0.9846584486430041,0.9832071854395474,0.9846584486430041,0.9832071854395474,0.30652932567006,0.30652932567006,100,100
2020-03-03,0.9879709703063635,0.9864258549923931,0.9879709703063635,0.9864258549923931,0.2572617425885513,0.2572617425885513,89,89
2020-03-04,0.9894325942842673,0.9877884374603205,0.9894325942842673,0.9877884374603205,0.20387578006353124,0.20387578006353124,6,6
2020-03-05,0.9937316810659791,0.9919780907775291,0.9937316810659791,0.9919780907775291,0.14857098645452424,0.14857098645452424,5,5
2020-03-06,0.9938442867585306,0.9920085961459255,0.9938442867585306,0.9920085961459255,0.10305837640163842,0.10305837640163842,4,4
2020-03-09,0.990750107060305,0.9889179310567269,0.990750107060305,0.9889179310567269,0.10025516485491039,0.10025516485491039,4,4
2020-03-10,0.9953330903566606,0.9934547658692969,0.9953330903566606,0.9934547658692969,0.15411093046191593,0.15411093046191593,10,10
2020-03-11,0.9920439288957121,0.9901303749153103,0.9920439288957121,0.9901303749153103,0.2015322300316442,0.2015322300316442,11,11
2020-03-12,0.9850372935220064,0.9831346489393711,0.9850372935220064,0.9831346489393711,0.19585054469449922,0.19585054469449922,11,11
2020-03-13,0.9817293240862395,0.9797919662018459,0.9817293240862395,0.9797919662018459,0.24273840567060764,0.24273840567060764,15,15
2020-03-16,0.9656585889814578,0.9637089806068202,0.9656585889814578,0.9637089806068202,0.2810220423629339,0.2810220423629339,22,22
2020-03-17,0.963926798642043,0.9619423862427123,0.963926798642043,0.9619423862427123,0.32990505456999203,0.32990505456999203,89,89
2020-03-18,0.9540184448971452,0.9520127818009674,0.9540184448971452,0.9520127818009674,0.37359205940299584,0.37359205940299584,109,109
2020-03-19,0.9554651624171115,0.9534197644909765,0.9554651624171115,0.9534197644909765,0.42443830697614443,0.42443830697614443,160,160
2020-03-20,0.9624787204105196,0.9603813198830475,0.9624169148966792,0.9603196465170478,0.47863498856597847,0.47860150561549797,186,186
2020-03-23,0.9386452168473478,0.9365538025841847,0.9386504856690596,0.9365590573974218,0.5160201431766992,0.5160222583105392,190,190
2020-03-24,0.9527169549433678,0.950560958528863,0.9527910417677001,0.9506348783440897,0.5729869679679694,0.5730210254446524,297,297
2020-03-25,0.9704597639731437,0.9681554785930915,0.9703302606846715,0.9680262544658138,0.5877090689485901,0.5876556190545625,300,300
2020-03-26,0.9639051351255051,0.9616144229280368,0.9637562883553494,0.9614658971842027,0.5849045998538017,0.5848420752045006,300,300
2020-03-27,0.9572276721877537,0.9549116168842985,0.9569369294153591,0.954621510040045,0.63274643216852,0.6326266717203627,303,303
2020-03-30,0.9396003211955084,0.937207076185991,0.9393680033014831,0.936975283504831,0.6313845963239259,0.6312710746627821,312,312
2020-03-31,0.9381290234686654,0.9357022343615602,0.9378816135025432,0.9354553980544469,0.6812124384285918,0.6810945840347883,383,383
2020-04-01,0.9384189943886347,0.9359534333197999,0.9381686472498209,0.9357036832531487,0.731270271483448,0.7311539690291354,409,409
2020-04-02,0.963011997720046,0.9604551418585736,0.9627504835390429,0.9601942794247487,0.7866674482349373,0.786551453971857,433,433
2020-04-03,0.957739411599919,0.9551565400017697,0.957548607478741,0.9549662442085998,0.8357879289704682,0.835682288090816,434,434
2020-04-07,0.9867027761164646,0.9840151910142513,0.9866883812299316,0.9840008972823598,0.8899092295245143,0.8898283488595682,440,440
