arm,steps,mean_stocks,seconds,seconds_per_step,projected_hours_one_32k,mps_allocated_bytes
CONTROL,20,1241.45,7.366078624967486,0.3683039312483743,3.2738127222077713,23225088
RELATION,20,1241.45,7.3278216670732945,0.3663910833536647,3.2568096298103533,23296768
