scale,funded_symbol_timestamp_checks,max_newly_funded_security_share_at_timestamp_complete,max_security_share_any_native_timestamp,status
X1,2740,0.016422116687727518,0.024791025278366224,PASS
X1.5,2739,0.024633414775054843,0.03567179705673708,PASS
X2,2723,0.03284590427581886,0.04643305877946852,PASS
X3,2589,0.04927083290639064,0.06873472185620157,PASS
X5,2364,0.08211546498972666,0.1029292201913387,PASS
X8,2200,0.10000000000000002,0.11641457080057384,PASS
X10,2128,0.10000000000000002,0.11725245887321817,PASS
MAX_FILL,2038,0.10000000000000003,0.12019744167834577,PASS
