route,phase,removed_top_signal_dates,reference,gain_over_b0,gain_over_price,events,signal_dates
ATRDR_FAST_BEAR,CONSUMED_TEMPORAL,0,PRICE_AUGMENT,9.247214328869852e-06,3.7025050549394947e-06,46,15
ATRDR_FAST_BEAR,CONSUMED_TEMPORAL,1,PRICE_AUGMENT,-1.8413270863438197e-05,-3.797516892159985e-05,40,14
ATRDR_FAST_BEAR,CONSUMED_TEMPORAL,5,PRICE_AUGMENT,-5.543342165615962e-05,-9.894262437252699e-05,32,10
ATRDR_FAST_BEAR,DISCOVERY,0,PRICE_AUGMENT,-3.0048931720366517e-05,4.2641731633163345e-06,44,9
ATRDR_FAST_BEAR,DISCOVERY,1,PRICE_AUGMENT,-0.00013630931356445471,-0.00011350673397713618,31,8
ATRDR_FAST_BEAR,DISCOVERY,5,PRICE_AUGMENT,-0.0002455930051584334,-0.0004484164869953445,22,4
ATRDR_SLOW_BEAR,CONSUMED_TEMPORAL,0,MATCHED_PRICE_CONTROL,1.0813657792675404e-05,1.2220203476938937e-05,157,48
ATRDR_SLOW_BEAR,CONSUMED_TEMPORAL,1,MATCHED_PRICE_CONTROL,8.685680684402322e-06,7.328564780092687e-06,147,47
ATRDR_SLOW_BEAR,CONSUMED_TEMPORAL,5,MATCHED_PRICE_CONTROL,3.162231419873105e-06,-4.503984483767337e-06,129,43
ATRDR_SLOW_BEAR,DISCOVERY,0,MATCHED_PRICE_CONTROL,-5.211034745054316e-06,1.4848615459099198e-05,310,97
ATRDR_SLOW_BEAR,DISCOVERY,1,MATCHED_PRICE_CONTROL,-7.934897874614088e-06,1.1762034255724063e-05,296,96
ATRDR_SLOW_BEAR,DISCOVERY,5,MATCHED_PRICE_CONTROL,-1.1221281811244786e-05,1.776302277619995e-06,276,92
MCB,CONSUMED_TEMPORAL,0,PRICE_AUGMENT,4.092032755921079e-06,-1.2224942742742338e-05,294,39
MCB,CONSUMED_TEMPORAL,1,PRICE_AUGMENT,1.3854418659919224e-06,-1.8094398136313963e-05,287,38
MCB,CONSUMED_TEMPORAL,5,PRICE_AUGMENT,2.075395842685612e-06,-2.6699504900586502e-05,253,34
MCB,DISCOVERY,0,PRICE_AUGMENT,-1.8118515745899484e-05,-1.7967531550079166e-05,539,65
MCB,DISCOVERY,1,PRICE_AUGMENT,-1.1067944286024197e-05,-2.1503451549719745e-05,530,64
MCB,DISCOVERY,5,PRICE_AUGMENT,-1.0938127757170493e-05,-2.8774897923852862e-05,491,60
OGR,CONSUMED_TEMPORAL,0,PRICE_AUGMENT,1.987056643559359e-06,-1.3257228104355503e-05,44,25
OGR,CONSUMED_TEMPORAL,1,PRICE_AUGMENT,1.6251929513122766e-06,-2.122376850005571e-05,43,24
OGR,CONSUMED_TEMPORAL,5,PRICE_AUGMENT,-1.3741320126454651e-06,-4.1403119776071104e-05,36,20
OGR,DISCOVERY,0,PRICE_AUGMENT,-1.2451984490659879e-05,-4.3934187388400685e-05,34,20
OGR,DISCOVERY,1,PRICE_AUGMENT,-1.0240043144530063e-05,-4.8036450961954864e-05,33,19
OGR,DISCOVERY,5,PRICE_AUGMENT,-9.632858005527514e-06,-6.306883117242989e-05,28,15
