category,status
CANDIDATE_TRIGGER_NATIVE_BIG_WIN,NOT_APPLICABLE_NO_MECHANISM_EXIT_CANDIDATE
CANDIDATE_NO_TRIGGER_NATIVE_SEVERE_LOSS,NOT_APPLICABLE_NO_MECHANISM_EXIT_CANDIDATE
SAME_PRICE_PATH_OPPOSITE_STATE,NOT_APPLICABLE_NO_MECHANISM_EXIT_CANDIDATE
SIMILAR_STATE_OPPOSITE_FUTURE,NOT_APPLICABLE_NO_MECHANISM_EXIT_CANDIDATE
