route,period,entry_cohort,mature_events,independent_event_clusters,independent_signal_dates,censored_at_period_end,date_contract,evidence
ATRDR_BULL,DISCOVERY,1074,1074,1074,228,0,FROZEN_SIGNAL_DATE,CONSUMED_HISTORY
ATRDR_BULL,CONSUMED_TEMPORAL,420,420,420,86,0,FROZEN_SIGNAL_DATE,CONSUMED_HISTORY
ATRDR_FAST_BEAR,DISCOVERY,79,79,79,16,0,FROZEN_SIGNAL_DATE,CONSUMED_HISTORY
ATRDR_FAST_BEAR,CONSUMED_TEMPORAL,49,49,49,17,0,FROZEN_SIGNAL_DATE,CONSUMED_HISTORY
ATRDR_SLOW_BEAR,DISCOVERY,342,340,340,111,2,FROZEN_SIGNAL_DATE,CONSUMED_HISTORY
ATRDR_SLOW_BEAR,CONSUMED_TEMPORAL,157,157,157,48,0,FROZEN_SIGNAL_DATE,CONSUMED_HISTORY
IFCGR,DISCOVERY,248,248,248,53,0,FROZEN_SIGNAL_DATE,CONSUMED_HISTORY
IFCGR,CONSUMED_TEMPORAL,44,44,44,25,0,FROZEN_SIGNAL_DATE,CONSUMED_HISTORY
MCB,DISCOVERY,716,714,714,85,2,FROZEN_SIGNAL_DATE,CONSUMED_HISTORY
MCB,CONSUMED_TEMPORAL,294,294,294,39,0,FROZEN_SIGNAL_DATE,CONSUMED_HISTORY
OGR,DISCOVERY,255,255,255,55,0,FROZEN_SIGNAL_DATE,CONSUMED_HISTORY
OGR,CONSUMED_TEMPORAL,44,44,44,25,0,FROZEN_SIGNAL_DATE,CONSUMED_HISTORY
SMV6,DISCOVERY,44,44,44,35,0,SMV6 entry dates proxy; actual signal dates in parent residual audit,CONSUMED_HISTORY
SMV6,CONSUMED_TEMPORAL,21,21,21,14,0,SMV6 entry dates proxy; actual signal dates in parent residual audit,CONSUMED_HISTORY
