experiment,stage,route,policy,status,artifact,evidence
VISUAL_VM_FAST_RECOVERY_CONSUMED_TEMPORAL,FROZEN_INFORMATION,ATRDR_FAST_BEAR,VM_FAST_RECOVERY,FAIL,visual_admission.csv,CONSUMED_HISTORY_NOT_BLIND_VALIDATION
VISUAL_VM_FAST_RECOVERY_DISCOVERY,FROZEN_INFORMATION,ATRDR_FAST_BEAR,VM_FAST_RECOVERY,FAIL,visual_admission.csv,CONSUMED_HISTORY_NOT_BLIND_VALIDATION
VISUAL_VM_SLOW_VOLUME_CONSUMED_TEMPORAL,FROZEN_INFORMATION,ATRDR_SLOW_BEAR,VM_SLOW_VOLUME,FAIL,visual_admission.csv,CONSUMED_HISTORY_NOT_BLIND_VALIDATION
VISUAL_VM_SLOW_VOLUME_DISCOVERY,FROZEN_INFORMATION,ATRDR_SLOW_BEAR,VM_SLOW_VOLUME,FAIL,visual_admission.csv,CONSUMED_HISTORY_NOT_BLIND_VALIDATION
VISUAL_VM_MCB_CLOSE_CONSUMED_TEMPORAL,FROZEN_INFORMATION,MCB,VM_MCB_CLOSE,FAIL,visual_admission.csv,CONSUMED_HISTORY_NOT_BLIND_VALIDATION
VISUAL_VM_MCB_CLOSE_DISCOVERY,FROZEN_INFORMATION,MCB,VM_MCB_CLOSE,FAIL,visual_admission.csv,CONSUMED_HISTORY_NOT_BLIND_VALIDATION
VISUAL_VM_OGR_RECOVERY_CONSUMED_TEMPORAL,FROZEN_INFORMATION,OGR,VM_OGR_RECOVERY,FAIL,visual_admission.csv,CONSUMED_HISTORY_NOT_BLIND_VALIDATION
VISUAL_VM_OGR_RECOVERY_DISCOVERY,FROZEN_INFORMATION,OGR,VM_OGR_RECOVERY,FAIL,visual_admission.csv,CONSUMED_HISTORY_NOT_BLIND_VALIDATION
ATRDR_BULL_CONTINUOUS_2014_2023_fixed_0.03,ACTUAL_CASH_RISK_REVIEW,ATRDR_BULL,fixed_0.03,COMPUTED_RECONCILED,risk_account_comparison.csv,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
ATRDR_BULL_CONTINUOUS_2014_2023_atr_2.5,ACTUAL_CASH_RISK_REVIEW,ATRDR_BULL,atr_2.5,COMPUTED_RECONCILED,risk_account_comparison.csv,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
