route,policy,segment,change,other_account_skip_reason,events
ATRDR_BULL,atr_2.5,CONTINUOUS_2014_2023,CANCELLED,INSUFFICIENT_CASH,1
ATRDR_BULL,atr_2.5,CONTINUOUS_2014_2023,CANCELLED,MAX_K_30,3
ATRDR_BULL,atr_2.5,CONTINUOUS_2014_2023,NEWLY_FUNDED,INSUFFICIENT_CASH,4
ATRDR_BULL,atr_2.5,CONTINUOUS_2014_2023,NEWLY_FUNDED,MAX_K_30,14
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,CANCELLED,INSUFFICIENT_CASH,1
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,CANCELLED,MAX_K_30,5
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,INSUFFICIENT_CASH,26
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,MAX_K_30,75
ATRDR_FAST_BEAR,fixed_0.05,CONTINUOUS_2014_2023,CANCELLED,MAX_K_30,4
ATRDR_FAST_BEAR,fixed_0.05,CONTINUOUS_2014_2023,NEWLY_FUNDED,MAX_K_30,8
ATRDR_SLOW_BEAR,fixed_0.03,CONTINUOUS_2014_2023,CANCELLED,INSUFFICIENT_CASH,3
ATRDR_SLOW_BEAR,fixed_0.03,CONTINUOUS_2014_2023,CANCELLED,MAX_K_30,4
ATRDR_SLOW_BEAR,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,INSUFFICIENT_CASH,6
ATRDR_SLOW_BEAR,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,MAX_K_30,38
IFCGR,atr_1,2018_2021,NEWLY_FUNDED,SKIPPED_CAPACITY,3
IFCGR,fixed_0.03,2018_2021,NEWLY_FUNDED,SKIPPED_CAPACITY,11
IFCGR,fixed_0.03,2018_2021,NEWLY_FUNDED,SKIPPED_DUPLICATE_SYMBOL,3
IFCGR,fixed_0.05,2018_2021,NEWLY_FUNDED,SKIPPED_CAPACITY,3
MCB,fixed_0.03,CONTINUOUS_2014_2023,CANCELLED,INSUFFICIENT_CASH,3
MCB,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,INSUFFICIENT_CASH,3
MCB,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,MAX_K,21
MCB,fixed_0.05,CONTINUOUS_2014_2023,NEWLY_FUNDED,INSUFFICIENT_CASH,1
MCB,fixed_0.05,CONTINUOUS_2014_2023,NEWLY_FUNDED,MAX_K,15
MCB,profit_0,CONTINUOUS_2014_2023,NEWLY_FUNDED,INSUFFICIENT_CASH,1
MCB,profit_0,CONTINUOUS_2014_2023,NEWLY_FUNDED,MAX_K,6
OGR,atr_1,2018_2021,NEWLY_FUNDED,SKIPPED_CAPACITY,3
OGR,fixed_0.03,2018_2021,NEWLY_FUNDED,SKIPPED_CAPACITY,11
OGR,fixed_0.03,2018_2021,NEWLY_FUNDED,SKIPPED_DUPLICATE_SYMBOL,3
OGR,fixed_0.05,2018_2021,NEWLY_FUNDED,SKIPPED_CAPACITY,3
