route,phase,model,events,states,weighted_mse,top_advantage,top_events,top_signal_dates,out_of_domain_fraction,complete_fraction
MCB,CONSUMED_TEMPORAL,TREE_B0,294,4079,0.004972496828516414,-0.0012075534417144548,234,39,0.01445578231292517,0.7302687108809557
MCB,CONSUMED_TEMPORAL,TREE_VISUAL,294,4079,0.00497249682851642,-0.0012075534417144548,234,39,0.015123906705539357,0.7302687108809557
MCB,CONSUMED_TEMPORAL,VISUAL,294,4079,0.004860884413634828,-0.0011991047868358993,227,39,0.015123906705539357,0.7302687108809557
MCB,DISCOVERY,B0,539,7146,0.004917591924032251,-0.0035407314557875428,403,64,0.009581489938632795,0.7112057443690096
MCB,DISCOVERY,B1_INCUMBENT,539,7146,0.004907426317168477,-0.0043274920464762435,398,62,0.013209239739851985,0.7112057443690096
MCB,DISCOVERY,PRICE_AUGMENT,539,7146,0.00491774290822807,-0.00441668214010228,404,63,0.010757609737201574,0.7112057443690096
MCB,DISCOVERY,TREE_B0,539,7146,0.005055533479334947,-0.007921053888752925,425,63,0.009581489938632795,0.7112057443690096
MCB,DISCOVERY,TREE_VISUAL,539,7146,0.005055533479334945,-0.007921053888752925,425,63,0.010873565210299904,0.7112057443690096
MCB,DISCOVERY,VISUAL,539,7146,0.00493571043977815,-0.0037385967562537795,393,63,0.010873565210299904,0.7112057443690096
OGR,CONSUMED_TEMPORAL,B0,44,515,0.002568357121632922,-0.010832389136152946,20,17,0.00541125541125541,0.5774994891472164
OGR,CONSUMED_TEMPORAL,B1_INCUMBENT,44,515,0.0025298268574849,-0.012688047300247415,20,17,0.006493506493506492,0.5774994891472164
OGR,CONSUMED_TEMPORAL,PRICE_AUGMENT,44,515,0.002553112836885007,-0.010088023497432826,19,16,0.00541125541125541,0.5774994891472164
OGR,CONSUMED_TEMPORAL,TREE_B0,44,515,0.0028214633278001427,-0.01655327342747663,17,15,0.00541125541125541,0.5774994891472164
OGR,CONSUMED_TEMPORAL,TREE_VISUAL,44,515,0.002821463327800141,-0.01655327342747663,17,15,0.009830447330447328,0.5774994891472164
OGR,CONSUMED_TEMPORAL,VISUAL,44,515,0.0025663700649893625,-0.010833970652996804,19,16,0.009830447330447328,0.5774994891472164
OGR,DISCOVERY,B0,34,326,0.0036548896472380532,0.01582333010130172,12,10,0.0,0.45719758182993475
OGR,DISCOVERY,B1_INCUMBENT,34,326,0.003626023675222193,0.013652682781179579,13,11,0.0,0.45719758182993475
OGR,DISCOVERY,PRICE_AUGMENT,34,326,0.003623407444340313,0.011333321089388037,12,10,0.0,0.45719758182993475
OGR,DISCOVERY,TREE_B0,34,326,0.003908037750416087,-0.012262142589801073,9,9,0.0,0.45719758182993475
OGR,DISCOVERY,TREE_VISUAL,34,326,0.0039080377504160935,-0.012262142589801073,9,9,0.0,0.45719758182993475
OGR,DISCOVERY,VISUAL,34,326,0.0036673416317287134,0.010460358885376284,12,10,0.0,0.45719758182993475
