route,phase,model,events,states,weighted_mse,top_advantage,top_events,top_signal_dates,out_of_domain_fraction,complete_fraction
ATRDR_FAST_BEAR,CONSUMED_TEMPORAL,B0,46,517,0.0034391973801409827,-0.006729960412335778,20,9,0.021739130434782608,0.5247169497169497
ATRDR_FAST_BEAR,CONSUMED_TEMPORAL,B1_INCUMBENT,46,517,0.0033397996009144493,-0.007094433778747298,20,11,0.021739130434782608,0.5247169497169497
ATRDR_FAST_BEAR,CONSUMED_TEMPORAL,PRICE_AUGMENT,46,517,0.003433652670867052,-0.006186063370823596,20,10,0.021739130434782608,0.5247169497169497
ATRDR_FAST_BEAR,CONSUMED_TEMPORAL,VISUAL,46,517,0.0034299501658121134,-0.007046868731621999,20,10,0.02277432712215321,0.5247169497169497
ATRDR_FAST_BEAR,DISCOVERY,B0,44,626,0.01447569546455874,0.017639222244438743,24,8,0.07859848484848485,0.6663086107648801
ATRDR_FAST_BEAR,DISCOVERY,B1_INCUMBENT,44,626,0.014376294024409774,0.014601448295729368,24,8,0.08400974025974026,0.6663086107648801
ATRDR_FAST_BEAR,DISCOVERY,PRICE_AUGMENT,44,626,0.014510008569442423,0.0189397412036721,25,8,0.08184523809523808,0.6663086107648801
ATRDR_FAST_BEAR,DISCOVERY,VISUAL,44,626,0.014505744396279108,0.017652279994737098,24,8,0.08292748917748917,0.6663086107648801
ATRDR_SLOW_BEAR,CONSUMED_TEMPORAL,B0,157,2203,0.003188086560378952,-0.010484677251907302,79,34,0.006369426751592357,0.5087386289430716
ATRDR_SLOW_BEAR,CONSUMED_TEMPORAL,B1_INCUMBENT,157,2203,0.003177195664918845,-0.0105591030756277,89,36,0.006369426751592357,0.5087386289430716
ATRDR_SLOW_BEAR,CONSUMED_TEMPORAL,MATCHED_PRICE_CONTROL,157,2203,0.0031894931060632158,-0.01079708054514377,84,36,0.006976038823172582,0.5087386289430716
ATRDR_SLOW_BEAR,CONSUMED_TEMPORAL,PRICE_AUGMENT,157,2203,0.003183147175546765,-0.010486483784926722,89,36,0.006369426751592357,0.5087386289430716
ATRDR_SLOW_BEAR,CONSUMED_TEMPORAL,TREE_B0,157,2203,0.003276052843159669,-0.013113660765479967,103,41,0.006369426751592357,0.5087386289430716
ATRDR_SLOW_BEAR,CONSUMED_TEMPORAL,TREE_VISUAL,157,2203,0.003276052843159674,-0.013113660765479967,103,41,0.006976038823172582,0.5087386289430716
ATRDR_SLOW_BEAR,CONSUMED_TEMPORAL,VISUAL,157,2203,0.003177272902586277,-0.009448997082432489,82,36,0.006976038823172582,0.5087386289430716
ATRDR_SLOW_BEAR,DISCOVERY,B0,310,4106,0.003803021590934988,-0.011652033970834773,175,63,0.010138248847926263,0.49374524207441406
ATRDR_SLOW_BEAR,DISCOVERY,B1_INCUMBENT,310,4106,0.0038226754910773955,-0.013199330327072125,193,71,0.01253853324012117,0.49374524207441406
ATRDR_SLOW_BEAR,DISCOVERY,MATCHED_PRICE_CONTROL,310,4106,0.0038230812411391424,-0.011310813330347055,180,63,0.011600704798048249,0.49374524207441406
ATRDR_SLOW_BEAR,DISCOVERY,PRICE_AUGMENT,310,4106,0.003807510092811904,-0.011205682360793069,188,65,0.010679045811873133,0.49374524207441406
ATRDR_SLOW_BEAR,DISCOVERY,TREE_B0,198,2598,0.004048184625985804,-0.039840527058453645,184,56,0.0,0.49821677681232984
ATRDR_SLOW_BEAR,DISCOVERY,TREE_VISUAL,198,2598,0.0040481846259858055,-0.039840527058453645,184,56,0.0020612285318167673,0.49821677681232984
ATRDR_SLOW_BEAR,DISCOVERY,VISUAL,310,4106,0.003808232625680043,-0.011633221277979732,179,60,0.011761995120628893,0.49374524207441406
MCB,CONSUMED_TEMPORAL,B0,294,4079,0.004864976446390749,-0.001261163315748998,230,39,0.01445578231292517,0.7302687108809557
MCB,CONSUMED_TEMPORAL,B1_INCUMBENT,294,4079,0.004837170467954528,-0.0017382258675130043,230,39,0.01873785228377065,0.7302687108809557
MCB,CONSUMED_TEMPORAL,PRICE_AUGMENT,294,4079,0.004848659470892085,-0.0014806189953996028,233,39,0.014698736637512148,0.7302687108809557
