episode_id,event_id,route,segment,event_cluster,signal_date,entry_date,native_time,native_price,entry_price,qty,entry_outlay,family,value,mature,exit_time_policy,exit_price_policy,exit_cal_idx_policy,exit_cost,triggered,filled,attempts,unfilled,gap_return,decision_at,native_return,policy_return,advantage_return,advantage_amount,released_calendar_days,tie,category,case_id,policy,period
ATRDR_FAST_BEAR|CONTINUOUS_2014_2023|V29|V27|OAI-20150714-603268.SH,V29|V27|OAI-20150714-603268.SH,ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,603268.SH|2015-07-14,2015-07-14,2015-07-15,2015-07-17 16:00:00,2.1594427247998,1.9631297498179998,0.011779074732291641,0.023170099736355795,fixed,0.05,True,2015-07-16 09:30:00,1.6713454192219512,613.0,0.002,True,True,1,0,-0.08643183300717516,2015-07-15 16:00:00,0.09560878243512994,-0.1520308926220505,-0.24763967505718038,-0.00573783596975361,1.0,c715a02fee8f1188e470e80ca2bac0a07ba47cff1224e0ed599d1bbfa317cef7,HARMED_WINNER,RISK_075640E0,fixed_0.05,DISCOVERY
ATRDR_FAST_BEAR|CONTINUOUS_2014_2023|V29|V27|OAI-20150714-603268.SH,V29|V27|OAI-20150714-603268.SH,ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,603268.SH|2015-07-14,2015-07-14,2015-07-15,2015-07-17 16:00:00,2.1594427247998,1.9631297498179998,0.011779074732291641,0.023170099736355795,fixed,0.05,True,2015-07-16 09:30:00,1.6713454192219512,613.0,0.002,True,True,1,0,-0.08643183300717516,2015-07-15 16:00:00,0.09560878243512994,-0.1520308926220505,-0.24763967505718038,-0.00573783596975361,1.0,c715a02fee8f1188e470e80ca2bac0a07ba47cff1224e0ed599d1bbfa317cef7,WORST_REALIZED_STOP,RISK_3847D0D2,fixed_0.05,DISCOVERY
ATRDR_FAST_BEAR|CONTINUOUS_2014_2023|V29|V27|OAI-20161221-002780.SZ,V29|V27|OAI-20161221-002780.SZ,ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,002780.SZ|2016-12-21,2016-12-21,2016-12-22,2017-01-23 09:30:00,4.345088102946324,5.633478712910865,0.005107831265118522,0.028832408418588137,fixed,0.05,True,2016-12-28 09:30:00,5.320425636334955,968.0,0.002,True,True,1,0,-0.004145936981757692,2016-12-27 16:00:00,-0.23178152214574765,-0.05934029712527733,0.1724412250204703,0.00497189582799186,26.0,773339a637e1f66baa0e13ff76a003a5e8a311da8f279e0057575b6dc45d5b1a,RESCUED_SEVERE_LOSS,RISK_C81B6598,fixed_0.05,DISCOVERY
MCB|CONTINUOUS_2014_2023|V72|V65|MEDIUM_PARTICIPATION|V53-20160606-002785.SZ,V72|V65|MEDIUM_PARTICIPATION|V53-20160606-002785.SZ,MCB,CONTINUOUS_2014_2023,002785.SZ|2016-06-06,2016-06-06,2016-06-07,2016-06-21 16:00:00,8.5169696969697,7.406060606060608,0.0029312512439141365,0.021752442412746677,profit,0.0,True,2016-06-14 09:30:00,6.72424242424243,834.0,0.002,True,True,1,0,-0.004039497307001594,2016-06-13 16:00:00,0.14540918163672645,-0.09568669534907226,-0.24109587698579873,-0.005244424180084244,7.0,20a51f33078a1a454ded4ff09ec5019fef768363fd5b96e479b487af999e079f,HARMED_WINNER,RISK_7D4C23A0,profit_0,DISCOVERY
MCB|CONTINUOUS_2014_2023|V72|V65|MEDIUM_PARTICIPATION|V53-20211129-600222.SH,V72|V65|MEDIUM_PARTICIPATION|V53-20211129-600222.SH,MCB,CONTINUOUS_2014_2023,600222.SH|2021-11-29,2021-11-29,2021-11-30,2021-12-22 09:30:00,1.784315690566798,2.1475758631661845,0.015418081011846234,0.0331777216346566,profit,0.0,True,2021-12-22 09:30:00,1.784315690566798,2180.0,0.002,False,False,0,0,,,-0.17246570688410412,-0.17246570688410412,0.0,0.0,0.0,c9568484e150466ddb926f6adb112954dd0ad3dc4d7f40e28e4db6177d9401fa,MISSED_SEVERE_LOSS,RISK_7E0BFDA2,profit_0,TEMPORAL_EVALUATION
MCB|CONTINUOUS_2014_2023|V72|V65|MEDIUM_PARTICIPATION|V53-20170816-603991.SH,V72|V65|MEDIUM_PARTICIPATION|V53-20170816-603991.SH,MCB,CONTINUOUS_2014_2023,603991.SH|2017-08-16,2017-08-16,2017-08-17,2017-09-08 09:30:00,2.30955497382199,2.62565445026178,0.008834623311884966,0.0232430613512677,profit,0.0,True,2017-08-21 09:30:00,2.2591623036649215,1125.0,0.002,True,True,2,1,-0.07897545357524005,2017-08-17 16:00:00,-0.12390025532185844,-0.14301606159565217,-0.019115806273793653,-0.0004443098580007339,18.0,e1e5fce3ad5ac9e433151ee768e36a1e74aea75c1e1eb231522bb57a5d738aff,WORST_REALIZED_STOP,RISK_FD73E5E3,profit_0,DISCOVERY
MCB|CONTINUOUS_2014_2023|V72|V65|MEDIUM_PARTICIPATION|V53-20220106-300888.SZ,V72|V65|MEDIUM_PARTICIPATION|V53-20220106-300888.SZ,MCB,CONTINUOUS_2014_2023,300888.SZ|2022-01-06,2022-01-06,2022-01-07,2022-02-07 09:30:00,0.5792871351535871,0.6991950715644016,0.03661275970719253,0.025650660065928,profit,0.0,True,2022-01-20 09:30:00,0.6911583466038913,2200.0,0.002,True,True,1,0,-0.0032452480296708552,2022-01-19 16:00:00,-0.1748016610457246,-0.015440383600614838,0.15936127744510975,0.00408772195541655,18.0,9aa907fe05bebe5a4fcbc9347c4668db5bc52d4fc563f096846623b1fde27f4a,RESCUED_SEVERE_LOSS,RISK_B5E02F36,profit_0,TEMPORAL_EVALUATION
OGR|2018_2021|601633.SH|2021-02-23,601633.SH|2021-02-23,OGR,2018_2021,601633.SH|2021-03-10,2021-03-10,2021-03-11,2021-04-02 10:32:00,34.82,30.520000457763672,0.00023408755437353225,0.007158640971170256,fixed,0.05,True,2021-03-22 09:30:00,29.02,1995.0,0.002,True,True,1,0,0.007638888888888751,2021-03-19 16:00:00,0.1363367458656073,-0.05294392978116236,-0.18928067564676973,-0.001354992399735754,11.0,2be4cb54dbab77f5da017fa350088d444c7b8eca2df8ea139c5b806c7bd32b83,HARMED_WINNER,RISK_4C251D44,fixed_0.05,DISCOVERY
OGR|2018_2021|603333.SH|2020-02-03,603333.SH|2020-02-03,OGR,2018_2021,603333.SH|2020-02-17,2020-02-17,2020-02-18,2020-03-18 09:30:00,6.920000076293945,7.440000057220459,0.0009526840949775566,0.007102145660588334,fixed,0.05,True,2020-03-02 09:30:00,6.71,1738.0,0.002,True,True,1,0,0.016666666666666607,2020-02-28 16:00:00,-0.07360547412880958,-0.10171861270776639,-0.028113138578956753,-0.0001996636051640562,16.0,659b83d91ee257f3cc9f296d3b03bfb9e54fa07b755f71743dc3572a8ff7256f,WORST_REALIZED_STOP,RISK_1B70C44A,fixed_0.05,DISCOVERY
OGR|2022_2023|002727.SZ|2022-03-15,002727.SZ|2022-03-15,OGR,2022_2023,002727.SZ|2022-03-30,2022-03-30,2022-03-31,2022-05-06 09:30:00,19.84000015258789,23.799999237060547,0.0002620808886576324,0.00625,fixed,0.05,True,2022-04-08 09:30:00,22.63,2249.0,0.002,True,True,1,0,0.0013274336283184418,2022-04-07 16:00:00,-0.15713443714989273,-0.05295540331174786,0.10417903383814486,0.0006511189614884055,28.0,589cc5cacfae58d3b67c21299dd5432e4e068cc84958cfb697d503ffabd9af04,RESCUED_SEVERE_LOSS,RISK_49DABB85,fixed_0.05,TEMPORAL_EVALUATION
OGR|2018_2021|601633.SH|2021-02-23,601633.SH|2021-02-23,OGR,2018_2021,601633.SH|2021-03-10,2021-03-10,2021-03-11,2021-04-02 10:32:00,34.82,30.520000457763672,0.00023408755437353225,0.007158640971170256,atr,1.0,True,2021-03-25 09:30:00,27.39,1998.0,0.002,True,True,1,0,-0.013328530259365978,2021-03-24 16:00:00,0.1363367458656073,-0.10613832655775457,-0.24247507242336197,-0.001735791987937354,8.0,2be4cb54dbab77f5da017fa350088d444c7b8eca2df8ea139c5b806c7bd32b83,HARMED_WINNER,RISK_CB44DE7A,atr_1,DISCOVERY
OGR|2018_2021|601633.SH|2021-02-23,601633.SH|2021-02-23,OGR,2018_2021,601633.SH|2021-03-10,2021-03-10,2021-03-11,2021-04-02 10:32:00,34.82,30.520000457763672,0.00023408755437353225,0.007158640971170256,atr,1.0,True,2021-03-25 09:30:00,27.39,1998.0,0.002,True,True,1,0,-0.013328530259365978,2021-03-24 16:00:00,0.1363367458656073,-0.10613832655775457,-0.24247507242336197,-0.001735791987937354,8.0,2be4cb54dbab77f5da017fa350088d444c7b8eca2df8ea139c5b806c7bd32b83,WORST_REALIZED_STOP,RISK_25A6EFAE,atr_1,DISCOVERY
