route,policy,segment,change,event_id,symbol,entry_date,exit_date,net_return,entry_outlay,other_account_skip_reason
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20150313|000089.SZ,000089.SZ,2015-03-16,2015-03-26,0.1454091816367264,0.017959898781217,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20150313|002668.SZ,002668.SZ,2015-03-16,2015-03-26,0.1454091816367262,0.017959898781217,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20150316|002186.SZ,002186.SZ,2015-03-17,2015-03-26,0.1454091816367264,0.0184383263058076,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20160629|002356.SZ,002356.SZ,2016-06-30,2016-07-22,0.0243172581977757,0.021180260669931,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20161025|603828.SH,603828.SH,2016-10-26,2016-10-31,-0.0523810678238665,0.0215374801702438,INSUFFICIENT_CASH
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20170221|002230.SZ,002230.SZ,2017-02-22,2017-03-07,0.1454091816367264,0.0212899822567436,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20170223|600110.SH,600110.SH,2017-02-24,2017-03-10,0.1454091816367262,0.0213020378233704,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20170818|600345.SH,600345.SH,2017-08-21,2017-08-23,-0.0461758835270632,0.0216435875921986,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20170818|600775.SH,600775.SH,2017-08-21,2017-08-23,-0.0419523928549439,0.0216435875921986,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20170828|000686.SZ,000686.SZ,2017-08-29,2017-09-20,-0.0315060486761282,0.0217331067152141,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20170828|000783.SZ,000783.SZ,2017-08-29,2017-09-08,-0.0323934235756603,0.0217331067152141,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20170828|600009.SH,600009.SH,2017-08-29,2017-09-20,0.009137063170119,0.0217331067152141,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20170828|600109.SH,600109.SH,2017-08-29,2017-09-20,0.0109605642759516,0.0217331067152141,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20170828|600621.SH,600621.SH,2017-08-29,2017-09-04,0.1454091816367264,0.0217331067152141,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20170828|601377.SH,601377.SH,2017-08-29,2017-09-20,-0.002821618807039,0.0217331067152141,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20170828|601555.SH,601555.SH,2017-08-29,2017-09-20,-0.0263921955286217,0.0217331067152141,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20170830|601021.SH,601021.SH,2017-08-31,2017-09-22,-0.0173573506429387,0.0217325376219526,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20170831|002094.SZ,002094.SZ,2017-09-01,2017-09-18,-0.0400244620183479,0.0218032788189325,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20170831|603203.SH,603203.SH,2017-09-01,2017-09-25,-0.0107352997115102,0.0218032788189325,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20170831|603728.SH,603728.SH,2017-09-01,2017-09-07,-0.032354052364283,0.0218032788189325,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20170904|002245.SZ,002245.SZ,2017-09-05,2017-09-27,-0.0083037388426608,0.0222517156070482,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20180313|002506.SZ,002506.SZ,2018-03-14,2018-03-16,-0.0428271896573824,0.0238898808553144,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20180314|000546.SZ,000546.SZ,2018-03-15,2018-03-26,-0.127248003992016,0.0238121967536043,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20180314|000935.SZ,000935.SZ,2018-03-15,2018-03-22,0.1454091816367264,0.0238121967536043,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20180314|002632.SZ,002632.SZ,2018-03-15,2018-03-21,-0.0388763535730468,0.0238121967536043,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20180314|002725.SZ,002725.SZ,2018-03-15,2018-03-19,-0.0339471433073702,0.0238121967536043,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20180314|600182.SH,600182.SH,2018-03-15,2018-03-16,-0.0486592817980677,0.0238121967536043,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20180315|002202.SZ,002202.SZ,2018-03-16,2018-03-27,-0.0506471267990331,0.023713527226879,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20180315|002358.SZ,002358.SZ,2018-03-16,2018-03-26,-0.052290451621889,0.023713527226879,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20180315|600229.SH,600229.SH,2018-03-16,2018-03-26,-0.1287666425390977,0.023713527226879,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20180315|601933.SH,601933.SH,2018-03-16,2018-03-19,-0.050235243798118,0.023713527226879,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20180319|600543.SH,600543.SH,2018-03-20,2018-03-29,-0.0429067946472421,0.0236053637038966,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20190222|002350.SZ,002350.SZ,2019-02-25,2019-03-08,0.1454091816367264,0.0256927884614739,INSUFFICIENT_CASH
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20190222|600637.SH,600637.SH,2019-02-25,2019-03-13,0.1454091816367264,0.0256927884614739,INSUFFICIENT_CASH
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20190225|300631.SZ,300631.SZ,2019-02-26,2019-03-20,0.0372871781599615,0.0239022693083447,INSUFFICIENT_CASH
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20190226|603018.SH,603018.SH,2019-02-27,2019-03-06,0.1454091816367264,0.0259054267672796,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20190226|603696.SH,603696.SH,2019-02-27,2019-03-07,0.1454091816367264,0.0259054267672796,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20190909|300097.SZ,300097.SZ,2019-09-10,2019-09-18,-0.0301535765242493,0.0260267345793353,INSUFFICIENT_CASH
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20191225|603059.SH,603059.SH,2019-12-26,2020-01-03,0.1454091816367264,0.0271551812258913,INSUFFICIENT_CASH
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20191230|000619.SZ,000619.SZ,2019-12-31,2020-01-23,-0.026316332851538,0.0272142231659152,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20191230|603856.SH,603856.SH,2019-12-31,2020-01-23,0.0103734838016276,0.0272142231659152,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20191230|603871.SH,603871.SH,2019-12-31,2020-01-23,0.0186005176943582,0.0272142231659152,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20200102|002061.SZ,002061.SZ,2020-01-03,2020-01-16,-0.0320718430469079,0.027556165444548,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20200102|002124.SZ,002124.SZ,2020-01-03,2020-01-06,-0.0623661102703019,0.027556165444548,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20200102|601186.SH,601186.SH,2020-01-03,2020-01-09,-0.0297261935459223,0.027556165444548,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20200106|000592.SZ,000592.SZ,2020-01-07,2020-01-16,-0.0494125755004648,0.0274719024485218,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20200306|600785.SH,600785.SH,2020-03-09,2020-03-10,-0.0461151367115698,0.028066700202211,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20200619|600363.SH,600363.SH,2020-06-22,2020-07-09,0.1454091816367262,0.0276422006316907,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20200619|601688.SH,601688.SH,2020-06-22,2020-07-03,0.1454091816367262,0.0276422006316907,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20200619|603232.SH,603232.SH,2020-06-22,2020-07-07,0.1454091816367264,0.0276422006316907,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20200622|000617.SZ,000617.SZ,2020-06-23,2020-06-30,-0.0425896788653318,0.0278463438811565,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20200622|000948.SZ,000948.SZ,2020-06-23,2020-07-07,0.1454091816367264,0.0278463438811565,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20200622|002467.SZ,002467.SZ,2020-06-23,2020-06-24,-0.0686678590870207,0.0278463438811565,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20200622|002789.SZ,002789.SZ,2020-06-23,2020-07-02,-0.0297918137821155,0.0278463438811565,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20200622|600745.SH,600745.SH,2020-06-23,2020-07-06,0.1454091816367262,0.0278463438811565,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20200622|601877.SH,601877.SH,2020-06-23,2020-07-17,0.0300591380932826,0.0278463438811565,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20200708|600158.SH,600158.SH,2020-07-09,2020-07-17,-0.0357329297449057,0.0300365440931369,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20200708|600764.SH,600764.SH,2020-07-09,2020-07-17,-0.0635116640639278,0.0300365440931369,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20200709|000810.SZ,000810.SZ,2020-07-10,2020-07-16,-0.0671828548341382,0.0304962667192811,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20200709|300112.SZ,300112.SZ,2020-07-10,2020-07-17,-0.0461263137649495,0.0266550780978072,INSUFFICIENT_CASH
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20200709|300513.SZ,300513.SZ,2020-07-10,2020-07-16,-0.0488021911187851,0.0266550780978072,INSUFFICIENT_CASH
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20200709|300718.SZ,300718.SZ,2020-07-10,2020-07-16,-0.0441181654351343,0.0266550780978072,INSUFFICIENT_CASH
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20200709|603050.SH,603050.SH,2020-07-10,2020-07-17,-0.0423295057306483,0.0304962667192811,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20211126|605336.SH,605336.SH,2021-11-29,2021-12-03,-0.0525214073014066,0.0319209219145256,MAX_K_30
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,NEWLY_FUNDED,V29|BULL|V29B|20211129|002646.SZ,002646.SZ,2021-11-30,2021-12-22,0.0743740944506923,0.0321142940944831,MAX_K_30
