route,phase,states,events,representations,complete_state_fraction
ATRDR_FAST_BEAR,DISCOVERY,927,79,close_location_mean3|recovery_3,0.7551240560949298
ATRDR_FAST_BEAR,CONSUMED_TEMPORAL,562,49,close_location_mean3|recovery_3,0.7597864768683275
ATRDR_SLOW_BEAR,DISCOVERY,4571,340,close_location_mean3|recovery_3|down_volume_mean3,0.6574053817545394
ATRDR_SLOW_BEAR,CONSUMED_TEMPORAL,2203,157,close_location_mean3|recovery_3|down_volume_mean3,0.6781661370857921
MCB,DISCOVERY,9596,714,close_location_mean3|recovery_3,0.7759483117965819
MCB,CONSUMED_TEMPORAL,4079,294,close_location_mean3|recovery_3,0.7886736945329738
OGR,DISCOVERY,2228,255,close_location_mean3|recovery_3,0.6817773788150808
OGR,CONSUMED_TEMPORAL,515,44,close_location_mean3|recovery_3,0.7553398058252427
