route,category,eligible_states,eligible_events,selection
ATRDR_FAST_BEAR,HIGH_SCORE_NATIVE_WINNER,25,6,MAX_ABSOLUTE_FROZEN_MODEL_ERROR; diagnostic only
ATRDR_FAST_BEAR,LOW_SCORE_SEVERE_LOSS,69,4,MAX_ABSOLUTE_FROZEN_MODEL_ERROR; diagnostic only
ATRDR_SLOW_BEAR,HIGH_SCORE_NATIVE_WINNER,142,30,MAX_ABSOLUTE_FROZEN_MODEL_ERROR; diagnostic only
ATRDR_SLOW_BEAR,LOW_SCORE_SEVERE_LOSS,140,8,MAX_ABSOLUTE_FROZEN_MODEL_ERROR; diagnostic only
MCB,HIGH_SCORE_NATIVE_WINNER,110,43,MAX_ABSOLUTE_FROZEN_MODEL_ERROR; diagnostic only
MCB,LOW_SCORE_SEVERE_LOSS,191,14,MAX_ABSOLUTE_FROZEN_MODEL_ERROR; diagnostic only
OGR,HIGH_SCORE_NATIVE_WINNER,39,10,MAX_ABSOLUTE_FROZEN_MODEL_ERROR; diagnostic only
OGR,LOW_SCORE_SEVERE_LOSS,15,1,MAX_ABSOLUTE_FROZEN_MODEL_ERROR; diagnostic only
