path,bytes,sha256,actually_viewed_by_astra,purpose
/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/ATRDR_BULL_full.png,196191,609b9465fa7326ea63670d25bdd2ab9182bf79f6cd775dac4e63c293c8cfdc1f,True,DISCOVERY_BLIND_PACKET
/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/ATRDR_BULL_price_only.png,177637,fdf11c9ffbf9173604d5c732abc3a6ee2a1aba0c92c3fc8be209f23113499007,True,DISCOVERY_BLIND_PACKET
/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/ATRDR_BULL_price_rs.png,177294,a9f9e139cd043c80a9f60309b193d93f3d574469bbf7036b663c115ea624f7dc,False,DISCOVERY_BLIND_PACKET
/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/ATRDR_BULL_price_volume.png,185508,a07a4b41e81f5811cbaec059578d35732c56f166f8702790106dd843a36f3f36,True,DISCOVERY_BLIND_PACKET
/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/ATRDR_FAST_BEAR_full.png,169015,5539bff6e625b6fe8eb0dcfa954d12bf7a39296f0c7f98791b81e2ee04274297,True,DISCOVERY_BLIND_PACKET
/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/ATRDR_FAST_BEAR_price_only.png,156047,0f1dee3620c4d09d18be3c0bfb3102e558060a20f0ff7bdbda5d91189b9e345e,True,DISCOVERY_BLIND_PACKET
/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/ATRDR_FAST_BEAR_price_rs.png,155692,efacdcfdd75bf885b04363fa8dda15bf4f7899eaf58cc6f33d81847ae0df8821,False,DISCOVERY_BLIND_PACKET
/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/ATRDR_FAST_BEAR_price_volume.png,159567,620152c9cfb8bc041a4cad43461749a0ed29feea948d9840e6d6f17215f36750,True,DISCOVERY_BLIND_PACKET
/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/ATRDR_SLOW_BEAR_full.png,181888,1d56845d25ae8368e96d691ceaf4fe4048902d12cb21d3f278fac018636dc18e,True,DISCOVERY_BLIND_PACKET
/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/ATRDR_SLOW_BEAR_price_only.png,165380,819f29314047e7467d61c1539af7b8454ccfa44d1d6217b892b9395abecc7df8,True,DISCOVERY_BLIND_PACKET
/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/ATRDR_SLOW_BEAR_price_rs.png,165012,3428b8c99493c160993f87ba918dd15b302172fe7e62b5a8e173a3202edce134,False,DISCOVERY_BLIND_PACKET
/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/ATRDR_SLOW_BEAR_price_volume.png,171460,f6b7321809b647b977bf0aff9d611121833ddd9c23b69f94b92da8219450ccde,True,DISCOVERY_BLIND_PACKET
/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/MCB_full.png,186037,5e2c5ac9585e537b851509dae336a0c30c28f06c6d57166b34bda6ab68647542,True,DISCOVERY_BLIND_PACKET
/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/MCB_price_only.png,170470,f473b3dd2961b5289fb1e5e20750b36f6599ec93a617f4fae0d536cb12f31aff,True,DISCOVERY_BLIND_PACKET
/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/MCB_price_rs.png,170124,2a67c79bdccf69b6e0014695c5ef5711499cd51329228c476fe1b40d2a3d5117,False,DISCOVERY_BLIND_PACKET
/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/MCB_price_volume.png,174295,e87bb965f59aac28d776236bde61d13e52bdb3d27e97472901926da6d59798e3,True,DISCOVERY_BLIND_PACKET
/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/OGR_full.png,196489,76d04ac17393be31073de42a892980c2a3c2078e4b9c08f894c50ce31986bb6d,True,DISCOVERY_BLIND_PACKET
/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/OGR_price_only.png,172705,5ce6c37d2df3b444a42edc84228804ef9bfc2d1ffbc6f864afb5430e344e30d4,True,DISCOVERY_BLIND_PACKET
/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/OGR_price_rs.png,172358,1b0a43e380db44f732794f3d86fa192d69a77224678130be2e66c00b92f65a84,False,DISCOVERY_BLIND_PACKET
/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/OGR_price_volume.png,179579,ff0eca68395185c9a92027582b3b4acb8fd73a79a9746e8053419757ea587f13,True,DISCOVERY_BLIND_PACKET
/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/SMV6_full.png,172841,f4b2cb48f3b8d6a21b70b40c378713bc9f9012a02c454480c52fc646dbdc2297,True,DISCOVERY_BLIND_PACKET
