route,case_id,pair_id,episode_id,symbol,entry_date,decision_at,age,current_pnl,mae_sofar,atr_entry_frac,native_time,native_net_return,exit_advantage_normalized,match_tier
ATRDR_BULL,CASE_68481,ATRDR_BULL_PAIR_1,ATRDR_BULL|CONTINUOUS_2014_2023|V29|BULL|V29B|20180313|300228.SZ,300228.SZ,2018-03-14,2018-03-21 16:00:00,5.0,-0.03689320388349526,-0.041747572815534206,0.03155339805825243,2018-04-09 09:30:00,-0.10165881828575885,0.0694173387096776,PRIMARY
ATRDR_BULL,CASE_69928,ATRDR_BULL_PAIR_1,ATRDR_BULL|CONTINUOUS_2014_2023|V29|BULL|V29B|20200304|002615.SZ,002615.SZ,2020-03-05,2020-03-12 16:00:00,5.0,-0.036190476190475884,-0.04190476190476167,0.030952380952380926,2020-03-25 16:00:00,0.14540918163672645,-0.22829743083003898,PRIMARY
ATRDR_BULL,CASE_26626,ATRDR_BULL_PAIR_2,ATRDR_BULL|CONTINUOUS_2014_2023|V29|BULL|V29B|20180723|600498.SH,600498.SH,2018-07-24,2018-07-31 16:00:00,5.0,-0.018397132962574725,-0.05770226169144099,0.041030405405405396,2018-08-15 09:30:00,0.09444812015602233,-0.11293523676880257,PRIMARY
ATRDR_BULL,CASE_33334,ATRDR_BULL_PAIR_2,ATRDR_BULL|CONTINUOUS_2014_2023|V29|BULL|V29B|20200302|600523.SH,600523.SH,2020-03-03,2020-03-10 16:00:00,5.0,-0.017793594306049987,-0.059074733096085574,0.04042704626334518,2020-03-25 09:30:00,-0.12308763256405375,0.10703188405797123,PRIMARY
ATRDR_FAST_BEAR,CASE_20147,ATRDR_FAST_BEAR_PAIR_1,ATRDR_FAST_BEAR|CONTINUOUS_2014_2023|V29|V27|OAI-20161221-002780.SZ,002780.SZ,2016-12-22,2016-12-27 16:00:00,3.0,-0.05163826998689369,-0.06985583224115322,0.041009174311926584,2017-01-23 09:30:00,-0.23178152214574765,0.18219430624654515,PRIMARY
ATRDR_FAST_BEAR,CASE_91313,ATRDR_FAST_BEAR_PAIR_1,ATRDR_FAST_BEAR|CONTINUOUS_2014_2023|V29|V27|OAI-20150106-600080.SH,600080.SH,2015-01-07,2015-01-12 16:00:00,3.0,-0.057255676209279294,-0.0700888450148075,0.04387956564659429,2015-01-27 16:00:00,0.09560878243512971,-0.176922931937173,PRIMARY
ATRDR_FAST_BEAR,CASE_51382,ATRDR_FAST_BEAR_PAIR_2,ATRDR_FAST_BEAR|CONTINUOUS_2014_2023|V29|V27|OAI-20200210-300761.SZ,300761.SZ,2020-02-11,2020-02-14 16:00:00,3.0,-0.013404825737265647,-0.044751495153640075,0.04616415755825945,2020-02-20 16:00:00,0.09560878243512994,-0.11346408862876275,PRIMARY
ATRDR_FAST_BEAR,CASE_67658,ATRDR_FAST_BEAR_PAIR_2,ATRDR_FAST_BEAR|CONTINUOUS_2014_2023|V29|V27|OAI-20161221-601595.SH,601595.SH,2016-12-22,2016-12-27 16:00:00,3.0,-0.01073170731707318,-0.04731707317073186,0.03954878048780485,2017-01-23 09:30:00,-0.16966944160459563,0.16387278106508874,PRIMARY
ATRDR_SLOW_BEAR,CASE_53759,ATRDR_SLOW_BEAR_PAIR_1,ATRDR_SLOW_BEAR|CONTINUOUS_2014_2023|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20140103|002444.SZ,002444.SZ,2014-01-06,2014-01-13 16:00:00,5.0,-0.04880952380952397,-0.06190476190476202,0.04000000000000001,2014-01-27 16:00:00,0.09560878243512971,-0.1636270337922404,PRIMARY
ATRDR_SLOW_BEAR,CASE_69097,ATRDR_SLOW_BEAR_PAIR_1,ATRDR_SLOW_BEAR|CONTINUOUS_2014_2023|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20201109|002757.SZ,002757.SZ,2020-11-10,2020-11-17 16:00:00,5.0,-0.048936170212766195,-0.06329787234042572,0.041702127659574484,2020-12-09 09:30:00,-0.10465239733299381,0.055258389261745255,PRIMARY
