checkpoint_id,timestamp,stage,cash,gross_exposure,nav,virtual_nav,pnl_delta,quantity_delta,fees,ATRDR_cash,ATRDR_exposure,ATRDR_nav,trade_date,root_pnl_json
5,2018-01-02 15:01:00,ACCOUNT_TIMESTAMP_COMPLETE,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,2018-01-02,{}
10,2018-01-03 15:01:00,ACCOUNT_TIMESTAMP_COMPLETE,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,2018-01-03,{}
15,2018-01-04 15:01:00,ACCOUNT_TIMESTAMP_COMPLETE,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,2018-01-04,{}
20,2018-01-05 15:01:00,ACCOUNT_TIMESTAMP_COMPLETE,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,2018-01-05,{}
25,2018-01-08 15:01:00,ACCOUNT_TIMESTAMP_COMPLETE,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,2018-01-08,{}
30,2018-01-09 15:01:00,ACCOUNT_TIMESTAMP_COMPLETE,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,2018-01-09,{}
35,2018-01-10 15:01:00,ACCOUNT_TIMESTAMP_COMPLETE,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,2018-01-10,{}
40,2018-01-11 15:01:00,ACCOUNT_TIMESTAMP_COMPLETE,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,2018-01-11,{}
45,2018-01-12 15:01:00,ACCOUNT_TIMESTAMP_COMPLETE,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,2018-01-12,{}
50,2018-01-15 15:01:00,ACCOUNT_TIMESTAMP_COMPLETE,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,2018-01-15,{}
55,2018-01-16 15:01:00,ACCOUNT_TIMESTAMP_COMPLETE,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,2018-01-16,{}
60,2018-01-17 15:01:00,ACCOUNT_TIMESTAMP_COMPLETE,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,2018-01-17,{}
65,2018-01-18 15:01:00,ACCOUNT_TIMESTAMP_COMPLETE,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,2018-01-18,{}
70,2018-01-19 15:01:00,ACCOUNT_TIMESTAMP_COMPLETE,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,2018-01-19,{}
75,2018-01-22 15:01:00,ACCOUNT_TIMESTAMP_COMPLETE,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,2018-01-22,{}
80,2018-01-23 15:01:00,ACCOUNT_TIMESTAMP_COMPLETE,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,2018-01-23,{}
85,2018-01-24 15:01:00,ACCOUNT_TIMESTAMP_COMPLETE,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,2018-01-24,{}
90,2018-01-25 15:01:00,ACCOUNT_TIMESTAMP_COMPLETE,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,2018-01-25,{}
95,2018-01-26 15:01:00,ACCOUNT_TIMESTAMP_COMPLETE,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,2018-01-26,{}
100,2018-01-29 15:01:00,ACCOUNT_TIMESTAMP_COMPLETE,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,2018-01-29,{}
