X,Y,period,start,end,return_,CAGR,MaxDD,CVaR5,Sharpe,average_gross,P95_gross,cash_ratio,fees,turnover,worst_month,max_security,max_family,top5_day_concentration,top5_event_concentration,top5_symbol_concentration,net_pnl,max_gross,trading_days,days_gross_gt25,days_gross_gt50,days_gross_gt75,days_gross_gt90,days_gross_ge99
X1,0.1,2018–2021,2018-01-01,2021-12-31,0.5118145793151165,0.10885467619154587,0.03192287367133628,0.006794029101232934,2.165872108657001,0.12869596520782728,0.4252056848942303,0.8713040347921729,230529.87782456726,4.910244257229448,-0.010086936903914379,0.02058260119477318,0.8770359245935344,0.09833986450257201,0.025547665393016353,0.035802990971968165,2510339.0020846324,1.0,973,168,28,5,3,1
X1,0.1,2022–2023,2022-01-01,2023-12-31,0.14378365580786046,0.06952742171290094,0.02621833161794962,0.005758110750780055,1.7371238125175545,0.12366654167074617,0.4685544973058195,0.8763334583292538,134477.9612405108,4.417908094358705,-0.013272030536402801,0.01899416019250209,0.45699042831454323,0.11576762418444372,0.0589749875519902,0.05914935009432366,1066173.224513051,0.6772498301279332,484,80,21,0,0,0
X1,0.1,2024,2024-01-01,2024-12-31,0.17335857052612114,0.1729742378266339,0.051523979313104706,0.008579660594921537,1.9539312828432143,0.13212466490208882,0.39824911702813576,0.8678753350979113,112823.72025411192,6.477858879915279,-0.02296525936242244,0.02479102468424201,0.42047288371283414,0.3255042918200162,0.11953534299196887,0.11953534299196887,1470305.065730935,0.5891814733538875,242,48,3,0,0,0
X1,0.1,2025,2025-01-01,2025-12-31,0.09029815032113553,0.09036271221469971,0.01522587535040898,0.006090479203199905,2.0392560309664463,0.17814734719480205,0.4350660755507749,0.821852652805198,114670.0185440284,6.361747006870229,-0.0049626422116203495,0.022480332314872002,0.3916519776917161,0.18544650838202992,0.09757017326820004,0.10084533375845424,898611.0205001812,0.47468381139048393,243,74,0,0,0,0
X1,0.1,2026 YTD,2026-01-01,2026-09-16,0.064260814309548,0.09180240673824724,0.026908516430020568,0.005068876958343916,2.178728310427852,0.13845575167374402,0.3546351029933715,0.8615442483262561,82429.87307119835,5.784956516802758,-0.013402955379592352,0.02067529732361949,0.33560946036199296,0.2230741728140299,0.13591381130411972,0.13638823613444248,697243.3584342077,0.4069888247126416,172,33,0,0,0,0
X1,0.1,full,2018-01-01,2026-09-16,1.3543255329788715,0.10331265381550536,0.051523979313104706,0.006785673087810423,1.9658040471092997,0.13441539445524286,0.41848826245213433,0.8655846055447571,674931.4509344167,5.329837014457043,-0.02296525936242244,0.02479102468424201,0.8770359245935344,0.06185636427694217,0.026995525588321002,0.02712932904621379,6642671.671263007,1.0,2114,403,52,5,3,1
X1,0.15,2018–2021,2018-01-01,2021-12-31,0.5118145793151165,0.10885467619154587,0.03192287367133628,0.006794029101232934,2.165872108657001,0.12869596520782728,0.4252056848942303,0.8713040347921729,230529.87782456726,4.910244257229448,-0.010086936903914379,0.02058260119477318,0.8770359245935344,0.09833986450257201,0.025547665393016353,0.035802990971968165,2510339.0020846324,1.0,973,168,28,5,3,1
X1,0.15,2022–2023,2022-01-01,2023-12-31,0.14378365580786046,0.06952742171290094,0.02621833161794962,0.005758110750780055,1.7371238125175545,0.12366654167074617,0.4685544973058195,0.8763334583292538,134477.9612405108,4.417908094358705,-0.013272030536402801,0.01899416019250209,0.45699042831454323,0.11576762418444372,0.0589749875519902,0.05914935009432366,1066173.224513051,0.6772498301279332,484,80,21,0,0,0
X1,0.15,2024,2024-01-01,2024-12-31,0.17335857052612114,0.1729742378266339,0.051523979313104706,0.008579660594921537,1.9539312828432143,0.13212466490208882,0.39824911702813576,0.8678753350979113,112823.72025411192,6.477858879915279,-0.02296525936242244,0.02479102468424201,0.42047288371283414,0.3255042918200162,0.11953534299196887,0.11953534299196887,1470305.065730935,0.5891814733538875,242,48,3,0,0,0
X1,0.15,2025,2025-01-01,2025-12-31,0.09029815032113553,0.09036271221469971,0.01522587535040898,0.006090479203199905,2.0392560309664463,0.17814734719480205,0.4350660755507749,0.821852652805198,114670.0185440284,6.361747006870229,-0.0049626422116203495,0.022480332314872002,0.3916519776917161,0.18544650838202992,0.09757017326820004,0.10084533375845424,898611.0205001812,0.47468381139048393,243,74,0,0,0,0
X1,0.15,2026 YTD,2026-01-01,2026-09-16,0.064260814309548,0.09180240673824724,0.026908516430020568,0.005068876958343916,2.178728310427852,0.13845575167374402,0.3546351029933715,0.8615442483262561,82429.87307119835,5.784956516802758,-0.013402955379592352,0.02067529732361949,0.33560946036199296,0.2230741728140299,0.13591381130411972,0.13638823613444248,697243.3584342077,0.4069888247126416,172,33,0,0,0,0
X1,0.15,full,2018-01-01,2026-09-16,1.3543255329788715,0.10331265381550536,0.051523979313104706,0.006785673087810423,1.9658040471092997,0.13441539445524286,0.41848826245213433,0.8655846055447571,674931.4509344167,5.329837014457043,-0.02296525936242244,0.02479102468424201,0.8770359245935344,0.06185636427694217,0.026995525588321002,0.02712932904621379,6642671.671263007,1.0,2114,403,52,5,3,1
X1,0.2,2018–2021,2018-01-01,2021-12-31,0.5118145793151165,0.10885467619154587,0.03192287367133628,0.006794029101232934,2.165872108657001,0.12869596520782728,0.4252056848942303,0.8713040347921729,230529.87782456726,4.910244257229448,-0.010086936903914379,0.02058260119477318,0.8770359245935344,0.09833986450257201,0.025547665393016353,0.035802990971968165,2510339.0020846324,1.0,973,168,28,5,3,1
