X,Y,old_CAGR,refreshed_history_CAGR,CAGR_revision_pp,old_MaxDD,refreshed_history_MaxDD,MaxDD_revision_pp,new_period_return,new_period_MaxDD,new_period_start,new_period_end
X1,0.1,0.10395470406188556,0.10397746391446927,0.002275985258370916,0.051523979342355974,0.051523979313104706,-2.9251268074403924e-09,-0.0019942470731133533,0.00344643471786632,2026-09-07,2026-09-16
X1,0.15,0.10395470406188556,0.10397746391446927,0.002275985258370916,0.051523979342355974,0.051523979313104706,-2.9251268074403924e-09,-0.0019942470731133533,0.00344643471786632,2026-09-07,2026-09-16
X1,0.2,0.10395470406188556,0.10397746391446927,0.002275985258370916,0.051523979342355974,0.051523979313104706,-2.9251268074403924e-09,-0.0019942470731133533,0.00344643471786632,2026-09-07,2026-09-16
X1,0.3,0.10395470406188556,0.10397746391446927,0.002275985258370916,0.051523979342355974,0.051523979313104706,-2.9251268074403924e-09,-0.0019942470731133533,0.00344643471786632,2026-09-07,2026-09-16
X1.5,0.1,0.1492023717317088,0.14923633149158366,0.0033959759874857554,0.07650678136136746,0.07650678130580446,-5.556299864650782e-09,-0.0025075237571227094,0.004694500320912232,2026-09-07,2026-09-16
X1.5,0.15,0.1492023717317088,0.14923633149158366,0.0033959759874857554,0.07650678136136746,0.07650678130580446,-5.556299864650782e-09,-0.0025075237571227094,0.004694500320912232,2026-09-07,2026-09-16
X1.5,0.2,0.1492023717317088,0.14923633149158366,0.0033959759874857554,0.07650678136136746,0.07650678130580446,-5.556299864650782e-09,-0.0025075237571227094,0.004694500320912232,2026-09-07,2026-09-16
X1.5,0.3,0.1492023717317088,0.14923633149158366,0.0033959759874857554,0.07650678136136746,0.07650678130580446,-5.556299864650782e-09,-0.0025075237571227094,0.004694500320912232,2026-09-07,2026-09-16
X2,0.1,0.18480180041547078,0.18485634569444964,0.005454527897885697,0.09554550280030738,0.09554550266556461,-1.3474277249514444e-08,-0.002924104244226733,0.005847389246673829,2026-09-07,2026-09-16
X2,0.15,0.18480180041547078,0.18485634569444964,0.005454527897885697,0.09554550280030738,0.09554550266556461,-1.3474277249514444e-08,-0.002924104244226733,0.005847389246673829,2026-09-07,2026-09-16
