X,Y,CAGR_delta_pp,MaxDD_delta_pp,strict_return_drawdown_improvement
MAX_FILL,0.1,0.0,0.0,False
MAX_FILL,0.15,-1.6100119424155512,6.702377878856239,False
MAX_FILL,0.2,-3.1803373824210808,13.789877471182729,False
MAX_FILL,0.3,-5.7943431495432405,17.91751871730515,False
X1,0.1,0.0,0.0,False
X1,0.15,0.0,0.0,False
X1,0.2,0.0,0.0,False
X1,0.3,0.0,0.0,False
X1.5,0.1,0.0,0.0,False
X1.5,0.15,0.0,0.0,False
X1.5,0.2,0.0,0.0,False
X1.5,0.3,0.0,0.0,False
X10,0.1,0.0,0.0,False
X10,0.15,0.9091929818801192,0.8038226243598096,False
X10,0.2,1.0046640071219581,0.7659740239329388,False
X10,0.3,1.0046640071219581,0.7659740239329388,False
X2,0.1,0.0,0.0,False
X2,0.15,0.0,0.0,False
X2,0.2,0.0,0.0,False
X2,0.3,0.0,0.0,False
X3,0.1,0.0,0.0,False
X3,0.15,0.0,0.0,False
X3,0.2,0.0,0.0,False
X3,0.3,0.0,0.0,False
X5,0.1,0.0,0.0,False
X5,0.15,0.0,0.0,False
X5,0.2,0.0,0.0,False
X5,0.3,0.0,0.0,False
X8,0.1,0.0,0.0,False
X8,0.15,0.39307937012837135,0.5970135324232712,False
X8,0.2,0.39307937012837135,0.5970135324232712,False
X8,0.3,0.39307937012837135,0.5970135324232712,False
