X,Y,start,end,return_,CAGR,MaxDD,CVaR5,Sharpe,average_gross,P95_gross,cash_ratio,fees,turnover,worst_month,max_security,max_family,top5_day_concentration,top5_event_concentration,top5_symbol_concentration,net_pnl,max_gross,trading_days,days_gross_gt25,days_gross_gt50,days_gross_gt75,days_gross_gt90,days_gross_ge99
X1,0.1,2018-01-01,2026-09-16,1.3543255329788715,0.10331265381550536,0.051523979313104706,0.006785673087810423,1.9658040471092997,0.13441539445524286,0.41848826245213433,0.8655846055447571,674931.4509344167,5.329837014457043,-0.02296525936242244,0.02479102468424201,0.8770359245935344,0.06185636427694217,0.026995525588321002,0.02712932904621379,6642671.671263007,1.0,2114,403,52,5,3,1
X1,0.15,2018-01-01,2026-09-16,1.3543255329788715,0.10331265381550536,0.051523979313104706,0.006785673087810423,1.9658040471092997,0.13441539445524286,0.41848826245213433,0.8655846055447571,674931.4509344167,5.329837014457043,-0.02296525936242244,0.02479102468424201,0.8770359245935344,0.06185636427694217,0.026995525588321002,0.02712932904621379,6642671.671263007,1.0,2114,403,52,5,3,1
X1,0.2,2018-01-01,2026-09-16,1.3543255329788715,0.10331265381550536,0.051523979313104706,0.006785673087810423,1.9658040471092997,0.13441539445524286,0.41848826245213433,0.8655846055447571,674931.4509344167,5.329837014457043,-0.02296525936242244,0.02479102468424201,0.8770359245935344,0.06185636427694217,0.026995525588321002,0.02712932904621379,6642671.671263007,1.0,2114,403,52,5,3,1
X1,0.3,2018-01-01,2026-09-16,1.3543255329788715,0.10331265381550536,0.051523979313104706,0.006785673087810423,1.9658040471092997,0.13441539445524286,0.41848826245213433,0.8655846055447571,674931.4509344167,5.329837014457043,-0.02296525936242244,0.02479102468424201,0.8770359245935344,0.06185636427694217,0.026995525588321002,0.02712932904621379,6642671.671263007,1.0,2114,403,52,5,3,1
X1.5,0.1,2018-01-01,2026-09-16,2.334541871093761,0.14830236681910347,0.07650678130580446,0.00995481172451367,1.9331452785417031,0.1962535930577445,0.6162469007157082,0.8037464069422555,1208880.3515026004,7.812681276590267,-0.0346007244828469,0.03567179637385552,0.8230752202437058,0.05857209540565414,0.030003437061286074,0.03011283541409451,11450419.249190802,1.0000000000000002,2114,617,236,42,5,1
X1.5,0.15,2018-01-01,2026-09-16,2.334541871093761,0.14830236681910347,0.07650678130580446,0.00995481172451367,1.9331452785417031,0.1962535930577445,0.6162469007157082,0.8037464069422555,1208880.3515026004,7.812681276590267,-0.0346007244828469,0.03567179637385552,0.8230752202437058,0.05857209540565414,0.030003437061286074,0.03011283541409451,11450419.249190802,1.0000000000000002,2114,617,236,42,5,1
X1.5,0.2,2018-01-01,2026-09-16,2.334541871093761,0.14830236681910347,0.07650678130580446,0.00995481172451367,1.9331452785417031,0.1962535930577445,0.6162469007157082,0.8037464069422555,1208880.3515026004,7.812681276590267,-0.0346007244828469,0.03567179637385552,0.8230752202437058,0.05857209540565414,0.030003437061286074,0.03011283541409451,11450419.249190802,1.0000000000000002,2114,617,236,42,5,1
X1.5,0.3,2018-01-01,2026-09-16,2.334541871093761,0.14830236681910347,0.07650678130580446,0.00995481172451367,1.9331452785417031,0.1962535930577445,0.6162469007157082,0.8037464069422555,1208880.3515026004,7.812681276590267,-0.0346007244828469,0.03567179637385552,0.8230752202437058,0.05857209540565414,0.030003437061286074,0.03011283541409451,11450419.249190802,1.0000000000000002,2114,617,236,42,5,1
X2,0.1,2018-01-01,2026-09-16,3.3438035282541634,0.18370034264791313,0.09554550266556461,0.012525934919536342,1.923138491723734,0.2485732825480882,0.7785112434375049,0.7514267174519119,1799666.2311706645,9.900318814246706,-0.04326476884578434,0.04643305802198213,0.8450832591526471,0.055540225402098235,0.033290917853982936,0.03341060181294275,16400627.788909705,1.0,2114,760,375,134,33,1
X2,0.15,2018-01-01,2026-09-16,3.3438035282541634,0.18370034264791313,0.09554550266556461,0.012525934919536342,1.923138491723734,0.2485732825480882,0.7785112434375049,0.7514267174519119,1799666.2311706645,9.900318814246706,-0.04326476884578434,0.04643305802198213,0.8450832591526471,0.055540225402098235,0.033290917853982936,0.03341060181294275,16400627.788909705,1.0,2114,760,375,134,33,1
X2,0.2,2018-01-01,2026-09-16,3.3438035282541634,0.18370034264791313,0.09554550266556461,0.012525934919536342,1.923138491723734,0.2485732825480882,0.7785112434375049,0.7514267174519119,1799666.2311706645,9.900318814246706,-0.04326476884578434,0.04643305802198213,0.8450832591526471,0.055540225402098235,0.033290917853982936,0.03341060181294275,16400627.788909705,1.0,2114,760,375,134,33,1
X2,0.3,2018-01-01,2026-09-16,3.3438035282541634,0.18370034264791313,0.09554550266556461,0.012525934919536342,1.923138491723734,0.2485732825480882,0.7785112434375049,0.7514267174519119,1799666.2311706645,9.900318814246706,-0.04326476884578434,0.04643305802198213,0.8450832591526471,0.055540225402098235,0.033290917853982936,0.03341060181294275,16400627.788909705,1.0,2114,760,375,134,33,1
X3,0.1,2018-01-01,2026-09-16,4.515248129032892,0.21660127368929105,0.12028932851829444,0.016083107904717793,1.8185450033882975,0.32033721563704676,0.9318353648615664,0.6796627843629532,2662140.3616831573,12.589755650744031,-0.05334055879213906,0.06873472094440931,0.9703755234282095,0.04916746737928297,0.04090808163728435,0.04106758979497082,22146308.3321475,1.0,2114,997,513,299,142,35
X3,0.15,2018-01-01,2026-09-16,4.515248129032892,0.21660127368929105,0.12028932851829444,0.016083107904717793,1.8185450033882975,0.32033721563704676,0.9318353648615664,0.6796627843629532,2662140.3616831573,12.589755650744031,-0.05334055879213906,0.06873472094440931,0.9703755234282095,0.04916746737928297,0.04090808163728435,0.04106758979497082,22146308.3321475,1.0,2114,997,513,299,142,35
