X,Y,year,start,end,return_,CAGR,MaxDD,CVaR5,Sharpe,average_gross,P95_gross,cash_ratio,fees,turnover,worst_month,max_security,max_family,top5_day_concentration,top5_event_concentration,top5_symbol_concentration,net_pnl,max_gross,trading_days,days_gross_gt25,days_gross_gt50,days_gross_gt75,days_gross_gt90,days_gross_ge99
X1,0.1,2018,2018-01-01,2018-12-31,0.17343930515302097,0.17356785926630125,0.03192287367133628,0.00880476732282147,2.4403033940227545,0.17299259854223722,0.5635912821126108,0.8270074014577629,76587.0956896448,7.306874841910873,-0.010052684564330616,0.01710688209056957,0.8770359245935344,0.2528362754593566,0.06491828292854866,0.06654932944438276,850682.0044139912,1.0,243,70,17,5,3,1
X1,0.1,2019,2019-01-01,2019-12-31,0.08574822486132483,0.08580940727608488,0.021391024539253678,0.006146228694122154,1.9591754465404854,0.11183797285739598,0.4284396755155607,0.8881620271426041,47991.08241233647,4.253172716805342,-0.00749858580875018,0.017167413755989194,0.47091899866830744,0.2677791563715512,0.07930796890789901,0.08810136263925741,493520.832709725,0.5668638823511231,244,40,9,0,0,0
X1,0.1,2020,2020-01-01,2020-12-31,0.08952099351660259,0.08932958920831324,0.03019512155018056,0.007691320154967062,1.7100120188370296,0.13151449806631865,0.3807642153173961,0.8684855019336813,55676.969730608675,4.661016515226585,-0.010086936903914379,0.019878108988739297,0.44408840315115183,0.24376658498879022,0.07563662968497764,0.09424772201948362,559415.3426548839,0.52094177859609,243,42,2,0,0,0
X1,0.1,2021,2021-01-01,2021-12-31,0.0891135648276502,0.089177245609384,0.009086217671912755,0.0028266078199316804,3.7899557923433815,0.09850816581947426,0.29100295669387766,0.9014918341805256,50274.72999197731,3.925418386364212,0.00015082691677892335,0.02058260119477318,0.2432435398244498,0.1546377235818649,0.08894441764455713,0.08894441764455713,606720.8223060323,0.3942918291501064,243,16,0,0,0,0
X1,0.1,2022,2022-01-01,2022-12-31,0.10029110732626179,0.10036313714215117,0.02621833161794962,0.006746879517658306,2.0034690047706767,0.14670104894567407,0.5405378152196494,0.8532989510543258,81865.9496164599,5.420965880617313,-0.013272030536402801,0.01829828606847912,0.38220450084034396,0.17668745470266461,0.09091119833833779,0.09091119833833779,743670.7092140829,0.6772498301279332,242,48,17,0,0,0
X1,0.1,2023,2023-01-01,2023-12-31,0.039528219570261314,0.03955582224131793,0.01178457764149543,0.0044375863863179285,1.4513336304265245,0.10063203439581828,0.4102122062636351,0.8993679656041816,52612.01162405091,3.4870036806859495,-0.0023414066863552963,0.01899416019250209,0.45699042831454323,0.23170661731295664,0.08605861082592026,0.10032993698180721,322502.5152989682,0.5215703254322107,242,32,4,0,0,0
X1,0.1,2024,2024-01-01,2024-12-31,0.17335857052612114,0.1729742378266339,0.051523979313104706,0.008579660594921537,1.9539312828432143,0.13212466490208882,0.39824911702813576,0.8678753350979113,112823.72025411192,6.477858879915279,-0.02296525936242244,0.02479102468424201,0.42047288371283414,0.3255042918200162,0.11953534299196887,0.11953534299196887,1470305.065730935,0.5891814733538875,242,48,3,0,0,0
X1,0.1,2025,2025-01-01,2025-12-31,0.09029815032113553,0.09036271221469971,0.01522587535040898,0.006090479203199905,2.0392560309664463,0.17814734719480205,0.4350660755507749,0.821852652805198,114670.0185440284,6.361747006870229,-0.0049626422116203495,0.022480332314872002,0.3916519776917161,0.18544650838202992,0.09757017326820004,0.10084533375845424,898611.0205001812,0.47468381139048393,243,74,0,0,0,0
X1,0.1,2026,2026-01-01,2026-09-16,0.064260814309548,0.09180240673824724,0.026908516430020568,0.005068876958343916,2.178728310427852,0.13845575167374402,0.3546351029933715,0.8615442483262561,82429.87307119835,5.784956516802758,-0.013402955379592352,0.02067529732361949,0.33560946036199296,0.2230741728140299,0.13591381130411972,0.13638823613444248,697243.3584342077,0.4069888247126416,172,33,0,0,0,0
X1,0.15,2018,2018-01-01,2018-12-31,0.17343930515302097,0.17356785926630125,0.03192287367133628,0.00880476732282147,2.4403033940227545,0.17299259854223722,0.5635912821126108,0.8270074014577629,76587.0956896448,7.306874841910873,-0.010052684564330616,0.01710688209056957,0.8770359245935344,0.2528362754593566,0.06491828292854866,0.06654932944438276,850682.0044139912,1.0,243,70,17,5,3,1
X1,0.15,2019,2019-01-01,2019-12-31,0.08574822486132483,0.08580940727608488,0.021391024539253678,0.006146228694122154,1.9591754465404854,0.11183797285739598,0.4284396755155607,0.8881620271426041,47991.08241233647,4.253172716805342,-0.00749858580875018,0.017167413755989194,0.47091899866830744,0.2677791563715512,0.07930796890789901,0.08810136263925741,493520.832709725,0.5668638823511231,244,40,9,0,0,0
X1,0.15,2020,2020-01-01,2020-12-31,0.08952099351660259,0.08932958920831324,0.03019512155018056,0.007691320154967062,1.7100120188370296,0.13151449806631865,0.3807642153173961,0.8684855019336813,55676.969730608675,4.661016515226585,-0.010086936903914379,0.019878108988739297,0.44408840315115183,0.24376658498879022,0.07563662968497764,0.09424772201948362,559415.3426548839,0.52094177859609,243,42,2,0,0,0
X1,0.15,2021,2021-01-01,2021-12-31,0.0891135648276502,0.089177245609384,0.009086217671912755,0.0028266078199316804,3.7899557923433815,0.09850816581947426,0.29100295669387766,0.9014918341805256,50274.72999197731,3.925418386364212,0.00015082691677892335,0.02058260119477318,0.2432435398244498,0.1546377235818649,0.08894441764455713,0.08894441764455713,606720.8223060323,0.3942918291501064,243,16,0,0,0,0
X1,0.15,2022,2022-01-01,2022-12-31,0.10029110732626179,0.10036313714215117,0.02621833161794962,0.006746879517658306,2.0034690047706767,0.14670104894567407,0.5405378152196494,0.8532989510543258,81865.9496164599,5.420965880617313,-0.013272030536402801,0.01829828606847912,0.38220450084034396,0.17668745470266461,0.09091119833833779,0.09091119833833779,743670.7092140829,0.6772498301279332,242,48,17,0,0,0
X1,0.15,2023,2023-01-01,2023-12-31,0.039528219570261314,0.03955582224131793,0.01178457764149543,0.0044375863863179285,1.4513336304265245,0.10063203439581828,0.4102122062636351,0.8993679656041816,52612.01162405091,3.4870036806859495,-0.0023414066863552963,0.01899416019250209,0.45699042831454323,0.23170661731295664,0.08605861082592026,0.10032993698180721,322502.5152989682,0.5215703254322107,242,32,4,0,0,0
X1,0.15,2024,2024-01-01,2024-12-31,0.17335857052612114,0.1729742378266339,0.051523979313104706,0.008579660594921537,1.9539312828432143,0.13212466490208882,0.39824911702813576,0.8678753350979113,112823.72025411192,6.477858879915279,-0.02296525936242244,0.02479102468424201,0.42047288371283414,0.3255042918200162,0.11953534299196887,0.11953534299196887,1470305.065730935,0.5891814733538875,242,48,3,0,0,0
X1,0.15,2025,2025-01-01,2025-12-31,0.09029815032113553,0.09036271221469971,0.01522587535040898,0.006090479203199905,2.0392560309664463,0.17814734719480205,0.4350660755507749,0.821852652805198,114670.0185440284,6.361747006870229,-0.0049626422116203495,0.022480332314872002,0.3916519776917161,0.18544650838202992,0.09757017326820004,0.10084533375845424,898611.0205001812,0.47468381139048393,243,74,0,0,0,0
X1,0.15,2026,2026-01-01,2026-09-16,0.064260814309548,0.09180240673824724,0.026908516430020568,0.005068876958343916,2.178728310427852,0.13845575167374402,0.3546351029933715,0.8615442483262561,82429.87307119835,5.784956516802758,-0.013402955379592352,0.02067529732361949,0.33560946036199296,0.2230741728140299,0.13591381130411972,0.13638823613444248,697243.3584342077,0.4069888247126416,172,33,0,0,0,0
X1,0.2,2018,2018-01-01,2018-12-31,0.17343930515302097,0.17356785926630125,0.03192287367133628,0.00880476732282147,2.4403033940227545,0.17299259854223722,0.5635912821126108,0.8270074014577629,76587.0956896448,7.306874841910873,-0.010052684564330616,0.01710688209056957,0.8770359245935344,0.2528362754593566,0.06491828292854866,0.06654932944438276,850682.0044139912,1.0,243,70,17,5,3,1
X1,0.2,2019,2019-01-01,2019-12-31,0.08574822486132483,0.08580940727608488,0.021391024539253678,0.006146228694122154,1.9591754465404854,0.11183797285739598,0.4284396755155607,0.8881620271426041,47991.08241233647,4.253172716805342,-0.00749858580875018,0.017167413755989194,0.47091899866830744,0.2677791563715512,0.07930796890789901,0.08810136263925741,493520.832709725,0.5668638823511231,244,40,9,0,0,0
