X,Y,period,reason,average_cash_NAV_share,share_of_unused_cash_NAV_days,cash_currency_days,method
X1,0.1,2018–2021,NO_QUALIFYING_OPPORTUNITY,0.07191152900454904,0.08253322162303733,435276392.17720133,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2018–2021,SINGLE_SECURITY_CAP,0.5251429186986458,0.6027091551617859,3205390706.795534,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2018–2021,LIQUIDITY_CAP,0.08048713407608975,0.09237548646872487,498316234.50399375,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2018–2021,GROSS_CAP,0.0,0.0,0.0,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2018–2021,CASH_EXHAUSTED,0.0,0.0,0.0,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2018–2021,SOFT_RISK_BUDGET,0.19372231402821757,0.22233606903292377,1183161333.6833494,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2018–2021,FAMILY_RISK_BUDGET,4.013898467055416e-05,4.6067713527951565e-05,245584.6555364996,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2022–2023,NO_QUALIFYING_OPPORTUNITY,0.04667698561427636,0.05326395468600151,185418970.3311223,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2022–2023,SINGLE_SECURITY_CAP,0.5878053941580778,0.6707553940468504,2319564100.629177,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2022–2023,LIQUIDITY_CAP,0.05645384654153418,0.0644205079755422,221363721.9318369,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2022–2023,GROSS_CAP,0.0,0.0,0.0,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2022–2023,CASH_EXHAUSTED,0.0,0.0,0.0,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2022–2023,SOFT_RISK_BUDGET,0.18456382713740677,0.21060912987309782,717571058.2156585,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2022–2023,FAMILY_RISK_BUDGET,0.000833404877958863,0.0009510134185082527,3349993.281582617,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2024,NO_QUALIFYING_OPPORTUNITY,0.12406585931529969,0.14295354908467692,291894717.3510512,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2024,SINGLE_SECURITY_CAP,0.5289942228354324,0.609527891210035,1174594995.748363,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2024,LIQUIDITY_CAP,0.054537250926844937,0.0628399595210206,123130220.88980214,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2024,GROSS_CAP,0.0,0.0,0.0,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2024,CASH_EXHAUSTED,0.0,0.0,0.0,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2024,SOFT_RISK_BUDGET,0.15978854895230543,0.18411463316246743,360414758.06986654,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2024,FAMILY_RISK_BUDGET,0.0004894530680287627,0.000563967021799904,1129866.1725607195,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2025,NO_QUALIFYING_OPPORTUNITY,0.03252409364011967,0.039574117731574425,82880401.7595129,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2025,SINGLE_SECURITY_CAP,0.45701691214630086,0.5560813250238745,1171009351.076327,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2025,LIQUIDITY_CAP,0.10829221773948097,0.13176597699095005,278698179.8372172,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2025,GROSS_CAP,0.0,0.0,0.0,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2025,CASH_EXHAUSTED,0.0,0.0,0.0,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2025,SOFT_RISK_BUDGET,0.2240194292792965,0.27257858025360093,570474304.6803796,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2025,FAMILY_RISK_BUDGET,0.0,0.0,0.0,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2026 YTD,NO_QUALIFYING_OPPORTUNITY,0.05075351188392612,0.05890993060719314,98752782.60964385,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2026 YTD,SINGLE_SECURITY_CAP,0.5332801600457642,0.6189817424720565,1041098565.208127,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2026 YTD,LIQUIDITY_CAP,0.04731699322297314,0.05492114109623165,91611931.86292368,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2026 YTD,GROSS_CAP,0.0,0.0,0.0,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2026 YTD,CASH_EXHAUSTED,0.0,0.0,0.0,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2026 YTD,SOFT_RISK_BUDGET,0.23019358317359248,0.26718718582451845,447821688.4090574,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,2026 YTD,FAMILY_RISK_BUDGET,0.0,0.0,0.0,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,full,NO_QUALIFYING_OPPORTUNITY,0.06585547564409784,0.07608207819575487,1094223264.2285314,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,full,SINGLE_SECURITY_CAP,0.5327614804975824,0.6154932482449686,8911657719.45753,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,full,LIQUIDITY_CAP,0.07251144259767248,0.08377164073064501,1213120289.0257738,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,full,GROSS_CAP,0.0,0.0,0.0,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,full,CASH_EXHAUSTED,0.0,0.0,0.0,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,full,SOFT_RISK_BUDGET,0.19419089420583985,0.22434652021523127,3279443143.0583115,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.1,full,FAMILY_RISK_BUDGET,0.00026531259956456935,0.0003065126134002746,4725444.109679836,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.15,2018–2021,NO_QUALIFYING_OPPORTUNITY,0.07191152900454904,0.08253322162303733,435276392.17720133,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.15,2018–2021,SINGLE_SECURITY_CAP,0.4512740198807445,0.5179294504109399,2748838988.128081,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.15,2018–2021,LIQUIDITY_CAP,0.10134999955782373,0.11631990156225795,631296470.904309,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
X1,0.15,2018–2021,GROSS_CAP,0.0,0.0,0.0,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL; ORDER_DEPENDENT_NOT_SHAPLEY
