scenario,year,trades,return_year,profit_factor,expectancy_r,maxdd,top_winner_r
BASE,2020,147,-0.2681349840284001,0.38268165610831434,-0.5616366335460953,-0.29578514844968373,15.160015203601375
BASE,2021,149,-0.10398219351825477,0.3739320309709845,-0.5904040470618912,-0.24743394700077825,8.045199794064178
BASE,2022,167,-0.1307820060171686,1.0962221916603867,-0.09427269245794317,-0.29952707458046035,48.795187344731794
BASE,2023,102,-0.25033342717712026,0.40293105976796306,-0.5966336366957367,-0.33539901247446435,16.58414839482887
COST2,2020,144,-0.2818843304027996,0.35704645992156114,-0.5554559650512066,-0.30770118578985894,15.124984097264832
COST2,2021,148,-0.11600974838987754,0.36452330390487836,-0.6321213424827801,-0.2515054085350201,8.024502261235147
COST2,2022,162,-0.15594882240365016,1.0573129119745852,-0.06277616558209365,-0.3236183619856322,48.702849481221655
COST2,2023,105,-0.2555224411959218,0.3910986965263673,-0.8396372936512124,-0.3382136902727714,11.89828499590691
DELAY1,2020,165,-0.2724612578563993,0.3347211905060581,-0.5498797706379227,-0.2758134542066384,5.858067235666625
DELAY1,2021,159,-0.20440739160451105,0.4479829531129443,-0.4731650989752254,-0.21805450088981115,17.47188130013587
DELAY1,2022,168,-0.2311741251920445,0.517314374972296,-0.633168180555117,-0.30910204010589015,28.71804152222177
DELAY1,2023,115,-0.2112720850082277,0.4210131458110295,-0.5085650787089522,-0.2534070673395651,9.728537258510157
