scenario,trades,win_rate,avg_winner_r,median_winner_r,avg_loser_r,median_loser_r,expectancy_r,median_r,max_winner_r,mean_losing_r,p95_losing_r,worst_losing_r,loss_le_minus1,loss_le_minus2,loss_le_minus3
BASE,565,0.2,3.1553626086733355,1.24000891366044,-1.3355905608562528,-1.0171905907488537,-0.43739992695033536,-0.8738804870233888,48.795187344731794,-1.3355905608562528,3.436239814908967,-9.665401400525228,234,77,33
COST2,559,0.19856887298747763,3.053504660425914,1.2424983471177486,-1.3634158250441477,-1.0284498001726285,-0.48635290216905486,-0.8844293612181714,48.702849481221655,-1.3634158250441477,3.485641779634754,-9.711868825809708,233,81,35
DELAY1,607,0.2158154859967051,1.592765069955658,0.885893358278765,-1.1333463769775176,-0.8087881929291287,-0.5450093101764534,-0.6101790184328318,28.71804152222177,-1.1333463769775176,3.1379685046105816,-22.152403940884902,171,63,25
