scenario,signals,fills,trades,net_return,cagr,maxdd,profit_factor,win_rate,avg_win_r,avg_loss_r,expectancy_r,utilization,max_exposure,min_cash
P3B_NATIVE_BASE,1745,566,565,-0.5726885964557997,-0.19819326352864985,-0.589763711000118,0.5956107692159617,0.2,3.1553626086733355,-1.3355905608562528,-0.43739992695033536,0.23559173668370492,0.6289329316152152,232471.86860420034
P3B_NATIVE_COST2,1745,560,559,-0.6011016220562984,-0.21239858680293466,-0.6164538016487595,0.5670024154606021,0.19856887298747763,3.053504660425914,-1.3634158250441477,-0.48635290216905486,0.23274098786313815,0.6273154341162638,219343.8528137016
P3B_NATIVE_DELAY1,1745,610,607,-0.6490040807042998,-0.23814505696668697,-0.6521667328844903,0.4181964626850991,0.2158154859967051,1.592765069955658,-1.1333463769775176,-0.5450093101764534,0.1746238125339727,0.5870424748787553,207199.20846680013
P3B_SAME_SIGNAL_LEGACY,1745,667,667,-0.9158121369211996,-0.4742413042274377,-0.9226418004981984,0.7306663296442807,0.22788605697151423,2.697289643131842,-1.3654741816597427,-0.43962695322148043,0.6347668666051444,0.9999565342014997,12.603716900555355
